Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese	
&Text.Guards.RollCallMain	Ви слухаєте чи ні?	Passt du auf oder nicht?	Tu m'écoutes ou quoi ?	¿Estás prestando atención o no?	Вы слушаете или нет?	State ascoltando o no?	你们有没有在专心听啊？	ちゃんと話を聞いてんのかぁ？ 	
&Text.Guards.RollCallMain	Такі тут правила	Regeln sind Regeln.	C'est les règles.	Las reglas son las reglas.	Правила есть правила	Queste sono le regole	规定就是规定	規則は規則だ	
&Text.Guards.RollCallMain	Відчуйте се свіже морське повітря!	Riecht die frische Meeresbrise!	Respirez-moi ce bon air marin !	¡Oled esa fresca brisa marina!	Вдохните свежий морской воздух!	Sentite l'aria di mare!	感受新鲜的海风吧！	新鮮な海風をたっぷりかぎな！ 	
&Text.Guards.RollCallMain	Дивіться на мене, коли я лаюся на вас!	"Schaut mich an, wenn ich euch beschimpfe!"	Regarde-moi quand je te passe un savon !	¡Mírame cuando te esté regañando!	Смотреть на меня во время разноса!	Guardatemi mentre vi rimprovero!	在我训你们时看着我！	叱られてる時はこっちを見な！ 	
&Text.Guards.RollCallMain	Ви тупі чи просто вдаєте?	Seid ihr dumm? Oder tut ihr nur so?	Mais t'es débile ? Ou tu le fais exprès ?	¿Eres tonto? ¿O te lo haces?	"Ты дурак? Или так, прикидываешься?"	Ma ci sei? O ci fai?	你傻吗？还是在装蒜？	おまえはバカか？ それともフリだけか？ 	
&Text.Guards.RollCallMain	Годі сутулитися	Strammstehen!	Du nerf !	¡Sin holgazanear!	Хватит сутулиться	Su con la schiena!	打起精神来	しゃきっと歩け	
&Text.Guards.RollCallMain	Ламати вас - наша робота	"Unser Job ist, euch zu brechen."	On est là pour vous briser.	Nuestro trabajo es destrozaros.	Наша работа — сломить ваш дух	Il nostro lavoro è distruggervi	我们的工作就是驯服你们	おまえらをぶっ壊すのが我々の仕事だ	
&Text.Guards.RollCallMain	Чого ви так боїтеся моря?	Warum fürchtet ihr euch vorm Meer?	Pourquoi vous avez si peur de l'eau ?	¿Por qué te asusta tanto el mar?	Почему вы так боитесь моря?	Perché il mare vi fa tanta paura?	你们为何如此惧怕大海？	海がそんなに怖いか？ 	
&Text.Guards.RollCallMain	Хто з вас, шмаркачів, поскаржився на мене начальнику?	Welcher von euch Windelscheißern hat sich beim Wächter über mich beschwert?	Quel est le pleurnichard qui est allé se plaindre de moi au directeur ?	¿Cuál de estas nenazas se ha quejado de mí al alcaide?	"Кто из вас, плаксы, пожаловался на меня надзирателю?"	Chi è il piagnone tra di voi che è andato dal direttore a lamentarsi di me?	你们之中哪个爱哭鬼跑去典狱长那告我的状了？	所長にチクったのはどの泣き虫ちゃんかなぁ？ 	
&Text.Guards.RollCallMain	Хто бажає скуштувати мого кулака?	Wer möchte meine Faust spüren?	Qui veut mon poing dans la tronche ?	¿Quieres probar mi puño?	Кто хочет попробовать мой кулак?	Chi vuole assaggiare il mio pugno?	谁想尝尝我的拳头？	わがげんこつを味わいたい者は？ 	
&Text.Guards.RollCallMain	Ми просто насміхалися над вами звідти	Wir haben euch alle von dort hinten ausgelacht.	On se foutait juste de ta poire.	Nos estábamos riendo de todos vosotros desde ahí detrás.	Мы просто смеялись над вами оттуда	Stavamo ridendo di voi da là dietro	我们刚刚在后面嘲笑你们这帮人呢	我々は後ろの席で笑っているだけだ	
&Text.Guards.RollCallMain	Ми ж обіцяли вид на море…	Wir haben Meerblick versprochen ...	Vous vouliez une vue sur la mer...	Os prometimos vistas al mar...	Мы обещали вам вид на море...	Volevate una vista sul mare...	我们确实承诺过能看到海景……	“オーシャンビュー”を約束しますってな… 	
&Text.Guards.RollCallMain	Ми не хочемо бути тут більше за вас	Wir sind genauso ungern hier wie ihr.	On a pas plus envie d'être là que vous.	No queremos estar aquí más que vosotros.	Мы хотим быть здесь не больше вашего	Nemmeno noi siamo contenti di essere qui	我们和你们一样不想呆在这里	我々だって、 好きでこんな場所にいるわけじゃない	
&Text.Guards.RollCallMain	Начальник хоче подовжити свою зневагу	Wir sollen die Geringschätzung des Wächters weitergeben.	Le directeur tenait à vous communiquer tout son mépris.	El guardián quiere expresar el poco aprecio que os tiene.	Надзирателю на вас плевать с высокой колокольни	Il direttore vi manda tutto il suo disprezzo	典狱长向你们问好	所長が“こぶし”でご挨拶したいそうだ	
&Text.Guards.RollCallMain	Хочеш із мене поганця зробити?	Wollt ihr mich zum Feind machen?	Tu cherches à me contrarier ?	¿Me estás contrariando?	"Ты что, пытаешься мне противостоять?"	Mi stai sfidando?	你们是想惹恼我吗？	ケンカを売ってんのか？ 	
&Text.Guards.RollCallStart	Агой, на палубі!	Ahoi!	"Hé, matelots !"	¡Ah del barco!	"Эй, там!"	"Ehi, laggiù!"	你们好呀！	やあ、 皆さん！ 	
Text.Escape.Submarine.Interact	Полагодити керування краном	Kransteuerung reparieren	Réparer les commandes	Arregla la grúa.	Починить управл. краном	Ripara comandi gru	修好起重机控制器	クレーンの制御盤を修理する	
Text.Escape.Submarine.ProximityDialogue	Я не можу втекти самотужки!	Ich kann nicht alleine fliehen!	J'ai besoin d'aide pour fuir !	¡No puedo irme yo solo!	Я не могу уйти один!	Non posso andarmene da solo!	我不能独自离开！	1人では脱獄できない！ 	
Text.Escape.Submarine.Stage1.Succeed	"Що ж, тепер мені потрібний залізний стрижень…"	"Gut, jetzt noch eine Eisenstange ..."	Il me faut une barre de fer maintenant.	Ahora necesito una barra de hierro...	Теперь мне нужен железный прут...	"Bene, ora serve una barra di ferro..."	好了，我现在需要一根铁棒……	よし、 次は「鉄パイプ」が必要だ… 	
Text.Escape.Submarine.Stage1.Wrong	Шматок труби полагодить це…	Ein Stück von einem Rohr würde helfen ...	Un tuyau suffirait à réparer ça...	Un trozo de tubo serviría para arreglar esto...	Отрезок трубы поможет исправить это...	Un pezzo di tubatura sarebbe perfetto qui...	一根管子就能把这东西修好……	「チューブ」があれば、 こいつを修理できそうだが… 	
Text.Escape.Submarine.Stage2.Succeed	"Насамкінець, нам треба змайструвати енергомодуль…"	Zum Schluss sollten wir ein Energiemodul basteln ...	Il nous faut maintenant un module énergétique...	"Por último, hay que crear un modulo de energía..."	"Наконец, нам надо сделать энергетический модуль..."	Ora dobbiamo creare un modulo di energia...	最后，我们应该制作一个能量模块……	よし、 あとは「動力モジュール」を作れば… 	
Text.Escape.Submarine.Stage2.Wrong	Залізний стрижень достатньо міцний, щоби все спрацювало…	Eine Eisenstange wäre stark genug ...	Une barre de fer ferait l'affaire...	Una barra de hierro debería resistir...	Железный прут сгодится...	Una barra di ferro dovrebbe resistere...	用坚硬的铁棒应该就行了……	「鉄パイプ」くらいの強度があれば、 修理に使えそうだが… 	
Text.Escape.Submarine.Stage3.Succeed	Тепер підводний човен має спуститися на воду!	Jetzt sollte das U-Boot unten im Wasser sein!	On devrait maintenant plonger avec le sous-marin !	¡Ahora hay que poner el submarino bajo el agua!	Теперь подводная лодка должна быть под водой!	Adesso il sottomarino dovrebbe essere sull’acqua!	现在潜水艇应该在下面水边了！	さあ、 潜水艦を海へ下ろそう！ 	
Text.Escape.Submarine.Stage3.Wrong	Нам треба змайструвати енергомодуль…	Wir sollten ein Energiemodul basteln ...	Il nous faut un module énergétique...	Habría que crear un modulo de energía...	Нам надо сделать энергетический модуль...	Dobbiamo creare un modulo di energia...	我们应该制作一个能量模块……	「動力モジュール」を作らないと… 	
Text.Escape.Submarine.Stage4.Succeed									
Text.Escape.Submarine.Stage4.Wrong									
Text.Escape.Submarine.TooFewPlayers	Я не можу керувати цією штукою власноруч!	Ich kann das nicht alleine steuern!	J'ai besoin d'aide pour piloter ça !	¡No puedo pilotar esto yo solo!	Я не смогу управлять этой штукой в одиночку!	Non posso pilotare questa cosa da solo!	我自己一人没法驾驶这东西！	1人では操縦できない！ 	
Text.Escape.Submarine.TooManyPlayers									
Text.Escape.Trash.Interact	Покласти сміттєвий мішок для дихання	Atembare Mülltüte platzieren	Placer le sac poubelle respirant	Pon bolsa de residuos transpirable	Полож. воздухопр. мешок для мусора	Posiziona sacco della spazzatura traspirante	放置透气的垃圾袋	「空気穴つきゴミ袋」を置く	
Text.Escape.Trash.ProximityDialogue									
Text.Escape.Trash.Stage1.Succeed	Тепер я можу втеки із цієї бурової вежі!	Jetzt kann ich weg von dieser Anlage!	Je peux enfin partir d'ici !	¡Ahora puedo salir de esta plataforma!	Наконец-то я уберусь с этой вышки!	Ora posso buttarti giù da qui!	现在我可以离开这座钻井平台了！	これで油田から脱出できる！ 	
Text.Escape.Trash.Stage1.Wrong	Мені потрібно покласти сюди сміттєвий мішок для дихання…	Ich muss hier eine atembare Mülltüte platzieren ...	Je dois mettre un sac poubelle respirant ici...	Tengo que poner una bolsa de residuos transpirable aquí...	Нужно положить здесь воздухопрониц. мешок для мусора...	Devo mettere qui un sacco della spazzatura traspirante...	我得在这儿放一个透气的垃圾袋……	ここに「空気穴つきゴミ袋」を置かないと… 	
Text.Escape.Trash.TooManyPlayers	Я можу так утекти лише самостійно!	So kann ich nur alleine entkommen!	Cette évasion doit être en solitaire !	¡Solo puedo escapar así yo solo!	Таким способом я смогу бежать только в одиночку!	Devo essere solo io per evadere così!	用这种方法我只能独自越狱！	このやり方では、 1人しか脱獄できない！ 	
									
END									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
