Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese
Text.Quest.Vampire.ThirdObjective	Візьміть пред. $ItemToGet та поверніться до перс. $QuestGiver	Hole „$ItemToGet“ und bringe es $QuestGiver zurück	Trouver $ItemToGet et retourner voir $QuestGiver	Obtén el/la $ItemToGet que devolver a $QuestGiver.	Забрать и вернуть владельцу ($QuestGiver): $ItemToGet	Ottieni $ItemToGet e dai l’oggetto a $QuestGiver	获取 $ItemToGet 并回去找 $QuestGiver 	$ItemToGet を入手し、 $QuestGiver に届ける
								
Text.Quest.BumpInTheNight.Name	Стук уночі	Klopfen in der Nacht	Chaos dans la nuit	Un obstáculo en la noche	Столкновение в ночи	Un tonfo nella notte	夜间突袭	ゴーストハウス
Text.Quest.BumpInTheNight.Desc	"Я цілком певний, що зможу переконати всіх тутешніх у тому, що існують примари! Насамперед треба створити самого «привида» та його легенду. Певно, десь тут можна надибати стару сімейну світлину?"	"Ich bin mir ziemlich sicher, dass ich die anderen davon überzeugen kann, dass es hier einen Geist gibt! Aber zuerst muss ich für meinen „Geist“ einen Charakter entwerfen. Ich bin sicher, dass es hier irgendwo ein altes Familienfoto gibt, das ich benutzen kann?"	"Je pense que j'arriverai à convaincre les autres qu'il y a un fantôme ici ! Tout d'abord, je dois inventer un personnage pour mon « fantôme », il doit bien y avoir une vieille photo de famille quelque part que je pourrais utiliser..."	"¡Seguro que podría convencer a los demás de que aquí hay un fantasma! Lo primero es lo primero, tengo que inventar un personaje para mi «fantasma»; seguro que hay alguna foto de familia antigua por ahí que pueda usar..."	"Я уверен, что смогу убедить других в том, что тут обитает призрак! Сначала мне нужно придумать правдоподобного персонажа на роль «призрака» - наверняка здесь где-нибудь найдется семейное фото, которое я могу использовать для этих целей."	"Credo di poter convincere gli altri che qui c'è un fantasma! Per prima cosa devo inventare un personaggio per il mio ""fantasma"". Qui da qualche parte c'è senz'altro una vecchia Foto di famiglia che posso utilizzare."	我很确定， 绝对能让其他人相信这里闹鬼了！ 那么首先， 我得为了我的“鬼”造一个角色， 这附近有张全家福吧， 说不定我用得上？ 	この建物は とりつかれてるって 信じ込ませるのは 朝飯前だっての！ とはいえ、 まずはわが “お化け”の 役作りから 始めないとな。 確かどこかで、 そういうのに使えそうな 古い「家族写真」を 見たはずなんだが…
Text.Quest.BumpInTheNight.FirstObjective	Візьміть пред. $ItemToGet та поверніться до перс. $QuestGiver	Hole „$ItemToGet“ und bringe es $QuestGiver zurück	Trouver $ItemToGet et retourner voir $QuestGiver	Obtén el/la $ItemToGet que devolver a $QuestGiver.	Забрать и вернуть владельцу ($QuestGiver): $ItemToGet	Ottieni $ItemToGet e dai l’oggetto a $QuestGiver	获取 $ItemToGet 并回去找 $QuestGiver 	$ItemToGet を入手し、 $QuestGiver に届ける
Text.Quest.BumpInTheNight.Pt2.Desc	"Усі же тут жахнуться, якщо та «примара» почала би ся спілкувати з ними, чи не так? Знайди мені банку фарби, та наш привид почне лишати повідомлення на стінах!"	"Es würde die anderen doch sicher total fertigmachen, wenn der „Geist“ anfinge, mit ihnen zu kommunizieren, oder? Besorg mir einen Eimer Farbe, unser Geist wird hier demnächst Nachrichten an den Wänden hinterlassen!"	"Je pourrais vraiment leur ficher la trouille si ce « fantôme » commençait à communiquer avec les gens, pas vrai ? Rapporte-moi un pot de peinture, comme ça notre fantôme va nous laisser des indices sur les murs !"	"Los demás se morirían de miedo si ese «fantasma» empezase a comunicarse con ellos, ¿verdad? Consígueme una lata de pintura, ¡nuestro fantasma va a empezar a dejar mensajes en las paredes de este lugar!"	"Другие очень сильно напугаются, если этот «призрак» начнет с ними общаться, правда? Достаньте мне баночку краски, наш призрак готов начать оставлять сообщения на стенах!"	"Gli altri si spaventerebbero parecchio se il ""fantasma"" iniziasse a comunicare con loro, no? Trovami un Barattolo di tinta, il nostro fantasma sta per iniziare a lasciare messaggi sulle pareti!"	要是那个“鬼”开始和其他人说话， 那肯定能把他们吓坏对吧？ 给我一个罐装油漆， 我们的鬼要开始在附近墙上写字了！ 	例の“お化け”が 語りかけてきたら、 みんな驚いて 腰を抜かすよな？ そこで、わが“お化け”が 建物の壁に メッセージを残していけるよう、 「ペンキ缶」を 探してきてくれないか？
Text.Quest.BumpInTheNight.SecondObjective	Візьміть пред. $ItemToGet та поверніться до перс. $QuestGiver	Hole „$ItemToGet“ und bringe es $QuestGiver zurück	Trouver $ItemToGet et retourner voir $QuestGiver	Obtén el/la $ItemToGet que devolver a $QuestGiver.	Забрать и вернуть владельцу ($QuestGiver): $ItemToGet	Ottieni $ItemToGet e dai l’oggetto a $QuestGiver	获取 $ItemToGet 并回去找 $QuestGiver 	$ItemToGet を入手し、 $QuestGiver に届ける
Text.Quest.BumpInTheNight.Pt3.Desc	"Навіть і не віриться, як усе чітко йде! Тепер останній крок… нікому ж не подобаються лячні ляльки, чи не так? Що ж, думаю, якщо ти змайструєш для мене статуетку «Втікачі» та покладеш її в мій стіл, то це вселить у всіх страх!"	"Ich kann nicht glauben, wie gut das bisher funktioniert! Jetzt zum letzten Schritt ... Jeder hasst doch gruselige Puppen, nicht wahr? Wenn du also eine Escapists-Figur herstellen und sie dann in einem Pult deponieren könntest, wird das sicher allen Angst machen!"	"Je n'arrive à croire à quel point c'est efficace jusque-là ! Maintenant, pour la dernière étape... Tout le monde déteste les poupées flippantes, hein ? Je me suis dit que si tu pouvais fabriquer une figurine des Escapists et la placer dans un bureau pour moi, ça ficherait la trouille à tout le monde !"	"¡Es increíble lo bien que funciona esto de momento! Ahora el último paso... A todo el mundo le dan pavor las muñecas con caras horripilantes, ¿a que sí? Bien, he pensado que si haces una figurita de Escapists y la pones en un escritorio, ¡seguro que provoca el pánico entre todos!"	"Не могу поверить, как хорошо это все сработало! А теперь последний этап... никто не любит зловещих кукол, да? Думаю, если вы сделаете статуэтку Escapists и положите ее на стол, это точно всех напугает!"	"Non posso credere che stia funzionando così bene! E ora l'ultima fase... tutti odiano le bambole inquietanti, vero? Bene, penso che se tu creassi una Statuetta di un fuggiasco per me e la mettessi su un tavolo, tutti sarebbero terrorizzati!"	没想到效果居然这么好！ 现在是最后一步…… 大家都讨厌吓人的娃娃对吧？ 我在想， 如果你能做一个逃脱者小雕像出来， 然后放在我桌子里， 一定能让所有人都吓坏的！ 	今んとこ、 すべてがうまくいってら！ さあて、いよいよ仕上げに かかるぞ… 誰だって不気味な 人形はニガテだろ？ あんたが 「脱獄者ドール」を作って、 机に仕込んでくれりゃあ、 みんな怖がって 震え上がるはずさ！
Text.Quest.BumpInTheNight.ThirdObjective	Змайструйте пред. $ItemToGet та покладіть його в стіл ($QuestGiver)	Stelle ein $ItemToCraft her und platziere es im Pult von $DeliverItemTo.	Fabriquer une $ItemToCraft et la placer dans le bureau appartenant à $DeliverItemTo	Crea un/a $ItemToCraft y colócalo/a en el escritorio de $DeliverItemTo.	"$DeliverItemTo ждет, чтобы вы сделали предмет «$ItemToCraft» и положили к нему на стол"	Crea $ItemToCraft e posiziona l'oggetto su $DeliverItemTo	制作 $ItemToCraft 并将其放在 $DeliverItemTo 的桌子里	$ItemToCraft を作成し、 $DeliverItemTo の机に仕込む
								
Text.Quest.DeeperUnderground.Name	Мій зомбі	Mein Zombie	Mon zombie	Mi zombi	Мой зомби	Il mio zombie	我的僵尸	わがゾンビ
Text.Quest.DeeperUnderground.Desc	Чому тут усі так погано поводяться з мертвяками? Якісь задири відібрали руку зомбі та сховали! Знайди її, будь ласка…	Warum behandelt hier jeder Zombies so schlecht? Ein paar Grobiane haben einem Zombie die Hand gestohlen und sie irgendwo versteckt! Bitte bring sie zurück ...	"Pourquoi est-ce que tout le monde par ici traite les zombies aussi mal ? Des brutes ont pris la main d’un zombie et l'ont cachée ! Récupère-la, s'il te plaît..."	"¿Por qué todo el mundo trata a los zombis tan mal? Algún abusón ha cogido la mano de un zombi y la ha escondido. Encuéntrala, por favor."	"Почему все вокруг так плохо относятся к зомби? Какие-то хулиганы оторвали у зомби руку и спрятали! Пожалуйста, найдите ее..."	"Perché tutti trattano male gli zombie da queste parti? Dei bulli hanno preso una Mano di zombie e l'hanno nascosta! Trovala, per favore..."	为什么这里的人对僵尸都这么不好？ 有些混蛋拿了一个僵尸的手然后藏起来了！ 请把它找回来…… 	ここの連中はなんでこう、 ゾンビたちに優しくないんだ？ 「ゾンビの手」を もぎ取って 隠しちまうなんて、 あんまりじゃんか！ お願いだから、 取り返してやってくれ…
Text.Quest.DeeperUnderground.FirstObjective	Візьміть пред. $ItemToGet та поверніться до перс. $QuestGiver	Hole „$ItemToGet“ und bringe es $QuestGiver zurück	Trouver $ItemToGet et retourner voir $QuestGiver	Obtén el/la $ItemToGet que devolver a $QuestGiver.	Забрать и вернуть владельцу ($QuestGiver): $ItemToGet	Ottieni $ItemToGet e dai l’oggetto a $QuestGiver	获取 $ItemToGet 并回去找 $QuestGiver 	$ItemToGet を入手し、 $QuestGiver に届ける
Text.Quest.DeeperUnderground.Pt2.Desc	"Я бачу людяність у сих зомбі… Змайструєш мені несправжню квітку, добре? Може, вона викличе якісь спогади."	"Ich bin mir sicher, dass ich in diesen Zombies noch Menschlichkeit erkennen kann ... Stelle mir eine falsche Blume her; ich will ausprobieren, ob ich damit ein paar Erinnerungen hervorrufen kann."	"Je sais qu'il reste encore un peu d'humanité dans ces zombies... Fabrique-moi une fausse fleur, je vais voir si cela éveille quelques-uns de leurs souvenirs..."	"Sin duda, puedo ver algo de humanidad en esos zombis... Hazme una flor falsa, ¿quieres? Me gustaría ver si despierta algún recuerdo."	"Я вижу остатки человечности в этих зомби... Сделайте для меня фальшивый цветок, я хочу посмотреть, не возродит ли это какие-либо воспоминания в них."	Non ho dubbi che ci sia un po' di umanità in quegli zombie... Potresti crearmi un Fiore finto? Voglio vedere se risveglia in loro qualche ricordo.	我敢保证， 那些僵尸还有些人性的…… 帮我做一个仿制花可以吗， 看看能不能唤起什么记忆来。 	オレにはわかる。 ここのゾンビたちには 人間らしさが 残ってるって… そこで「造花」を 作ってくれないか？ ゾンビの記憶が 蘇るか確かめたいんだ…
Text.Quest.DeeperUnderground.SecondObjective	Змайструйте пред. $ItemToCraft для перс. $DeliverTo	Fertige „$ItemToCraft“ für $QuestGiver	Fabriquer $ItemToCraft pour $QuestGiver	"Para $QuestGiver, crea: $ItemToCraft."	Изготовить: $ItemToCraft. Заказчик: $QuestGiver	Crea $ItemToCraft per $QuestGiver	为 $QuestGiver 制作一个 $ItemToCraft 	$ItemToCraft を作成し、$QuestGiver に届ける
Text.Quest.DeeperUnderground.Pt3.Desc	Мабуть, з ними задираються через те, що вони дуже повільно рухаються? Гм-м-м… Мабуть, енергетонік допоможе їм набратися духу?	"Vielleicht werden sie drangsaliert, weil sie so langsam laufen? Hmmm ... Vielleicht kann ein Energy Drink sie etwas in Schwung bringen?"	"C'est peut-être parce qu'ils se déplacent lentement qu'ils se font malmener... Hummm... Une boisson énergisante devrait leur rendre le pas plus léger, non ?"	A lo mejor se mofan de ellos porque caminan muy despacio... Mmmm... ¿Y si les damos una bebida energética para que se pongan las pilas?	"Может, их обижают потому, что они так медленно ходят? Хм... Может, энергетик поможет им ходить быстрее?"	Forse vengono maltrattati perché si muovono lentamente? Mmm... magari una Bevanda energetica gli farebbe velocizzare il passo?	没准他们被欺负是因为他们动作太慢？ 嗯…… 说不定能量饮料能让他们步子快点？ 	もしやゾンビたちは 動きがノロいから、 皆にいじめられ やすいのか？ だとしたら「エナジードリンク」が ゾンビの救世主に なるかもしれんぜ？
Text.Quest.DeeperUnderground.ThirdObjective	Візьміть пред. $ItemToGet та поверніться до перс. $QuestGiver	Hole „$ItemToGet“ und bringe es $QuestGiver zurück	Trouver $ItemToGet et retourner voir $QuestGiver	Obtén el/la $ItemToGet que devolver a $QuestGiver.	Забрать и вернуть владельцу ($QuestGiver): $ItemToGet	Ottieni $ItemToGet e dai l’oggetto a $QuestGiver	获取 $ItemToGet 并回去找 $QuestGiver 	$ItemToGet を入手し、$QuestGiver に届ける
Text.Quest.DeeperUnderground.Pt4.Desc	"Мерці - легка здобич, але якщо ти змайструєш мені пухке вбрання в’язня, то ми зможемо захистити щонайменше одного з них. Ох… і якщо ти й надалі допомагатимеш мені, то я поділюся з тобою корисними відомостями як утекти звідси. "	"Die Zombies sind leichte Ziele, aber wenn du mir gefütterte Häftlingskleidung herstellst, können wir wenigsten einen von ihnen schützen. Oh ... Und wenn du mir weiterhin hilfst, kann ich dir vielleicht vertrauliche Informationen geben, wie man hier herauskommt. "	"Les zombies sont des cibles faciles, mais si tu peux me fabriquer une tenue de détenu rembourrée, on pourra au moins protéger l'un d'eux. Oh... Et si tu continues de m'aider, je pourrais bien partager avec toi des informations utiles pour s'échapper d'ici. "	"Los zombis son objetivos fáciles, pero si me haces un traje de preso acolchado a lo mejor podemos proteger a alguno. Ah, y si me sigues ayudando quizá comparta una valiosa información contigo sobre cómo escapar de este lugar. "	"Зомби - легкая цель, но если вы изготовите стеганую одежду заключенного, мы сможем защитить хотя бы одного из них. О... и если вы продолжите мне помогать, я поделюсь с вам информацией о том, как сбежать отсюда. "	"Gli zombie sono obiettivi facili, ma se tu mi creassi un Vestito da detenuto imbottito potremmo proteggere almeno uno di loro. Oh... e se continui ad aiutarmi, potrei condividere con te alcune informazioni utili su come fuggire da qui. "	僵尸太容易被攻击了， 你能帮我做一套带护垫的囚犯服装吗， 这样至少能为一名僵尸提供保护。 哦…… 如果你继续帮我的话， 我可以告诉你怎么逃出这里。 	ゾンビたちは恰好のカモさ。 けどあんたが「パッド入り囚人服」を 作ってくれたら、 少なくとも1人は守ってやれる。 それと今後もあんたが手を貸してくれるなら、 ここから脱獄する方法を教えてやってもいい…
Text.Quest.DeeperUnderground.FourthObjective	Змайструйте пред. $ItemToCraft для перс. $DeliverTo	Fertige „$ItemToCraft“ für $QuestGiver	Fabriquer $ItemToCraft pour $QuestGiver	"Para $QuestGiver, crea: $ItemToCraft."	Изготовить: $ItemToCraft. Заказчик: $QuestGiver	Crea $ItemToCraft per $QuestGiver	为 $QuestGiver 制作一个 $ItemToCraft 	$ItemToCraft を作成し、 $QuestGiver に届ける
Text.Quest.DeeperUnderground.Pt5.Desc	"Тутешні махлярі нарешті почали поважати зомбі. Ну… є виняток. Зроби мені послугу, гаразд? Змайструй сокиру, та продемонструй її можливості одному пройдисвіту на ім'я $CombatTarget. Це має дати йому науку."	"Die Leute hier fangen endlich an, Zombies mit Respekt zu behandeln. Naja ... fast alle. Kannst du mir einen Gefallen tun? Stelle eine Axt her und gib $CombatTarget eine Kostprobe davon. Damit solltest du einen bleibenden Eindruck hinterlassen."	Les gens ici commencent enfin à traiter les zombies avec respect. Enfin... presque tous. Tu peux m'aider ? Fabrique une hache et donne une bonne leçon à $CombatTarget. Ça lui apprendra les bonnes manières.	"La gente de por aquí al fin empieza a tratar a los zombis con respeto. Bueno... casi todo el mundo. ¿Me haces un favor? Haz un hacha, y después pruébala en la cabeza de $CombatTarget. Así se enterará de lo que es bueno."	"Люди здесь наконец-то начали относится к зомби с уважением. Ну... почти все. Сделайте мне одолжение? Изготовьте топор, а затем воспользуйтесь им - пусть $CombatTarget испытает его на себе. Это будет им уроком."	"Finalmente tutti stanno iniziando a trattare gli zombie con rispetto. Beh... quasi tutti. Mi faresti un favore? Costruisci un'Ascia, poi falla assaggiare a $CombatTarget. Gli servirà da lezione."	现在这里的人们终于开始用尊重的态度对待僵尸了。 嗯…… 其实差不多每个人都这样了。 帮我个忙行吗？ 做一把斧子， 然后让 $CombatTarget 尝尝厉害。 他们应该能尝到教训了。 	ようやくここの連中も ゾンビに敬意を 払うようになったが… 残念ながら 全員じゃない。 そこで頼まれてくれるかい？ あんたが 「オノ」を作って、 $CombatTarget に切れ味を 教えてやったら、 いい子になるんじゃ ないかと思ってね。 
Text.Quest.DeeperUnderground.FifthObjective	Дайте прочухана перс. $CombatTarget, використовуючи пред. $ItemToCraft	Verprügele $CombatTarget mit „$ItemToCraft“	Battre $CombatTarget avec $ItemToCraft	Da una paliza a $CombatTarget con: $ItemToCraft.	Избить цель: $CombatTarget. Орудие: $ItemToCraft	Picchia $CombatTarget con $ItemToCraft	用 $ItemToCraft 教训 $CombatTarget	$ItemToCraft を使って、 $CombatTarget をぶちのめす
Text.Quest.DeeperUnderground.Pt6.Desc	"А ти знав, що тут є гробовище? Під цвинтарем… Кажуть, там є таємний прохід. Один з небіжчиків вважає, що його можна відімкнути ключем. Хай там як, а я втратив свою книгу з окультизму. Знайдеш її для мене?"	"Wusstest du, dass es hier eine Krypta gibt? Unter dem Friedhof ... Es gibt dort anscheinend einen Geheimgang. Einer der Zombies glaubt, dass man ihn mit einem Schlüssel öffnen kann. Wie dem auch sei, ich habe ein okkultes Buch verlegt. Kannst du es für mich finden?"	"Tu savais qu'il y avait une crypte, ici ? Sous le cimetière... Il y aurait un passage secret. Un des zombies pense qu'une clé peut l'ouvrir. Bref, j'ai égaré un livre sur l'occulte. Tu pourrais le retrouver pour moi ?"	"¿Sabías que aquí hay una cripta? Bajo el cementerio... Se supone que hay un pasaje secreto. Uno de los zombis cree que se puede abrir con una llave. Por cierto, no sé dónde he dejado un libro sobre ocultismo. ¿Puedes encontrarlo?"	"Вы знали, что здесь есть склеп? Под кладбищем... говорят, что там есть секретный проход. Один из зомби считает, что его можно открыть ключом. Я потерял свою книгу об оккультизме. Можете найти ее для меня?"	"Lo sapevi che c'è qui c'è una cripta? Sotto il cimitero... a quanto pare c'è un passaggio segreto. Secondo uno degli zombie si può aprire con una chiave. Comunque, ho perso un libro sull'occulto. Potresti trovarlo?"	你知道这里有个地底墓穴吗？ 就在墓地下面…… 应该有一条密道。 有个僵尸说， 有一把钥匙可以打开那里。 总之， 我有一本神秘学的书放错地方了。 能帮我找回来吗？ 	ここには霊びょうが あるって知ってたか？ どうやら墓場の地下に… 隠し通路が あるらしくってね。 あるゾンビから 聞いた話じゃ、 その通路はカギで 開けられるらしい。 それはともかく、 オレのオカルト本が 見当たらない。 探してきてくれるか？
Text.Quest.DeeperUnderground.SixthObjective	Візьміть пред. $ItemToGet у місці $ItemSpawnLocation	Hole „$ItemToGet“ von $ItemSpawnLocation	Récupérer $ItemToGet à $ItemSpawnLocation	Consigue el/la $ItemToGet de $ItemSpawnLocation.	Забрать: $ItemToGet. Откуда: $ItemSpawnLocation	Prendi $ItemToGet da $ItemSpawnLocation	从 $ItemSpawnLocation 获取 $ItemToGet 	$ItemSpawnLocation から、 $ItemToGet を入手する
Text.Quest.DeeperUnderground.Pt7.Desc	Пам’ятаєш той таємний прохід, який я згадував минулого разу? Що ж, схоже, я заволодів ключ від нього… Але про це трохи згодом. Можеш змайструвати мені крихку лопату? Хочу визволити кілька немертвих із цвинтаря…	"Erinnerst du dich an diesen Geheimgang, von dem ich gesprochen habe? Nun, ich habe eventuell den Schlüssel dafür ... Aber dazu später mehr. Kannst du mir eine schwache Schaufel herstellen? Ich will noch mehr Untote aus dem Friedhof befreien."	"Tu te souviens du passage secret dont je t'ai parlé ? Eh bien, j'ai peut-être obtenu la clé pour l'ouvrir... Mais je t'en dirai plus tout à l'heure. Peux-tu me fabriquer une pelle fragile ? J'ai envie de libérer quelques morts-vivants du cimetière..."	"¿Recuerdas ese pasaje secreto que mencioné? Bueno, pues creo que he encontrado la llave... Pero ya hablaremos de eso más tarde. ¿Me buscarías una pala frágil? Quiero liberar a más no-muertos del cementerio..."	"Помните секретный проход, про который я говорил? Кажется, я достал к нему ключ... но об этом - позже. Можете сделать мне облегченную лопату? Я хочу освободить с кладбища больше нежити..."	"Ricordi il Passaggio segreto di cui parlavo? Beh, potrei aver rimediato la chiave per aprirlo... ma ne parleremo più tardi. Puoi costruirmi una Pala fragile? Voglio liberare altri non morti dal Cimitero..."	还记得我说过的密道吗？ 那个， 我说不定拿到了钥匙了…… 不过这些以后再说。 你能帮我造一把劣质铲吗？ 我想从墓穴里多放一些不死族出来…… 	こないだ、 隠し通路のことを 話したろ？ 実はその、 あそこのカギが 手に入ったと思うんだが… 詳しい話は あとまわしだ。 ひとまず「もろいシャベル」を 作ってくれ。 墓場の死者たちを もう何人か、 解き放ってやりたいのさ…
Text.Quest.DeeperUnderground.SevenObjective	Змайструйте пред. $ItemToCraft та віднесіть перс. $DeliverTo	Fertige „$ItemToCraft“ und gib das $DeliverTo	Fabriquer un $ItemToCraft et le donner à $DeliverTo	Crea un/a $ItemToCraft que entregar a $DeliverTo.	Изготовить: $ItemToCraft. Передать: $DeliverTo	Crea $ItemToCraft per $DeliverTo	制作 $ItemToCraft 并将其交给 $DeliverTo 	$ItemToCraft を作成し、 $DeliverTo に届ける
