Text ID	English	German	French	Spanish	Russian	Italian		Japanese
Text.ActivityFeed.EscapedPrison.Con	$USER_NAME_OR_ID has escaped from $CLASSIC_COUNT prisons	$USER_NAME_OR_ID ist aus $CLASSIC_COUNT Gefängnissen entkommen.	$USER_NAME_OR_ID s'est évadé de $CLASSIC_COUNT prisons.	$USER_NAME_OR_ID ha escapado de $CLASSIC_COUNT prisiones.	$USER_NAME_OR_ID совершил побег из $CLASSIC_COUNT тюрем	$USER_NAME_OR_ID è evaso/a da $CLASSIC_COUNT prigioni		$USER_NAME_OR_ID が $CLASSIC_COUNT 個の刑務所から脱獄した
Text.ActivityFeed.EscapedTransport.Con	$USER_NAME_OR_ID has escaped from $TRANSPORT_COUNT prisons	$USER_NAME_OR_ID ist aus $TRANSPORT_COUNT Gefängnissen entkommen.	$USER_NAME_OR_ID s'est évadé de $TRANSPORT_COUNT prisons	$USER_NAME_OR_ID ha escapado de $TRANSPORT_COUNT prisiones.	$USER_NAME_OR_ID совершил побег из $TRANSPORT_COUNT тюрем	$USER_NAME_OR_ID è evaso/a da $TRANSPORT_COUNT prigioni		$USER_NAME_OR_ID が $TRANSPORT_COUNT 個の刑務所から脱獄した
Text.ActivityFeed.EscapedAllTransport.Cap	$USER_NAME_OR_ID has escaped from all three Transport prisons.	$USER_NAME_OR_ID ist aus allen drei Transport-Gefängnissen entkommen.	$USER_NAME_OR_ID s'est évadé des trois prisons mobiles.	$USER_NAME_OR_ID ha escapado de las tres prisiones de transporte.	$USER_NAME_OR_ID совершил побег из всех трех транспортных тюрем.	$USER_NAME_OR_ID è evaso/a da tutte e tre le prigioni Trasporto.		$USER_NAME_OR_ID が3つの移動刑務所をすべて脱獄した。
Text.ActivityFeed.EscapedAllTransport.Con	$USER_NAME_OR_ID has escaped from all three Transport prisons.	$USER_NAME_OR_ID ist aus allen drei Transport-Gefängnissen entkommen.	$USER_NAME_OR_ID s'est évadé des trois prisons mobiles.	$USER_NAME_OR_ID ha escapado de las tres prisiones de transporte.	$USER_NAME_OR_ID совершил побег из всех трех транспортных тюрем.	$USER_NAME_OR_ID è evaso/a da tutte e tre le prigioni Trasporto.		$USER_NAME_OR_ID が3つの移動刑務所をすべて脱獄した。
Text.ActivityFeed.EscapedAllPrison.Cap	$USER_NAME_OR_ID has escaped from all seven Classic prisons.	$USER_NAME_OR_ID ist aus allen sieben klassischen Gefängnissen entkommen.	$USER_NAME_OR_ID s'est évadé des sept prisons classiques.	$USER_NAME_OR_ID ha escapado de las siete prisiones clásicas.	$USER_NAME_OR_ID совершил побег из всех семи образцовых тюрем.	$USER_NAME_OR_ID è evaso/a da tutte e sette le prigioni Classiche.		$USER_NAME_OR_ID が7つの一般刑務所をすべて脱獄した。
Text.ActivityFeed.EscapedAllPrison.Con	$USER_NAME_OR_ID has escaped from all seven Classic prisons.	$USER_NAME_OR_ID ist aus allen sieben klassischen Gefängnissen entkommen.	$USER_NAME_OR_ID s'est évadé des sept prisons classiques.	$USER_NAME_OR_ID ha escapado de las siete prisiones clásicas.	$USER_NAME_OR_ID совершил побег из всех семи образцовых тюрем.	$USER_NAME_OR_ID è evaso/a da tutte e sette le prigioni Classiche.		$USER_NAME_OR_ID が7つの一般刑務所をすべて脱獄した。
Text.ActivityFeed.EscapedTransport3.Cap	$USER_NAME_OR_ID has flown to freedom from the Air Force Con!	$USER_NAME_OR_ID ist aus dem Air Force Con geflogen!	$USER_NAME_OR_ID plane en liberté hors du Air Force Con !	¡$USER_NAME_OR_ID ha volado hacia la libertad desde el Air Force Con!	$USER_NAME_OR_ID смылся на свободу с Air Force Con!	$USER_NAME_OR_ID vola verso la libertà dal Air Force Con!		$USER_NAME_OR_ID は「エアフォース・コン」から、自由へ向かって飛行中！
Text.ActivityFeed.EscapedTransport1.Cap	$USER_NAME_OR_ID has conducted an escape from Cougar Creek Railroad!	$USER_NAME_OR_ID ist aus dem Cougar Creek Railroad ausgebrochen!	$USER_NAME_OR_ID a organisé une évasion du Cougar Creek Railroad !	¡$USER_NAME_OR_ID ha conseguido escapar del Cougar Creek Railroad!	$USER_NAME_OR_ID совершил побег с Cougar Creek Railroad!	$USER_NAME_OR_ID ha portato a termine un’evasione dal Cougar Creek Railroad!		$USER_NAME_OR_ID が「クーガークリーク鉄道」からの脱出に成功した！
Text.ActivityFeed.EscapedPrison4.Cap	$USER_NAME_OR_ID is free at last from the Rattlesnake Springs!	$USER_NAME_OR_ID ist endlich weg aus dem Rattlesnake Springs!	$USER_NAME_OR_ID est enfin sorti de Rattlesnake Springs !	¡$USER_NAME_OR_ID por fin está libre del Rattlesnake Springs!	$USER_NAME_OR_ID наконец вышел на свободу из тюрьмы Rattlesnake Springs!	$USER_NAME_OR_ID è finalmente fuori dal Rattlesnake Springs!		$USER_NAME_OR_ID が「ラトルスネイク・スプリングス」から逃げ出した！
Text.ActivityFeed.EscapedTransport2.Cap	$USER_NAME_OR_ID has sped to safety from H.M.S Orca!	$USER_NAME_OR_ID ist vor dem H.M.S Orca in Sicherheit gerast!	$USER_NAME_OR_ID a filé loin du H.M.S Orca !	¡$USER_NAME_OR_ID ha salido a toda velocidad del H.M.S Orca!	$USER_NAME_OR_ID удрал в безопасную гавань с H.M.S Orca!	$USER_NAME_OR_ID è corso/a verso la salvezza dal H.M.S Orca!		$USER_NAME_OR_ID は「監獄船オルカ」から、自由へ向かって加速中！
Text.ActivityFeed.EscapedPrison2.Cap	$USER_NAME_OR_ID is taking leave from H.M.P Offshore!	$USER_NAME_OR_ID nimmt Urlaub vom H.M.P Offshore-Gefängnis!	$USER_NAME_OR_ID s'éclipse de H.M.P Offshore !	¡$USER_NAME_OR_ID está jubilándose de la H.M.P Offshore!	$USER_NAME_OR_ID навсегда прощается с H.M.P Offshore тюрьме!	$USER_NAME_OR_ID se ne va via dall’H.M.P Offshore!		$USER_NAME_OR_ID は「オフショア海上監獄」から一時帰宅中！
Text.ActivityFeed.EscapedPrison8.Cap	$USER_NAME_OR_ID is revolting against The Glorious Regime!	$USER_NAME_OR_ID rebelliert gegen die The Glorious Regime!	$USER_NAME_OR_ID se rebelle au The Glorious Regime !	¡$USER_NAME_OR_ID está en revolución contra la The Glorious Regime!	$USER_NAME_OR_ID поднимает восстание в рабочем поселении с The Glorious Regime!	$USER_NAME_OR_ID si sta ribellando nel The Glorious Regime!		$USER_NAME_OR_ID は「栄光の帝国」に反旗を翻している！
Text.ActivityFeed.EscapedPrison7.Cap	$USER_NAME_OR_ID is phoning home from Area 17!	$USER_NAME_OR_ID ruft von Area 17 zu Hause an!	$USER_NAME_OR_ID passe un appel depuis Area 17 !	¡$USER_NAME_OR_ID está llamando a casa desde el Área 17!	$USER_NAME_OR_ID звонит домой из Area 17!	$USER_NAME_OR_ID sta chiamando a casa dall’Area 17!		$USER_NAME_OR_ID は「エリア17」の外から実家へ電話中！
Text.ActivityFeed.EscapedPrison6.Cap	$USER_NAME_OR_ID is floating on by from U.S.S Anomaly!	$USER_NAME_OR_ID treibt vom U.S.S Anomaly davon!	$USER_NAME_OR_ID gravite à proximité de U.S.S Anomaly !	¡$USER_NAME_OR_ID está flotando alrededor la U.S.S Anomaly!	$USER_NAME_OR_ID уплывает навсегда из U.S.S Anomaly тюрьмы!	$USER_NAME_OR_ID sta galleggiando via dalla U.S.S Anomaly!		$USER_NAME_OR_ID は「アノマリー宇宙監獄」の外で宇宙遊泳を満喫中！
Text.ActivityFeed.EscapedPrison3.Cap	$USER_NAME_OR_ID has been liberated from K.A.P.O.W Camp!	$USER_NAME_OR_ID wurde aus dem K.A.P.O.W Camp befreit!	$USER_NAME_OR_ID a été libéré du K.A.P.O.W Camp !	¡$USER_NAME_OR_ID ha sido liberado del campo de K.A.P.O.W Camp!	$USER_NAME_OR_ID освободился из K.A.P.O.W Camp!	$USER_NAME_OR_ID corre verso la libertà dal K.A.P.O.W Camp!		$USER_NAME_OR_ID は「カパウ強制収容所」から解放された！
Text.ActivityFeed.LockedUp.Con	$USER_NAME_OR_ID has been locked up in $ALL_COUNT prisons	$USER_NAME_OR_ID wurde in $ALL_COUNT Gefängnissen eingesperrt	$USER_NAME_OR_ID s'est fait enfermer dans $ALL_COUNT prisons.	$USER_NAME_OR_ID ha sido encerrado en $ALL_COUNT prisiones.	$USER_NAME_OR_ID застрял в $ALL_COUNT тюрьмах	$USER_NAME_OR_ID è stato/a rinchiuso/a in $ALL_COUNT prigioni		$USER_NAME_OR_ID は $ALL_COUNT 個目の刑務所に収監された
Text.ActivityFeed.LockedUp.Cap	$USER_NAME_OR_ID is locked up in %NAME%	$USER_NAME_OR_ID wurde in %NAME% eingesperrt.	$USER_NAME_OR_ID est enfermé à %NAME%.	$USER_NAME_OR_ID está encerrado en %NAME%.	$USER_NAME_OR_ID застрял здесь: %NAME%	$USER_NAME_OR_ID è rinchiuso/a in %NAME%		$USER_NAME_OR_ID は %NAME% に収監されている
Text.Presence.InGamePrison1	Serving hard time in Centre Perks 2.0! Day %DAY%	Sitzt in Centre Perks 2.0 Zeit ab! Tag %DAY%	Purge une longue peine à Centre Perks 2.0 ! Jour %DAY%	¡Cumpliendo una dura condena en Centre Perks 2.0! Día %DAY%	Отбывая срок в Centre Perks 2.0! День %DAY%	Sole a scacchi nel Centre Perks 2.0! Giorno %DAY%		「センターパークス2.0」で過酷な刑期を務めている！ %DAY% 日目
Text.Presence.EscapedPrison1	Relaxing outside of Centre Perks 2.0! Day %DAY%	Entspannt sich außerhalb von Centre Perks 2.0! Tag %DAY%	Se prélasse hors de Centre Perks 2.0 ! Jour %DAY%	¡De relax en los alrededores de Centre Perks 2.0! Día %DAY%	Отдых за стенами тюрьмы Centre Perks 2.0! День %DAY%	Un po’ di relax fuori dal Centre Perks 2.0! Giorno %DAY%		「センターパークス2.0」の外でリラックスしている！ %DAY% 日目
Text.Presence.InGamePrison2	Doing porridge in Rattlesnake Springs! Day %DAY%	Ist Gefangener in Rattlesnake Springs! Tag %DAY%	Purger sa peine à Rattlesnake Springs ! Jour %DAY%	¡Haciendo el desayuno en Rattlesnake Springs! Día %DAY%	На нарах в тюряге «Рэттлснейк Спрингс»! День %DAY%	Dietro le sbarre nelle Rattlesnake Springs! Giorno %DAY%		「ラトルスネイク・スプリングス」に服役中！ %DAY% 日目
Text.Presence.EscapedPrison2	Free at last from the Rattlesnake Springs! Day %DAY%	Ist endlich weg aus Rattlesnake Springs! Tag %DAY%	Enfin sorti de Rattlesnake Springs ! Jour %DAY%	¡Por fin libre de Rattlesnake Springs! Día %DAY%	Наконец на свободу из тюрьмы «Рэттлснейк Спрингс»! День %DAY%	Finalmente fuori da Rattlesnake Springs! Giorno %DAY%		「ラトルスネイク・スプリングス」からついに脱出！ %DAY% 日目
Text.Presence.InGamePrison3	Doing bird in K.A.P.O.W Camp! Day %DAY%	Verbringt seine Zeit im K.A.P.O.W-Lager! Tag %DAY%	En taule au camp K.A.P.O.W. ! Jour %DAY%	¡Como un pájaro en el campamento K.A.P.O.W! Día %DAY%	Заключение в лагере K.A.P.O.W! День %DAY%	In gattabuia al K.A.P.O.W Camp! Giorno %DAY%		「カパウ強制収容所」でクサい飯を食っている！ %DAY% 日目
Text.Presence.EscapedPrison3	Liberated from K.A.P.O.W Camp! Day %DAY%	Ist aus dem K.A.P.O.W-Lager befreit! Tag %DAY%	Libéré du camp K.A.P.O.W. ! Jour %DAY%	¡Te has liberado del campamento K.A.P.O.W! Día %DAY%	Освобождение из лагеря K.A.P.O.W! День %DAY%	Libertà dal K.A.P.O.W Camp! Giorno %DAY%		「カパウ強制収容所」から解放された！ %DAY% 日目
Text.Presence.InGamePrison4	Locked down in U.S.S Anomaly! Day %DAY%	Ist eingebuchtet auf der U.S.S Anomaly! Tag %DAY%	Enfermé dans l'U.S.S. Anomaly ! Jour %DAY%	¡Bloqueado en la Anomalía U.S.S.! Día %DAY%	Под замком на корабле ВМС США «Аномалия»! День %DAY%	In galera nella U.S.S Anomaly! Giorno %DAY%		「アノマリー宇宙監獄」に閉じ込められている！ %DAY% 日目
Text.Presence.EscapedPrison4	Floating on by from U.S.S Anomaly! Day %DAY%	Treibt von der U.S.S Anomaly davon! Tag %DAY%	Dérive de l'U.S.S. Anomaly ! Jour %DAY%	¡Flotando por la Anomalía U.S.S.! Día %DAY%	Отплытие с корабля ВМС США «Аномалия»! День %DAY%	Galleggiando via dalla U.S.S Anomaly! Giorno %DAY%		「アノマリー宇宙監獄」の外で宇宙遊泳を満喫中！ %DAY% 日目
Text.Presence.InGamePrison5	Serving a stint in Fort Tundra! Day %DAY%	Ist auf karger Kost im Fort Tundra! Tag %DAY%	En cabane au Fort Tundra ! Jour %DAY%	¡Sirviendo en Fort Tundra! Día %DAY%	Отсидка в форте «Тундра»! День %DAY%	Al fresco a Fort Tundra! Giorno %DAY%		「フォートツンドラ」で刑期を務めている！ %DAY% 日目
Text.Presence.EscapedPrison5	Looking in from outside Fort Tundra! Day %DAY%	Blickt von außen nach Fort Tundra hinein! Tag %DAY%	Contemple Fort Tundra de l'extérieur ! Jour %DAY%	¡Contemplando Fort Tundra desde fuera! Día %DAY%	Удалось вырваться из-за решеток форта «Тундра»! День %DAY%	Guardando Fort Tundra da fuori! Giorno %DAY%		「フォートツンドラ」を外から見物中！ %DAY% 日目
Text.Presence.InGamePrison6	Doing a stretch in H.M.P Offshore! Day %DAY%	Sitzt Zeit im H.M.P Offshore ab! Tag %DAY%	Emprisonné sur la plateforme H.M.P. ! Jour %DAY%	¡Haciendo estiramientos en H.M.P Offshore! Día %DAY%	Срок в морской тюрьме Ее Величества! День %DAY%	Scontando la pena nella H.M.P Offshore! Giorno %DAY%		「オフショア海上監獄」で刑期を務めている！ %DAY% 日目
Text.Presence.EscapedPrison6	Taking leave from H.M.P Offshore! Day %DAY%	Nimmt Urlaub vom H.M.P Offshore! Tag %DAY%	Prend congé de la plate-forme H.M.P. ! Jour %DAY%	¡Día de despedida de H.M.P. Offshore! Día %DAY%	"Прощай навсегда, морская тюрьма Ее Величества! День %DAY%"	Via dalla H.M.P Offshore! Giorno %DAY%		「オフショア海上監獄」から一時帰宅中！ %DAY% 日目
Text.Presence.InGameTransport7	Railroaded to prison on Cougar Creek Railroad! Day %DAY%	Ist auf dem Weg zum Cougar Creek Railroad! Tag %DAY%	Aux fers sur la Voie ferrée de Cougar Creek ! Jour %DAY%	¡Transportado a prisión en Cougar Creek Railroad! Día %DAY%	Транспортация в тюрьму по железной дороге Кугар Крик! День %DAY%	Destinazione prigione sulla Cougar Creek Railroad! Giorno %DAY%		「クーガークリーク鉄道」で刑務所へ移送中！ %DAY% 日目
Text.Presence.EscapedTransport7	Conducting an escape from the Cougar Creek Railroad! Day %DAY%	Bricht aus dem Cougar Creek Railroad aus! Tag %DAY%	Organise une évasion depuis la Voie ferrée de Cougar Creek ! Jour %DAY%	¡Orquestando una fuga desde Cougar Creek Railroad! Día %DAY%	Невероятный побег с железной дороги Кугар Крик! День %DAY%	Evadendo dalla Cougar Creek Railroad! Giorno %DAY%		「クーガークリーク鉄道」から脱出を果たした！ %DAY% 日目
Text.Presence.InGameTransport8	Sailing to the slammer on H.M.S Orca! Day %DAY%	Segelt auf der H.M.S Orca! Tag %DAY%	Rame au bagne du H.M.S. Orca ! Jour %DAY%	¡Navegando sin rumbo en el H.M.S. Orca! Día %DAY%	На корабле «Касатка» прямиком в каталажку! День %DAY%	Navigando verso il carcere sulla H.M.S Orca! Giorno %DAY%		「監獄船オルカ」で収監先へと航海中！  %DAY% 日目
Text.Presence.EscapedTransport8	Speeding to safety from H.M.S Orca! Day %DAY%	Rast von der H.M.S Orca in Sicherheit! Tag %DAY%	File loin du H.M.S. Orca ! Jour %DAY%	¡A salvo a toda velocidad de H.M.S Orca! Día %DAY%	С военного корабля «Касатка» — в безопасную гавань! День %DAY%	Verso la salvezza dalla H.M.S Orca! Giorno %DAY%		「監獄船オルカ」から自由へ向かって加速中！ %DAY% 日目
Text.Presence.InGameTransport9	Flying to jail on Air Force Con! Day %DAY%	Fliegt auf der Air Force Con!  Tag %DAY%	A atterri en cellule à Air Force Con ! Jour %DAY%	¡Volando hacia la cárcel en Air Force Con! Día %DAY%	Полет в заключение в тюрьме ВВС! День %DAY%	In volo verso la galera sull’Air Force Con! Giorno %DAY%		「エアフォース・コン」で監獄へ向かって飛行中！ %DAY% 日目
Text.Presence.EscapedTransport9	Flying to freedom from Air Force Con! Day %DAY%	S'envole vers la liberté après Air Force Con ! Jour %DAY%	Plane en liberté hors du Plane ! Jour %DAY%	¡Volando hacia la libertad desde Air Force Con! Día %DAY%	Полет к свободе из тюрьмы ВВС! День %DAY%	Volando verso la libertà dal Air Force Con! Giorno %DAY%		「エアフォース・コン」から自由へ向かって飛行中！ %DAY% 日目
Text.Presence.InGamePrison10	Being probed in Area 17! Day %DAY%	Ist Versuchsobjekt in Area 17! Tag %DAY%	Se fait interroger dans Area 17 ! Jour %DAY%	¡Sometido a pruebas en el Área 17! Día %DAY%	Проверка на прочность в Зоне 17! День %DAY%	Sotto indagine nell’Area 17! Giorno %DAY%		「エリア17」で調査されている！ %DAY% 日目
Text.Presence.EscapedPrison10	Phoning home from Area 17! Day %DAY%	Ruft von Area 17 zu Hause an! Tag %DAY%	Passe un appel depuis Area 17 ! Jour %DAY%	¡Llamando a casa desde el Área 17! Día %DAY%	Звонок домой из Зоны 17! День %DAY%	Chiamando a casa dall’Area 17! Giorno %DAY%		「エリア17」の外から実家に電話中！ %DAY% 日目
Text.Presence.InGamePrison11	Praising the Glorious Leader in The Glorious Regime! Day %DAY%	Lobt den ruhmreichen Führer im Glorreichen Regime! Tag %DAY%	Soumis au chef tout-puissant de l'admirable Régime ! Jour %DAY%	¡Alabando al glorioso líder en The Glorious Regime! Día %DAY%	Прославление Великого Вождя великолепного режима! День %DAY%	Adorando il Leader Glorioso in The Glorious Regime! Giorno %DAY%		「栄光の帝国」で栄光のリーダーを称えている！ %DAY% 日目
Text.Presence.EscapedPrison11	Revolting against The Glorious Regime! Day %DAY%	Rebelliert gegen das Glorreiche Regime! Tag %DAY%	Se révolte contre l'admirable Régime ! Jour %DAY%	¡Revelación contra The Glorious Regime! Día %DAY%	Восстание против великолепного режима! День %DAY%	Ribellandosi contro The Glorious Regime! Giorno %DAY%		「栄光の帝国」に反旗を翻している！ %DAY% 日目
Text.Presence.VersusOnline	Making friends on the inside in Versus.	Gewinnt in Versus Freunde.	Se fait des connexions en Versus.	Haciendo amigos dentro del modo Contra.	Новые тюремные друзья в режиме игры с соперником.	Stringendo amicizie in VS.		対戦モードで塀の中の友人を作っている。
Text.Presence.FrontEndCustomisation	Getting acquainted with the neighbours.	Macht Bekanntschaft mit den Nachbarn.	Fait connaissance avec ses voisins.	Conociendo a los vecinos.	Знакомство с соседями.	Facendo conoscenza dei vicini.		お隣さんと仲良くなっている。
Text.Presence.FrontEndGeneral	Contemplating a life of crime.	Meditiert über das Verbrecherleben.	Envisage une carrière criminelle.	Considerando iniciar una vida criminal.	Тайны криминального мира.	Contemplando una vita di crimini.		犯罪ライフについて熟考している。
Text.Presence.VersusLocal	Getting cosy in Versus.	Richtet sich in Versus ein.	Prend ses aises en Versus.	Acomodándose en modo Contra.	Располагайтесь в тюрьме в режиме игры с соперником.	A proprio agio in VS.		対戦モードでくつろいでいる。
Text.Presence.FrontEndLeaderboards	Scoping out the competition.	Schätzt die Konkurrenz ab.	Étudie la concurrence.	Analizando a los competidores.	Оценка конкурентов.	Sbirciando tra i rivali.		ライバルを値踏みしている。
Text.Presence.VersusWin	Exerting dominance in Versus.	Übt in Versus Dominanz aus.	Domine en mode Versus.	Dominando a todos en el modo Contra.	Установ. лидерства в режиме Соперник.	Dominando in VS.		対戦モードで支配力を発揮している。
Text.Menu.Legend09	[IN=Pause] CONTINUE	[IN=Pause] FORTFAHREN	[IN=Pause] CONTINUER	[IN=Pause] CONTINUAR	ПРОДОЛЖИТЬ [IN=Pause]	[IN=Pause] CONTINUA		[IN=Pause] で続行
Text.Interaction.Use	[IN=SecondaryInteraction] Використ.	[IN=SecondaryInteraction] Nutzen	[IN=SecondaryInteraction] Utiliser	[IN=SecondaryInteraction] Usar	Использ. [IN=SecondaryInteraction]	[IN=SecondaryInteraction] Usa		[IN=SecondaryInteraction] で使用
Text.Menu.Legend08	[IN=UI_Cancel] НАЗАД [IN=UI_CycleLeft] [IN=UI_CycleRight] ПЕРЕМКНУТИ ЗНАКИ [IN=UI_PrevPage] [IN=UI_NextPage] ПРИБЛИЗИТИ/ВІДДАЛИТИ [IN=EmoteCategory1] [IN=EmoteCategory4] ЗМІНИТИ ПОВЕРХ	[IN=UI_Cancel] ZURÜCK [IN=UI_CycleLeft] [IN=UI_CycleRight] SCHLÜSSEL WECHSELN [IN=UI_PrevPage] [IN=UI_NextPage] ZOOM REIN/RAUS [IN=EmoteCategory1] [IN=EmoteCategory4] ETAGE WECHSELN	[IN=UI_Cancel] RETOUR [IN=UI_CycleLeft] [IN=UI_CycleRight] NAVIGUER [IN=UI_PrevPage] [IN=UI_NextPage] ZOOM AVANT / ARRIÈRE [IN=EmoteCategory1] [IN=EmoteCategory4] CHANGER NIVEAU	[IN=UI_Cancel] ATRÁS [IN=UI_CycleLeft] [IN=UI_CycleRight] ROTACIÓN [IN=UI_PrevPage] [IN=UI_NextPage] ACERCAR/ALEJAR IMAGEN [IN=EmoteCategory1] [IN=EmoteCategory4] CAMBIAR DE PLANTA	НАЗАД [IN=UI_Cancel] КНОПКА ПЕРЕКЛЮЧЕНИЯ [IN=UI_CycleLeft] [IN=UI_CycleRight] МАСШТАБ +/- [IN=UI_PrevPage] [IN=UI_NextPage] ДРУГОЙ ЭТАЖ [IN=EmoteCategory1] [IN=EmoteCategory4]	[IN=UI_Cancel] INDIETRO [IN=UI_CycleLeft] [IN=UI_CycleRight] CAMBIA LEGENDA [IN=UI_PrevPage] [IN=UI_NextPage] ZOOM IN/OUT [IN=EmoteCategory1] [IN=EmoteCategory4] CAMBIA PIANO		[IN=UI_Cancel] で戻る [IN=UI_CycleLeft] [IN=UI_CycleRight] でアイコンを切り替え [IN=UI_PrevPage] [IN=UI_NextPage] でズームイン/アウト [IN=EmoteCategory1] [IN=EmoteCategory4] でフロアを切り替え
