Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese			
&Text.Inmates.Banter	"Тутешній люд каже, що ти ніколи не повернешся…"	"Die Leute sagen, dass du nicht zurückkommen wirst ..."	Les gens d'ici disent que tu ne reviendras jamais...	La gente de por aquí dice que no vas a volver...	"Народ говорит, что ты не собираешься возвращаться..."	La gente qui dice che non tornerai mai più...	这儿的人都说你不会回来了……	あんたはここへは戻らないって、 みんな言ってら…			
&Text.Inmates.Banter	Як на одноногого фермера він був ще тим міцним горішком	Er war ziemlich stark für einen einbeinigen Ranger.	"Il était coriace, pour un fermier unijambiste..."	Para ser un ranchero cojo era duro de roer.	Для одноногого фермера он был крут	Per essere un fattore con una gamba sola era un duro	那个一条腿的牧场主还挺顽强的	片足の牧場主にしちゃあ、 タフだった			
&Text.Inmates.Banter	Та щезни	Zieh ab.	Dégage.	Piérdete.	Валим	Vattene	走开	うせな			
&Text.Inmates.Banter	Готуйте три труни	Mach drei Särge bereit.	Prépare trois cercueils.	Prepara tres ataúdes.	Приготовьте три гроба	Prepara tre bare	准备好三副棺材	棺桶を3つ用意しな			
&Text.Inmates.Banter	Йди втописі у кінському кориті 	Steck deinen Kopf in die Pferdetränke. 	"Va te noyer dans l'abreuvoir, vermine. "	Ve a meter la cabeza en el abrevadero. 	Иди макни башку в водопойное корыто 	Vai a mettere la testa nell'abbeveratoio 	把你的头扎进马槽里 	かいば桶に頭を突っ込みやがれ			
Text.Escape.Crate.Stage1.Succeed	Чудово! Тепер треба змайструвати та покласти верх коробки!	Gut! Jetzt den Kistendeckel basteln und anbringen!	"Parfait ! Maintenant, il nous faut un couvercle !"	¡Bien! ¡Ahora hay que crear una tapa para la caja!	Отлично! Теперь надо добавить крышку ящика!	Bene! Ora devo aggiungere una Parte superiore di cassa!	很好！现在制作并添加一个箱子顶！	やったぞ！次は「木のフタ」を作って、 組み合わせよう！			
&Text.Inmates.Banter	Я зараз здохну через цю спеку	Hitze erdrückt mich.	La chaleur m'a cuit.	El calor me puede.	Умираю от жары	Il caldo mi uccide	受不了这高温了	ハンパない暑さだ			
Text.Escape.Crate.TooFewPlayers	Я не можу втекти самотужки…	Ich schaffe die Flucht nicht alleine.	J'ai besoin d'aide pour m'évader...	No puedo organizar esta fuga yo solo...	Я не смогу сбежать в одиночку...	Ci vuole qualcun altro per evadere così...	我只靠自己无法逃出去……	この脱獄は1人ではできない…			
Text.Escape.Trash.TooFewPlayers	Я не можу так втекти власноруч!	So kann ich nicht alleine entkommen!	Je ne peux pas m'évader en solitaire !	¡No puedo escapar así yo solo!	Таким способом я не смогу бежать в одиночку!	Non posso evadere così senza nessun altro!	我现在这样无法独自越狱！	この脱獄は1人ではできない！			
&Text.Inmates.Banter	Я закатував ката	Ich hab den Henker erhängt.	J'ai tué le bourreau.	He colgado al verdugo.	Я повесил палача	Ho impiccato il boia	我吊死了刽子手	首吊り人を吊ってやらあ			
&Text.Inmates.Banter	Я вбив більше людей, ніж посуха	Ich hab mehr Leute umgebracht als die Dürre.	J'ai tué plus d'homme que la sécheresse.	He matado a más hombres que la sequía.	"Я убил больше людей, чем сгубила засуха"	Ho ammazzato più uomini io della siccità	我杀的人比死于干旱的人都多	干ばつよりも大勢ぶっ殺したさ			
Text.Escape.Crate.Stage1.Wrong	Мені треба змайструвати корпус коробки…	Ich muss Kistenwände basteln ...	J'ai besoin d'un tour de caisse...	Hay que fabricar una carcasa para la caja...	Мне надо сделать корпус ящика...	Devo costruire un Involucro di cassa...	我需要制作箱子罩……	「木箱」を作らないと…			
Text.Escape.Crate.Stage2.Wrong	Далі мені слід змайструвати верх коробки…	Ich muss als Nächstes den Kistendeckel basteln.	J'ai besoin d'un couvercle de caisse...	Ahora hay que fabricar una tapa para la caja...	Потом мне надо сделать крышку ящика...	Devo costruire una Parte superiore di cassa...	接下来我需要制作箱子顶……	次は「木のフタ」を作らないと…			
Text.Escape.Trash.MoreRepetition	Треба змайструвати та покласти ще сміттєвий мішок для дихання…	Ich muss eine weitere atembare Mülltüte basteln und platzieren.	Je dois fabriquer un autre sac poubelle respirant...	Tengo que crear y añadir otra bolsa de residuos transpirable...	Мне нужно сделать еще один воздухопроницаемый мешок для мусора...	Devo creare un altro Sacco della spazzatura traspirante...	我需要再制作并添加一个透气的垃圾袋……	「空気穴つきゴミ袋」をもう1個作って、 組み合わせないと…			
&Text.Guards.RollCallMain	Я порву вас як печиво!	Ich zerbreche dich wie einen Keks!	Je vais t'écraser comme un insecte !	¡Te voy a aplastar como a una galleta!	Я сломаю тебя как печенюшку!	Ti spezzerò come un grissino!	我要把你像饼干一样折断！	クッキーみたいに捻りつぶしてやる！			
&Text.Inmates.Banter	Якби ми використали більше вибухівки	Hätten wir nur mehr Dynamit verwendet.	J'aurais dû utiliser plus de dynamite.	Si pudiésemos usar más dinamita...	Надо было брать больше динамита	Avremmo dovuto usare più dinamite	要是我们再多用点炸药就好了	もっと派手に吹っ飛ばしてりゃな			
&Text.Inmates.Banter	Я тут за конокрадство	Bin wegen Viehdiebstahls hier.	J'ai juste volé quelques bêtes.	Estoy aquí por robar ganado.	Я здесь за скотокрадство	Sono qui per furto di bestiame	我因为偷窃牲口而入狱	牛を盗んで捕まったのさ			
&Text.Inmates.Banter	"Я не божевільний, просто барвистий"	"Ich bin nicht irre, nur ein bunter Hund."	"Je ne suis pas fou, juste un peu timbré."	"No estoy loco, solo soy pintoresco."	"Я не чокнутый, я просто колоритный"	"Non sono pazzo, sono solo intenso"	我没疯，只是色彩丰富了些	イカれちゃいねえぜ、 派手好きなだけさ			
&Text.Guards.RollCallMain	Я вже не вперше розбираюся з такими дегенератами, як ви	Ich bin den Umgang mit Degenerierten wie dich gewöhnt.	J'ai l'habitude de m'occuper de débiles dans ton genre.	Ya estoy acostumbrado a tratar con degenerados como tú.	Я умею справляться с выродками вроде тебя	Ho già avuto a che fare con degenerati come te	我习惯了和你这样的堕落分子打交道	ボンクラの扱いには慣れてるさ			
&Text.Inmates.Banter	Урешті-решт, кат убив її	Am Ende holte sie der Henker.	Le bourreau a fini par l'avoir.	Al final el verdugo la atrapó.	В конце концов палач поймал ее	Alla fine il boia l'ha presa	最后她栽在了刽子手手里	最後は首吊り人に捕まった			
&Text.Guards.RollCallMain	Саме в такому вбранні ви бажаєте померти?	Wollt ihr in den Klamotten sterben?	C'est dans cette tenue que tu veux mourir ?	¿Es ese el traje en el que quieres morir?	Тебя в этом костюме хоронить?	Vuoi morire con questo vestito?	你想穿着这身衣服死吗？	そいつがおまえの死装束か？  			
&Text.Inmates.Banter	Це пограбування?	Ist das ein Überfall?	C'est un hold-up ?	¿Es esto un atraco?	Это ограбление?	Questa è una rapina?	这是持枪抢劫吗？	これって強盗か？  			
&Text.Inmates.Banter	То був двобій опівдні	Pistolen im Morgengrauen.	C'était un vrai duel.	Hubo pistolas al amanecer.	Это револьверы на рассвете	C'è stato un duello	那是黎明前的决斗	あれは夜明けの決闘だった			
&Text.Guards.RollCallMain	Дивіться на мене, коли я на вас волаю!	"Schau mich an, wenn ich dich anschreie!"	Regarde-moi quand je t'engueule !	¡Mírame cuando te grite!	"Смотреть на меня, когда я на тебя ору!"	Guardami mentre ti urlo in faccia!	我朝你吼时你得看着我！	怒鳴られてる時はこっちを見ろ！			
&Text.Guards.RollCallMain	Схоже, сьогодні лікарі будуть зайняті	Das Krankenpersonal wird heute wohl zu tun haben.	"Les médecins vont avoir du boulot, aujourd'hui."	Parece que el equipo médico hoy tendrá trabajo.	"Кажется, сегодня у врачей будет много работы"	Il personale medico avrà parecchio da fare oggi	看来今天医疗工作人员有的忙了	今日は医務室が忙しくなるぞ			
&Text.Inmates.Banter	Пан рівнин... то я	Herr der Prärie ... das bin ich.	Le seigneur des plaines... C'est moi.	El señor de las llanuras... ese soy yo.	Повелитель равнин... это я	Il signore delle praterie... sono io	平原之王……就是我	ステップの王とは…オレ様のことよ			
&Text.Inmates.Banter	У пустелі багацько дір…	Ne Menge Löcher in der Wüste ...	Le désert est troué de partout.	Hay muchos agujeros en el desierto...	В пустыне много дыр...	Il deserto è pieno di buche...	沙漠里有很多窟窿……	砂漠は色々とヤベえとこさ…			
&Text.Guards.RollCallMain	Мій кулак відповість на всі запитання, що ви маєте	Meine Faust wird alle eure Fragen beantworten.	Mon poing sera ravi de répondre à tes questions.	Mi puño responderá con gusto cualquier pregunta.	Мой кулак ответит на любые ваши вопросы	Il mio pugno risponderà a qualsiasi domanda	你有问题的话，我会用拳头回答你	質問があれば、 こぶしで答えてやる			
&Text.Inmates.Banter	Мій загін блукає рівнинами	Meine Bande streunt durch die Prärie.	Ma bande écume les plaines.	Mi banda está ahí fuera cabalgando.	Сейчас моя банда рыскает по равнинам	La mia banda sta vagando per le praterie	我的弟兄们在平原上游荡	兄弟どもが平原を徘徊してんだ			
&Text.Inmates.Banter	Не відпущу ніколи, Джеку!	"Ich lass dich nie los, Jack!"	"N'abandonne pas, Jack !"	"¡Nunca te rindas, Jack!"	Никогда не сдавайся!	"Non mollare, Jack!"	杰克，别松手！	絶対にあきらめんな！			
&Text.Inmates.Banter	Немає такого коня, якого не можна осідлати	Jedes Pferd kann geritten werden.	Aucun cheval n'est indomptable.	Aún no ha nacido un caballo que no se pueda domar.	"Нет такой лошади, которую нельзя объездить"	Non c'è cavallo che non possa essere cavalcato	没有骑不了的马	どんな馬でも乗りこなせたさ			
&Text.Guards.RollCallMain	Не певний, чи вдасться нам влаштовувати групові танці й надалі…	"Nicht sicher, ob der Tanz heute Abend für uns stattfindet ..."	Je ne sais pas si on va pouvoir maintenir notre petite fête...	No sé si vamos a seguir con el baile después...	"Не уверен, что позже мы сможем начать танцульки..."	Non so se potrà esserci la quadriglia più tardi...	不知道我们能否赶上稍候的舞会……	あとでダンスパーティに出れるかどうか…			
&Text.Inmates.Banter	Звичайний конокрад, та й усе	Nichts als ein Viehdieb.	Rien qu'un vulgaire voleur.	No es más que un cuatrero.	Обычный угонщик скота	Era solo uno sporco ladro	只是个偷牲口的贼	しがない牛泥棒さ			
Text.Escape.Crate.Stage3.Succeed	Тепер можна втекти!	Jetzt können wir fliehen!	À nous l'évasion !	¡Ahora podemos escapar!	Теперь можно бежать!	Ora possiamo evadere!	现在我们能逃出去了！	これで脱獄できる！			
Text.Escape.Crate.Stage2.Succeed	Тепер нам залишилося знайти поштову адресу…	Jetzt müssen wir noch eine Postadresse finden ...	Reste à trouver une adresse postale...	Ahora solo hay que encontrar una dirección postal...	Теперь остается только найти почтовый адрес...	Ora dobbiamo solo trovare un Indirizzo postale...	现在我们只需要找一个邮寄地址……	あとは宛先さえわかれば…			
&Text.Guards.RollCallMain	Хто хоче нас похвалити, гм?	Wer will uns jetzt loben?	"Alors, qui a quelque chose à dire ?"	¿Quién quiere elogiarnos ahora?	Кто хочет нас похвалить?	Chi vuole complimentarsi con noi?	谁想表扬我们？	で、 我々を称えたいヤツは？  			
&Text.Guards.RollCallMain	Ох, я зачіпив ваші почуття? 	Hab ich deine Gefühle verletzt? 	"Oh, j'ai réussi à te vexer ? "	"Vaya, ¿he herido tus sentimientos? "	Я ранил твои чувства? 	Ho ferito i tuoi sentimenti? 	我伤你心了吗？ 	おっと、 傷つけちまったか？  			
&Text.Inmates.Banter	Покажи мені десь поблизу водопій	Wo ist denn hier der nächste Saloon?	Tu peux m'indiquer le saloon du coin ?	Indícame el agujero de regar del lugar.	Покажи мне местное питейное заведение	Dimmi dov'è il bar del paese	当地酒馆在哪儿呀	地元のパブはどっちだい？  			
&Text.Guards.RollCallMain	Зберіться, люди!	"Zusammenreißen, Leute!"	"Ressaisissez-vous, les gars !"	¡Vamos a concentrarnos!	"Соберитесь, люди!"	Un po' di contegno!	大家打起精神来！	しゃきっとしろ、 おまえら！			
&Text.Inmates.Banter	Нагадай мені більш ніколи не грати тут у покер	"Erinnere mich, in dieser Stadt nie Poker zu spielen."	Rappelle-moi de ne plus jouer au poker dans ce trou.	Recuérdame que no juegue más al póker en esta ciudad.	Напомни мне никогда не играть в покер в этом городе	Non giocherò mai a poker con voi	提醒我别在这座小镇上打牌	この街じゃ、 二度とポーカーはしない			
&Text.Guards.RollCallMain	Подейкують, що вас скоро звільнять	"Es heißt, dass du bald von den Lebenden gehst."	Mon petit doigt me dit que tu vas bientôt pleurer.	Se rumorea que te van a liquidar.	"Ходят слухи, что вы готовите побег"	A quanto pare tra poco ti faranno fuori	听说你们要被炒鱿鱼了	おまえはもうすぐお払い箱だってよ			
&Text.Guards.RollCallMain	Глянь, чи пасує та петля…	"Schauen wir, ob die Schlinge passt."	Voyons si ce nœud est adapté...	A ver si este nudo es de tu talla...	"Проверь, подходит ли петля..."	Vediamo se il cappio va bene...	看看这个绳套大小是否合适……	この縄が合うといいが…			
&Text.Guards.RollCallMain	Бачите стерв’ятників над головою?	Seht ihr die Geier über uns?	Tu vois ces vautours ?	¿Ves esos buitres de ahí arriba?	Видите падальщиков над головами?	Vedete quegli avvoltoi lassù?	看到上空那些秃鹫了吧？	お空のハゲタカが見えるか？  			
&Text.Inmates.Banter	Побачимося опівдні	Seh dich zu Mittag.	T'es le bon ou la brute ?	Te veo a la hora señalada.	Увидимся в полдень	Appuntamento a mezzogiorno	我们正午再见	真昼に会おう			
&Text.Inmates.Banter	Вона сказала, шо не може	"Sie sagte, sie kann nicht."	Elle a dit non.	Ella dijo que no podía.	"Она сказала, не может"	Ha detto che non può	她说她办不到	彼女はムリだってさ			
&Text.Inmates.Banter	Шериф і тебе викрав, та?	"Der Sheriff hat dich auch aufgetrieben, hm?"	"Le shérif t'a aussi coffré, hein ?"	¿El comisario también te ha pillado?	"Шериф и тебя обокрал, а?"	"Lo sceriffo ha acciuffato anche te, eh?"	警长也把你逮到了吗？	あんたも保安官にとっ捕まったか？  			
&Text.Inmates.Banter	Шериф був ще тим паскудою	Der Sheriff war mies.	Le shérif était sans pitié.	El sheriff era mala hierba	Шериф был плохим парнем	Lo sceriffo era uno tosto	警长曾经是个坏家伙	保安官はかなりのワルだった			
Text.Escape.Crate.Stage3.Wrong	Поштова адреса має бути в когось у столі…	Jemand muss eine Postadresse im Schreibtisch haben ...	Il doit bien y avoir une adresse postale dans un bureau...	Alguien tendrá una dirección postal en el escritorio...	У кого-нибудь в столе должен быть почтовый адрес...	Qualcuno deve avere un Indirizzo postale nel suo tavolo...	有人肯定在桌子里放了邮寄地址……	誰かが机の中に「宛て先」をしまってあるはず…			
&Text.Guards.RollCallMain	Годі нити!	Heult nicht!	Pleure pas !	¡No llores!	Хватит ныть!	Basta frignare!	别哭了！	メソメソすんな！			
&Text.Inmates.Banter	Ох, як я сумую за життям на ранчо!	Ich vermisse das Leben auf der Ranch!	La vie au ranch me manque !	¡Echo de menos la vida en el rancho!	"Конечно, я скучаю по жизни на ранчо!"	Mi manca proprio la vita al ranch!	我真想念牧场生活！	牧場暮らしが恋しいよ！			
&Text.Inmates.Banter	Егеж, був самозакоханий	War sicher hübsch.	Elle était belle !	Era preciosa.	"Ясно, что милашка"	Era proprio bella	真可爱	可愛かったよなあ			
&Text.Guards.RollCallMain	"Випробуватимете моє терпіння - побачите, шо сі стане"	"Testet meine Geduld, seht, was passiert."	"Vas-y, joue avec ma patience."	"Pon a prueba mi paciencia, a ver qué pasa."	"Испытай мое терпение и увидишь, что будет"	"Giocate con la mia pazienza, su, provateci"	别考验我的耐心，否则后果自负	オレを怒らせるんじゃない			
&Text.Guards.RollCallMain	Кат скоро до нас завітає	Der Henker kommt dann später.	Le bourreau passera plus tard.	El verdugo vendrá más tarde.	Палач заглянет попозже	Il boia passerà a trovarvi più tardi	刽子手过一会儿要来	あとで首吊り人がお迎えにあがる			
&Text.Guards.RollCallMain	Учорашній випадок не повториться!	Der Vorfall von gestern wird sich nicht wiederholen.	L'incident d'hier ne se reproduira pas !	¡El incidente de ayer no se repetirá!	Вчерашний инцидент больше не повторится!	L'incidente di ieri non si ripeterà!	以后别再出现昨天的事件！	昨日のような騒ぎは二度と御免だ！			
&Text.Guards.RollCallMain	Шериф умив руки	Der Sheriff ist für euch nicht zuständig.	Le shérif se fout complètement de vous.	El sheriff se desentiende de todos vosotros.	"Шериф сказал, что умывает руки"	Lo sceriffo se ne lava le mani di tutti voi	警长不管你们了。	保安官はおまえらなんて知らないってよ			
&Text.Guards.RollCallMain	Трунар вже в дорозі	Der Totengräber ist unterwegs.	Le croque-mort est en route.	El sepulturero está en camino.	Гробовщик уже выехал	Il becchino sta arrivando	殡葬承办人正在赶来的路上	葬儀屋がこっちへ向かってる			
&Text.Guards.RollCallMain	Розмірковуєте про втечу, правда ж?	"Ihr denkt daran, auszubrechen, richtig?"	"Tu penses t'évader, hein ?"	"Quieres fugarte, ¿verdad?"	"Думаешь, как бы сбежать, да?"	"Stai pensando di evadere, vero?"	你们在盘算越狱吧？	脱獄しようと思ってやがるな？  			
&Text.Inmates.Banter	Знаєш, се не моє перше родео	"Das ist nicht mein erster Rodeo, klar?"	C'est pas mon premier rodéo.	"Este no es mi primer rodeo, ¿sabes?"	"Это не первое мое родео, знаешь ли"	"Sai, questa non è la mia prima volta"	这不是我第一次参加牛仔竞技比赛	こいつは初めてのロデオじゃねえのさ			
&Text.Inmates.Banter	Колись ганяв з найкращими	Bin mit den besten geritten.	J'étais avec une bande célèbre.	Solía cabalgar con los mejores.	Я был среди лучших	Cavalcavo con i migliori	我曾经和最出色的骑手同行	以前は最高の馬に乗ってた			
&Text.Inmates.Banter	Мене розшукували у дев’яти стейтах	Wurde in neun Staaten gesucht.	Recherché dans neuf États.	Me buscaban en nueve estados.	Разыскивался в девяти штатах	Era ricercato in nove stati	在九个州被通缉	9つの州でお尋ね者よ			
Text.Escape.Crate.ProximityDialogue	Ми не можемо втекти, поки тут не будуть усі!	"Wir können hier nicht abhauen, bis alle da sind!"	On ne peut pas fuir avant l'arrivée des autres !	¡No podemos irnos hasta que estén todos aquí!	"Мы не можем уйти, пока все не вернутся!"	Non possiamo andare finché non saranno tutti qui!	等大家到齐后我们才能离开！	全員がそろわないと脱獄できない！			
&Text.Inmates.Banter	Нас піймали, бо ми зажерлися	Wir wurden zu gierig und geschnappt.	"On en voulait trop, on s'est fait pincer"	Nos han atrapado por avariciosos.	"Нас поймали, потому что мы пожадничали"	"Ci hanno presi, siamo stati avidi"	我们太贪心所以被抓了	欲深いから捕まったのさ			
&Text.Guards.RollCallMain	Нам треба буде переміряти розміри для вашої домовини	Wir müssen eure Sargabmessungen später aktualisieren.	On passera prendre tes mesures pour le cercueil plus tard.	Tenemos que confirmar las medidas de tu ataúd.	Позже надо будет снять с вас мерки для гробов	Più tardi dovrò aggiornare le misure della vostra bara	我们过一会儿要更新你的棺材尺寸	あとで棺桶の採寸をやり直そう			
&Text.Inmates.Banter	Ми вичистили той банк, ще й як	Wir haben die Bank richtig ausgeräumt.	Notre braquage était parfait...	Hemos dejado ese banco vacío.	Мы обчистили банк	Quella banca l’abbiamo ripulita bene	我们把那个银行抢了个精光	あの銀行はすっからかんさ			
&Text.Inmates.Banter	Ну, хіба се не денді?	"Nun, nicht so gut."	Si c'est pas formidable.	"Vaya, eso está muy bien."	Мы не такие уж денди	"Già, non male"	这可真妙	ま、 イケてるよな			
&Text.Guards.RollCallMain	Ми додамо жару	Wir drehen die Temperatur hoch.	On va monter le chauffage.	Estamos caldeando el ambiente.	Мы поддаем жару	Stiamo aumentando la temperatura	我们要让事件升温	もっとアツくしてやるぜ			
Text.Escape.Trash.RepetitionsDone	З мене досить!	Das ist genug!	On en a assez !	¡Ya es suficiente!	С меня хватит!	Ne abbiamo abbastanza!	我们受够了！	もう十分だ！			
&Text.Guards.RollCallMain	Яка жалюгідна купа злодіяк!	Was für ein elender Haufen Gesetzloser!	Quelle misérable bande de hors-la-loi !	¡Vaya una patética banda de forajidos!	Что за жалкое сборище изгоев!	Che banda di pessimi fuorilegge!	一帮可悲的歹徒！	ハンパな悪党どもめ！			
&Text.Inmates.Banter	Якого дідька?!	Was zur Hölle?!	Nom d'un cowboy en rut !	¡¿Qué demonios?!	Что за черт?!	Ma che diavolo...?!	搞什么？！	なんなんだよ？  ！			
&Text.Guards.RollCallMain	Хто хоче наїстися свинця?	Wer will ein Maul voll Schrot?	Qui veut goûter à un peu de plomb ?	¿Quién quiere un bocado de un perdigones?	Кому набить рот картечью?	Chi vuole mangiare un po’ di pallettoni?	谁想吃枪子？	散弾銃を食らいたいヤツ？  			
&Text.Guards.RollCallMain	Хто замовляв побиття?	Wer hat hier um Prügel gebeten?	Lequel d'entre vous voulait s'en prendre une ?	¿Quién ha pedido una paliza?	Кто заказывал порку?	Chi è che voleva delle botte?	刚刚谁讨打？	ぶん殴られたいのはどいつだ？  			
&Text.Inmates.Banter	Подейкують, шо мій гурт скоро витягне мене звідси	"Es heißt, dass mich meine Bande hier bald raushaut."	Mes amis vont bientôt me faire sortir d'ici.	Se dice que mi banda planea sacarme de aquí muy pronto.	"Говорят, что моя банда очень скоро организует мне побег"	Pare che presto la mia banda mi tirerà fuori di qui	听说我的弟兄们很快就会来把我救出去	じきに仲間が出してくれるらしい			
&Text.Guards.RollCallMain	Агов, ви мене там чуєте?	Hört ihr mich da hinten?	"Vous m'entendez, au fond ?"	¿Me oís ahí al fondo?	"Эй, задние ряды! Слышите меня?"	Mi sentite là dietro?	后面的人能听到我说话吗？	後ろのほう聞こえるか？  			
&Text.Guards.RollCallMain	Ви билися зі законом та він переміг	Ihr habt gegen das Gesetz gekämpft und verloren.	Tu as défié la loi. La loi a gagné.	Has luchado contra la justicia y has perdido.	"Ты сразился с законом, и закон победил"	Avete sfidato la legge e la legge ha vinto	我们和法律作对，结果输了	法とケンカして負けたのさ			
