Text ID	English	German	French	Spanish	Russian	Italian		
Text.Dialog.LostConnection	LOST CONNECTION	VERBINDUNG VERLOREN	CONNEXION PERDUE	CONEXIÓN PERDIDA	ПОТЕРЯ СОЕДИНЕНИЯ	CONNESSIONE PERSA		
Text.Dialog.LostConnection.Body	You have been disconnected from Xbox Live.	Du wurdest von Xbox Live getrennt.	Votre connexion au Xbox Live a été perdue.	Has sido desconectado de Xbox Live.	Вы отключились от Xbox Live.	Sei stato disconnesso da Xbox Live.		
Text.Dialog.XPRIVILEGE_COMMUNICATIONS.Aborted	WARNING	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		
Text.Dialog.XPRIVILEGE_COMMUNICATIONS.Aborted.Body	An Xbox Live account setting restricts [User] from using this feature.	Funktion wegen Xbox Live-Kontoeinstellungen für [User] nicht verfügbar.	Les paramètres de compte Xbox Live de [User] l'empêchent d'utiliser cette fonctionnalité.	Un ajuste de la cuenta de Xbox Live impide que [User] use esta función.	Настройки учетной записи Xbox Live не позволяют игроку [User] использовать эту функцию.	[User] non può usare questa funzionalità per le restrizioni dell’account Xbox Live.		
Text.Dialog.XPRIVILEGE_COMMUNICATIONS.Purchase	WARNING	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		
Text.Dialog.XPRIVILEGE_COMMUNICATIONS.Purchase.Body	An Xbox Live account setting restricts [User] from using this feature.	Funktion wegen Xbox Live-Kontoeinstellungen für [User] nicht verfügbar.	Les paramètres de compte Xbox Live de [User] l'empêchent d'utiliser cette fonctionnalité.	Un ajuste de la cuenta de Xbox Live impide que [User] use esta función.	Настройки учетной записи Xbox Live не позволяют игроку [User] использовать эту функцию.	[User] non può usare questa funzionalità per le restrizioni dell’account Xbox Live.		
Text.Dialog.XPRIVILEGE_COMMUNICATIONS.Banned	WARNING	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		
Text.Dialog.XPRIVILEGE_COMMUNICATIONS.Banned.Body	[User] was banned from using Online Multiplayer Features.	[User] wurde die Nutzung der Online-Mehrspieler-Funktionen verboten.	[User] n'est plus autorisé(e) à utiliser le multijoueur en ligne.	Se ha prohibido que [User] use las funciones del modo Multijugador en línea.	Игроку [User] запрещено использовать функции сетевой игры.	[User] non può usare le funzionalità del Multiplayer Online.		
Text.Dialog.XPRIVILEGE_COMMUNICATIONS.Restricted	WARNING	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		
Text.Dialog.XPRIVILEGE_COMMUNICATIONS.Restricted.Body	An Xbox Live account setting restricts [User] from using this feature.	Funktion wegen Xbox Live-Kontoeinstellungen für [User] nicht verfügbar.	Les paramètres de compte Xbox Live de [User] l'empêchent d'utiliser cette fonctionnalité.	Un ajuste de la cuenta de Xbox Live impide que [User] use esta función.	Настройки учетной записи Xbox Live не позволяют игроку [User] использовать эту функцию.	[User] non può usare questa funzionalità per le restrizioni dell’account Xbox Live.		
Text.Dialog.NoProfileView	WARNING	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		
Text.Dialog.NoProfileView.Body	Cannot open Gamercard due to privacy settings of the other user.	Kann Spielerkarte wegen Datenschutz-Einstellungen des anderen Nutzers nicht öffnen.	Ses param. de confidentialité ne vous permettent pas de voir la carte du joueur.	Error al abrir la tarjeta de jugador debido a la config. de privacidad del otro usuario.	Не удается открыть карту из-за настроек конфиденц. другого пользователя.	Impossibile aprire la scheda giocatore per le impostazioni sulla privacy dell’utente.		
FE.ControllerText.01	[IN=OpenMainMap] Map	[IN=OpenMainMap] Karte	[IN=OpenMainMap] Carte	[IN=OpenMainMap] Mapa	[IN=OpenMainMap] Кaртa	[IN=OpenMainMap] Mappa		
FE.ControllerText.02	[IN=Pause] Game Management	[IN=Pause] Spielverwaltung	[IN=Pause] Gestion de partie	[IN=Pause] Gestión de la partida	[IN=Pause] Управление игрой	[IN=Pause] Gestione gioco		
FE.ControllerText.03	[IN=Attack] Attack	[IN=Attack] Angriff	[IN=Attack] Attaquer	[IN=Attack] Atacar	[IN=Attack] Атака	[IN=Attack] Attacco		
FE.ControllerText.04	[IN=CycleFilter1] Cycle Inventory	[IN=CycleFilter1] Inventar durchblättern	[IN=CycleFilter1] Naviguer	[IN=CycleFilter1] Rotar inventario	[IN=CycleFilter1] Переключить запасы	[IN=CycleFilter1] Scorri Inventario		
FE.ControllerText.05	[IN=Open Ingame Menu] Inventory	[IN=Open Ingame Menu] Inventar	[IN=Open Ingame Menu] Inventaire	[IN=Open Ingame Menu] Inventario	[IN=Open Ingame Menu] Запасы	[IN=Open Ingame Menu] Inventario		
FE.ControllerText.06	[IN=HUD_Drop] Drop	[IN=HUD_Drop] Abwurf	[IN=HUD_Drop] Jeter	[IN=HUD_Drop] Soltar	[IN=HUD_Drop] Бросить	[IN=HUD_Drop] Lascia		
FE.ControllerText.07	[IN=Open] Interact/Lift (Hold)	[IN=Open] Handeln/Heben (Halten)	[IN=Open] Interagir / Soulever (maintenir)	[IN=Open] Interactuar/Levantar (Mantener)	[IN=Open] Задейств./поднять (держать)	[IN=Open] Interagisci/Solleva (Tieni)		
FE.ControllerText.08	[IN=Use] Використати	[IN=Use] Nutzen	[IN=Use] Utiliser	[IN=Use] Usar	[IN=Use] Использ.	[IN=Use] Usa		
FE.ControllerText.09	[IN=CombatTarget_Horizontal] Change Target	[IN=CombatTarget_Horizontal] Ziel ändern	[IN=CombatTarget_Horizontal] Changer de cible	[IN=CombatTarget_Horizontal] Cambiar objetivo	[IN=CombatTarget_Horizontal] Изменить цель	[IN=CombatTarget_Horizontal] Cambia obiettivo		
FE.ControllerText.10	[IN=CombatTargetting] Target Lock	[IN=CombatTargetting] Ziel fassen	[IN=CombatTargetting] Verrouiller cible	[IN=CombatTargetting] Fijar objetivo	[IN=CombatTargetting] Захват цели	[IN=CombatTargetting] Punta obiettivo		
FE.ControllerText.11	[IN=EmoteCategory1] Emotes	[IN=EmoteCategory1] Gefühle	[IN=EmoteCategory1] Communication	[IN=EmoteCategory1] Emoticonos	[IN=EmoteCategory1] Эмоции	[IN=EmoteCategory1] Emote		
FE.ControllerText.12	[IN=Move_Horizontal] Move	[IN=Move_Horizontal] Gehen	[IN=Move_Horizontal] Déplacements	[IN=Move_Horizontal] Mover	[IN=Move_Horizontal] Перемещ.	[IN=Move_Horizontal] Muovi		
FE.ControllerText.13	[IN=Tag] Tag	[IN=Tag] Taggen	[IN=Tag] Repère	[IN=Tag] Etiquetar	[IN=Tag] Метка	[IN=Tag] Marchio		
FE.ControllerText.14	[IN=CycleFilter2] Cycle Inventory	[IN=CycleFilter2] Inventar durchblättern	[IN=CycleFilter2] Naviguer	[IN=CycleFilter2] Rotar inventario	[IN=CycleFilter2] Переключить запасы	[IN=CycleFilter2] Scorri Inventario		
FE.ControllerText.15	[IN=Block] Block	[IN=Block] Blocken	[IN=Block] Contrer	[IN=Block] Bloquear	[IN=Block] Блок	[IN=Block] Blocca		
Text.Dialog.ControllerDisconnect	CONTROLLER DISCONNECTED	CONTROLLER GETRENNT	MANETTE DÉCONNECTÉE	MANDO DESCONECTADO	КОНТРОЛЛЕР ОТКЛЮЧЕН	CONTROLLER DISCONNESSO		
Text.Dialog.ControllerDisconnect.Body	Controller disconnected. Please reconnect the controller and press [IN=UI_Submit] to continue.	"Controller getrennt. Zum Fortfahren, Verbindung wieder herstellen und [IN=UI_Submit] drücken."	Manette déconnectée. Veuillez la reconnecter et appuyer sur [IN=UI_Submit] pour continuer.	Mando desconectado. Vuelve a conectar el mando y pulsa [IN=UI_Submit] para continuar.	"Контроллер отключен. Чтобы продолжить, подключите контроллер заново и нажмите [IN=UI_Submit]."	Controller disconnesso. Riconnetti il controller e premi [IN=UI_Submit] per continuare.		
Text.Dialog.UserAlreadyInUse	WARNING	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		
Text.Dialog.UserAlreadyInUse.Body	This user is already signed in. Please select another user.	Dieser Nutzer ist bereits angemeldet. Bitte anderen Nutzer wählen.	Cet utilisateur est déjà connecté. Veuillez en choisir un autre.	Este usuario ya ha iniciado sesión. Selecciona otro usuario.	Данный пользователь уже вошел в систему. Выберите другого пользователя.	Questo utente ha già effettuato l’accesso. Seleziona un altro utente.		
Text.Menu.Legend01	[IN=UI_Submit] SELECT [IN=FE_AccountPicker] ACCOUNT PICKER	[IN=UI_Submit] WÄHLEN [IN=FE_AccountPicker] KONTO-WÄHLER	[IN=UI_Submit] SÉLECTIONNER [IN=FE_AccountPicker] CHOIX DE COMPTE	[IN=UI_Submit] SELECCIONAR [IN=FE_AccountPicker] SELECTOR DE CUENTA	ВЫБРАТЬ [IN=UI_Submit] ФУНКЦИЯ ВЫБОРА УЧЕТНОЙ ЗАПИСИ [IN=FE_AccountPicker]	[IN=UI_Submit] SELEZIONA [IN=FE_AccountPicker] SCELTA ACCOUNT		
Text.Menu.Legend02	[IN=UI_Submit] ВИБРАТИ [IN=UI_Cancel] НАЗАД	[IN=UI_Submit] WÄHLEN [IN=UI_Cancel] ZURÜCK	[IN=UI_Submit] SÉLECTIONNER [IN=UI_Cancel] RETOUR	[IN=UI_Submit] SELECCIONAR [IN=UI_Cancel] ATRÁS	ВЫБРАТЬ [IN=UI_Submit] НАЗАД [IN=UI_Cancel]	[IN=UI_Submit] SELEZIONA [IN=UI_Cancel] INDIETRO		
Text.Menu.Legend03	[IN=UI_Submit] ВИБРАТИ [IN=UI_Cancel] НАЗАД [IN=UI_CycleLeft] [IN=UI_CycleRight] ЗМІНИТИ В’ЯЗНИЦЮ	[IN=UI_Submit] WÄHLEN [IN=UI_Cancel] ZURÜCK [IN=UI_CycleLeft] [IN=UI_CycleRight] GEFÄNGNIS WECHSELN	[IN=UI_Submit] SÉLECTIONNER [IN=UI_Cancel] RETOUR [IN=UI_CycleLeft] [IN=UI_CycleRight] CHANGER PRISON	[IN=UI_Submit] SELECCIONAR [IN=UI_Cancel] ATRÁS [IN=UI_CycleLeft] [IN=UI_CycleRight] CAMBIAR DE PRISIÓN	ВЫБРАТЬ [IN=UI_Submit] НАЗАД [IN=UI_Cancel] ПОМЕНЯТЬ ТЮРЬМУ [IN=UI_CycleLeft][IN=UI_CycleRight]	[IN=UI_Submit] SELEZIONA [IN=UI_Cancel] INDIETRO[IN=UI_CycleLeft] [IN=UI_CycleRight] CAMBIA PRIGIONE		
Text.Menu.Legend04	[IN=UI_Submit] ВИБРАТИ [IN=UI_Cancel] НАЗАД [IN=UI_PrevPage] [IN=UI_NextPage] СТОРІНКА ВВЕРХ/ВНИЗ	[IN=UI_Submit] WÄHLEN [IN=UI_Cancel] ZURÜCK [IN=UI_PrevPage] [IN=UI_NextPage] SEITE HOCH/SEITE RUNTER	[IN=UI_Submit] SÉLECTIONNER [IN=UI_Cancel] RETOUR [IN=UI_PrevPage] [IN=UI_NextPage] PAGE SUIVANTE / PRÉCÉDENTE	[IN=UI_Submit] SELECCIONAR [IN=UI_Cancel] ATRÁS [IN=UI_PrevPage] [IN=UI_NextPage] PÁG. ARRIBA/PÁG. ABAJO	ВЫБРАТЬ [IN=UI_Submit] НАЗАД [IN=UI_Cancel] СТР. ВВЕРХ/ВНИЗ [IN=UI_PrevPage] [IN=UI_NextPage]	[IN=UI_Submit] SELEZIONA [IN=UI_Cancel] INDIETRO[IN=UI_PrevPage] [IN=UI_NextPage] PAGINA SU/GIÙ		
Text.Menu.Legend05	[IN=UI_Submit] ВИБРАТИ [IN=UI_Cancel] НАЗАД [IN=UI_CycleLeft] [IN=UI_CycleRight] ЗМІНИТИ ВКЛАДКУ	[IN=UI_Submit] WÄHLEN [IN=UI_Cancel] ZURÜCK [IN=UI_CycleLeft] [IN=UI_CycleRight] TAB WECHSELN	[IN=UI_Submit] SÉLECTIONNER [IN=UI_Cancel] RETOUR [IN=UI_CycleLeft] [IN=UI_CycleRight] CHANGER ONGLET	[IN=UI_Submit] SELECCIONAR [IN=UI_Cancel] ATRÁS [IN=UI_CycleLeft] [IN=UI_CycleRight] CAMBIAR DE PESTAÑA	ВЫБРАТЬ [IN=UI_Submit] НАЗАД [IN=UI_Cancel] СМЕНИТЬ ВКЛАДКУ [IN=UI_CycleLeft] [IN=UI_CycleRight]	[IN=UI_Submit] SELEZIONA [IN=UI_Cancel] INDIETRO[IN=UI_CycleLeft] [IN=UI_CycleRight] CAMBIA TAB		
Text.Menu.Legend06	[IN=UI_Submit] ПРОПУСТИТИ	[IN=UI_Submit] ÜBERSPRINGEN	[IN=UI_Submit] PASSER	[IN=UI_Submit] OMITIR	ПРОПУСК [IN=UI_Submit]	[IN=UI_Submit] SALTA		
Text.Menu.Legend07	[IN=UI_Submit] CONTINUE	[IN=UI_Submit] FORTFAHREN	[IN=UI_Submit] CONTINUER	[IN=UI_Submit] CONTINUAR	ПРОДОЛЖИТЬ [IN=UI_Submit]	[IN=UI_Submit] CONTINUA		
Text.Menu.Legend09	[IN=Pause] CONTINUE	[IN=Pause] FORTFAHREN	[IN=Pause] CONTINUER	[IN=Pause] CONTINUAR	ПРОДОЛЖИТЬ [IN=Pause]	[IN=Pause] CONTINUA		
Text.Menu.Legend08	[IN=UI_Cancel] НАЗАД [IN=UI_CycleLeft] [IN=UI_CycleRight] ПЕРЕМКНУТИ ЗНАКИ [IN=UI_PrevPage] [IN=UI_NextPage] ПРИБЛИЗИТИ/ВІДДАЛИТИ [IN=EmoteCategory1] [IN=EmoteCategory4] CHANGE FLOOR	[IN=UI_Cancel] ZURÜCK [IN=UI_CycleLeft] [IN=UI_CycleRight] SCHLÜSSEL WECHSELN [IN=UI_PrevPage] [IN=UI_NextPage] ZOOM REIN/RAUS[IN=EmoteCategory1] [IN=EmoteCategory4] ETAGE WECHSELN	[IN=UI_Cancel] RETOUR [IN=UI_CycleLeft] [IN=UI_CycleRight] NAVIGUER [IN=UI_PrevPage] [IN=UI_NextPage] ZOOM AVANT / ARRIÈRE [IN=EmoteCategory1] [IN=EmoteCategory4] CHANGER NIVEAU	[IN=UI_Cancel] ATRÁS [IN=UI_CycleLeft] [IN=UI_CycleRight] TECLA DE CICLO [IN=UI_PrevPage] [IN=UI_NextPage] ACERCAR/ALEJAR IMAGEN [IN=EmoteCategory1] [IN=EmoteCategory4] CAMBIAR DE PLANTA	НАЗАД [IN=UI_Cancel] КНОПКА ПЕРЕКЛЮЧЕНИЯ [IN=UI_CycleLeft] [IN=UI_CycleRight] МАСШТАБ +/- [IN=UI_PrevPage] [IN=UI_NextPage] ДРУГОЙ ЭТАЖ [IN=EmoteCategory1] [IN=EmoteCategory4]	[IN=UI_Cancel] INDIETRO [IN=UI_CycleLeft] [IN=UI_CycleRight] CAMBIA LEGENDA [IN=UI_PrevPage] [IN=UI_NextPage] ZOOM IN/OUT [IN=EmoteCategory1] [IN=EmoteCategory4] CAMBIA PIANO		
Text.Interaction.Take	[IN=UI_Submit] Узяти	[IN=UI_Submit] Nehmen	[IN=UI_Submit] Prendre	[IN=UI_Submit] Coger	Взять [IN=UI_Submit]	[IN=UI_Submit] Prendi		
Text.Interaction.Drop	[IN=UI_Drop] Кинути	[IN=UI_Drop] Abwurf	[IN=UI_Drop] Jeter	[IN=UI_Drop] Soltar	Выбросить [IN=UI_Drop]	[IN=UI_Drop] Lascia		
Text.Interaction.Hide	[IN=UI_PutIntoHidden] Заховати	[IN=UI_PutIntoHidden] Verstecken	[IN=UI_PutIntoHidden] Cacher	[IN=UI_PutIntoHidden] Ocultar	Спрятать [IN=UI_PutIntoHidden]	[IN=UI_PutIntoHidden] Nascondi		
Text.Interaction.Use	[IN=SecondaryInteraction] Ужити	[IN=SecondaryInteraction] Nutzen	[IN=SecondaryInteraction] Utiliser	[IN=SecondaryInteraction] Usar	Использ. [IN=SecondaryInteraction]	[IN=SecondaryInteraction] Usa		
Text.Interaction.Add	[IN=UI_Submit] Додати	[IN=UI_Submit] Hinzufügen	[IN=UI_Submit] Ajouter	[IN=UI_Submit] Añadir	Добавить [IN=UI_Submit]	[IN=UI_Submit] Aggiungi		
Text.Interaction.Place	[IN=UI_Submit] Покласти	[IN=UI_Submit] Positionieren	[IN=UI_Submit] Déposer	[IN=UI_Submit] Colocar	Поместить [IN=UI_Submit]	[IN=UI_Submit] Posiziona		
Text.Interaction.Equip	[IN=UI_Submit] Спорядити	[IN=UI_Submit] Ausrüsten	[IN=UI_Submit] Équiper	[IN=UI_Submit] Equipar	Снарядить [IN=UI_Submit]	[IN=UI_Submit] Equipaggia		
Text.Interaction.Give	[IN=UI_Submit] Дати	[IN=UI_Submit] Geben	[IN=UI_Submit] Donner	[IN=UI_Submit] Dar	Дать [IN=UI_Submit]	[IN=UI_Submit] Dai		
Text.Dialog.NetworkDisconnect	ВІД’ЄДНАНО	GETRENNT	DÉCONNEXION	DESCONECTADO	ОТКЛЮЧЕНО	DISCONNESSO		
Text.Dialog.NetworkDisconnect.Body	Вас було від’єднано від Xbox Live.	Du wurdest von Xbox Live getrennt.	Vous n'êtes pas connecté(e) au Xbox Live.	Estás desconectado de Xbox Live.	Вы отключены от Xbox Live.	Sei disconnesso da Xbox Live.		
Text.Dialog.NetworkDisconnect.PhotonGame.Body	Вас було від’єднано від мережевих служб.	Du wurdest von den Online-Diensten getrennt.	Vous n'êtes pas connecté(e) aux services en ligne.	Estás desconectado de los servicios en línea.	Вы отключены от онлайн-сервисов.	Sei disconnesso dai servizi online.		
Text.Dialog.NetworkError	УВАГА	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		
Text.Dialog.NetworkError.Body	Виникла помилка мережі. Будь ласка, перевірте під’єднання до неї та спробуйте ще раз.	Ein Netzwerkfehler ist aufgetreten. Internetverbindung prüfen und nochmal versuchen.	Une erreur de réseau s'est produite. Veuillez vérifier votre connexion à Internet et réessayer.	Se ha producido un error de red. Comprueba la conexión a internet e inténtalo otra vez.	Произошла ошибка сети. Проверьте интернет-соединение и повторите попытку.	Errore di rete. Controlla la tua connessione a internet e riprova.		
Text.Dialog.NetworkTimeOutDuringLoad	Цей сеанс більше не доступний.	Diese Session ist nicht mehr verfügbar.	La session n'est plus disponible.	Esta sesión ya no está disponible.	Этот сеанс недоступен.	Questa sessione è scaduta.		
Text.Dialog.NetworkDisconnectDuringLoad	Цей сеанс більше не доступний.	Diese Session ist nicht mehr verfügbar.	La session n'est plus disponible.	Esta sesión ya no está disponible.	Этот сеанс недоступен.	Questa sessione è scaduta.		
Text.Dialog.NetworkKicked	Вас вигнали з гри.	Du wurdest aus dem Spiel geworfen.	Vous avez été expulsé(e) de la partie.	Has sido expulsado de la partida.	Вас выкинули из игры.	Sei stato cacciato dalla partita.		
Text.Dialog.NetworkContinueOffline	ПРОДОВЖИТИ АВТОНОМНО	OFFLINE FORTFAHREN	CONTINUER HORS LIGNE	SEGUIR SIN CONEXIÓN	ПРОДОЛЖ. АВТОНОМНО	CONTINUA OFFLINE		
Text.Dialog.NetworkQuit	ГОЛОВНЕ МЕНЮ	HAUPTMENÜ	MENU PRINCIPAL	MENÚ PRINCIPAL	ГЛАВНОЕ МЕНЮ	MENU PRINCIPALE		
Text.Dialog.Net.ConnectionLostTitle	ВІД’ЄДНАНО	GETRENNT	DÉCONNEXION	DESCONECTADO	ОТКЛЮЧЕНО	DISCONNESSO		
Text.Dialog.Net.ConnectionLostNoPrompt	Вас було від’єднано від Xbox Live.	Du wurdest von Xbox Live getrennt.	Votre connexion au Xbox Live a été perdue.	Has sido desconectado de Xbox Live.	Вы отключились от Xbox Live.	Sei stato disconnesso da Xbox Live.		
Text.Dialog.Net.CreateRoom.CreateBody	"Налаштування гри, будь ласка, зачекайте."	"Spiel einrichten, bitte warten."	"Création de la partie, veuillez patienter."	"Configurando partida, espera, por favor."	"Идет установка игры, подождите."	"Preparazione partita, attendi."		
Text.Dialog.Net.CreateRoom.CreateTitle	СТВОРЕННЯ ГРИ	SPIEL ERSTELLEN	CRÉATION	CREANDO PARTIDA	СОЗДАНИЕ ИГРЫ	CREAZIONE PARTITA		
Text.Dialog.Net.CreateRoom.FailedTitle	УВАГА	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		
Text.Dialog.Net.CreateRoom.FailedBody	Будь ласка, перевірте ваше з’єднання з Xbox Live та спробуйте ще раз.	Bitte Verbindung zu Xbox Live prüfen und nochmal versuchen.	Veuillez vérifier votre connexion au Xbox Live et réessayer.	Comprueba la conexión a Xbox Live e inténtalo otra vez.	Проверьте подключение к Xbox Live и повторите попытку.	Controlla la tua connessione a Xbox Live e riprova.		
Text.Dialog.Net.GoOnline.StartTitle	З’ЄДНАННЯ	VERBINDEN	CONNEXION	CONECTANDO	ПОДКЛЮЧЕНИЕ	CONNESSIONE		
