Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese		
Text.Menu.DLCDescription06	"Ditching the naughty list for the rich list, Santa has opened his own booming online store, shipping products all around the world! You still better be on your best behaviour, waking up with a lump of coal in your desk is the least of your concerns!"	"Dem Weihnachtsmann ist’s jetzt egal, ob du artig warst oder nicht, denn es geht ihm nur noch ums Geld. Sein neuer Onlineshop verkauft Produkte auf der ganzen Welt! Das heißt aber nicht, dass du zu ungezogen sein solltest, sonst ist ein Kohlebrocken in deinem Nachtschrank deine geringste Sorge!"	"Échangeant sa liste des vilains enfants contre une liste des enfants riches, le père Noël a décidé d’ouvrir une boutique en ligne livrant des jouets partout dans le monde ! Vous feriez tout de même mieux de rester sage, sinon vous risquez de vous réveiller avec du charbon dans votre bureau !"	"¡Santa Claus ha dejado la lista de los malos para quedarse con la de los ricos, y ha abierto su tienda en línea para enviar productos a todo el mundo! Aun así, mejor que te portes bien: despertarte con un montón de carbón en tu escritorio es la menor de tus preocupaciones."	"Санта заменил список непослушных детей списком богатых детей и открыл собственный онлайн-магазин. Теперь он продает товары по всему миру! Но вам всё же придется вести себя как можно лучше, потому что уголь вместо подарка стал меньшей из ваших проблем!"	"Dopo aver abbandonato la lista dei cattivi per la lista dei ricchi, Babbo Natale ha aperto il suo proficuo negozio online, che invia prodotti in tutto il mondo! Comunque sarà meglio che ti comporti bene, perché svegliarti con un po' di carbone sulla scrivania è il minore dei tuoi problemi!"	圣诞老人把“淘气名单”换成了“有钱名单”， 开了一家广受欢迎的网店， 全世界发货哦！ 不过你依然要好好表现， 否则可就不仅是”收到一桌子煤当礼物”那么简单咯！ 	金持ちだけをピックアップしたリストを捨てて、サンタは世界各地へと製品を届ける、乗りに乗ったオンラインストアを始めました！ ここはまだ神妙にしているべきだろう。 机の上の石炭の塊で起きなきゃいけない… なんて、この際どうだっていい！ 		
										
Text.Presence.InGamePrison18	Putting in a long shift in Snow Way Out! Day %DAY%	Eine extralange Schicht in Snow Way Out! Tag %DAY%	On se prépare à une longue journée de travail dans Snow Way Out ! Jour %DAY%	¡Nos espera un largo turno en Snow Way Out! Día %DAY%	Вы надолго застряли в тюрьме Snow Way Out! День %DAY%	Iniziando un turno lunghissimo in Snow Way Out! Giorno %DAY%	在雪中逃狱的日子当班！ 天数：%DAY%	雪の脱出の当日、長時間勤務の予定を入れる！ %DAY% 日目		
Text.Presence.EscapedPrison18	Clocked-out one last time from Snow Way Out! Day %DAY%	Ein letztes Mal in Snow Way Out ausgestempelt! Tag %DAY%	A quitté Snow Way Out une dernière fois ! Jour %DAY%	¡Último turno en Snow Way Out! Día %DAY%	В последний раз выхожу из тюрьмы Snow Way Out! День %DAY%	Ha timbrato il cartellino per l'ultima volta in Snow Way Out! Giorno %DAY%	在雪中逃狱的日子最后一次打卡下班！ 天数：%DAY%	雪の脱出から、最後にもう一度だけ退社する！ %DAY%		
										
Text.ActivityFeed.EscapedPrison18.Cap	$USER_NAME_OR_ID Clocked-out from Snow Way Out!	$USER_NAME_OR_ID hat sich in Snow Way Out ausgestempelt!	$USER_NAME_OR_ID a quitté Snow Way Out !	$USER_NAME_OR_ID ha hecho el último turno en Snow Way Out.	$USER_NAME_OR_ID выходит из тюрьмы Snow Way Out!	$USER_NAME_OR_ID ha timbrato il cartellino da Snow Way Out!	$USER_NAME_OR_ID 在雪中逃狱打卡下班了！ 	$USER_NAME_OR_ID が雪の脱出を後にしました！ 		
										
Text.Milestone.DLC06.Escape1	Прорив периметра	Eingrenzungs-Ausbruch	Évasion du périmètre	Fuga del perímetro	Нарушение периметра	Evasione dal perimetro	周界突破	境界線突破		
Text.Milestone.DLC06.Escape2	"It's not a Toy, It's a collectable"	"Kein Spielzeug, sondern ein Sammlerstück"	"Ce n’est pas un jouet, c’est une pièce de collection"	"No es un juguete, es un objeto coleccionable"	"Это не игрушка, это коллекционный предмет"	"Non è un Giocattolo, ma un pezzo da collezione"	这不是玩具， 是收集品	これは単なるおもちゃじゃなく、コレクターズアイテムだ		
Text.Milestone.DLC06.Escape3	Batteries Not Included	Batterien nicht inbegriffen	Piles non incluses	Pilas no incluidas.	Батарейки в комплекте не идут	Batterie non incluse	不含电池	電池は別売りです		
										
EscapeMethods.DLC06_Single	"It's not a Toy, It's a collectable"	"Kein Spielzeug, sondern ein Sammlerstück"	"Ce n’est pas un jouet, c’est une pièce de collection"	"No es un juguete, es un objeto coleccionable"	"Это не игрушка, это коллекционный предмет"	"Non è un Giocattolo, ma un pezzo da collezione"	这不是玩具， 是收集品	これは単なるおもちゃじゃなく、コレクターズアイテムだ		
EscapeMethods.DLC06_Multi	Batteries Not Included	Batterien nicht inbegriffen	Piles non incluses	Pilas no incluidas.	Батарейки в комплекте не идут	Batterie non incluse	不含电池	電池は別売りです		
Text.Frontend.DLC06.Name	Snow Way Out	Snow Way Out	Snow Way Out	Snow Way Out	Snow Way Out	Snow Way Out	雪中逃狱	雪の脱出		
										
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////										
										
Text.JobName.DLC06Engineering	Engineering	Technik	Ingénieur	Ingeniería	Инженер	Operaio	工程	電気修理		
Text.JobDesc.DLC06Engineering	Keep our delivery lines operating at 100%	"Sorg dafür, dass die Fließbänder Vollgas geben."	Gardez nos lignes de livraison à 100 %	Haz que las cadenas de reparto sigan operando al 100 %	Наши пневмотрубы должны работать на 100%	Fai sì che le linee di consegna funzionino al 100%	保证我们的送货流水线以100%效率运作	配送ラインはフル操業状態にしておく		
										
HUD.Tutorial.Job.DLC06EngineeringBodyTextA	Take the Soldering Iron and Safety Goggles from the container.	Nimm den Lötkolben und die Schutzbrille aus dem Container.	Prenez le fer à souder et les lunettes de sécurité dans le conteneur.	Coge el soldador eléctrico y las gafas de protección del contenedor.	Возьмите в контейнере паяльник и защитные очки.	Prendi il Saldatore e gli Occhiali Protettivi dal contenitore.	从箱子里拿取焊接铁块和安全护目镜。  	コンテナから「はんだごて」と「安全ゴーグル」を入手する。  		
HUD.Tutorial.Job.DLC06EngineeringBodyTextB	Follow the objective arrow to the target electrical box.	Folge dem Ziel-Pfeil zum Ziel-Elektrizitätskasten.	Suivez la flèche d'objectif jusqu'au boîtier électrique désiré.	Sigue la flecha de objetivo hasta la caja de electricidad objetivo.	"Следуйте указательной стрелке, которая приведет вас к электрощиту."	Segui la freccia fino al quadro elettrico.	跟随目标箭头，  前往目标配电盒。  	ガイドアローに従って、 対象の配電盤へ向かう。  		
HUD.Tutorial.Job.DLC06EngineeringBodyTextC	"Fill the bar until it is in the designated area, and keep it there until complete."	"Fülle den Balken, bis er im vorgesehenen Bereich ist, und halte ihn bis zum Abschluss dort."	"Remplissez la barre jusqu'à ce qu'elle soit au bon endroit, et laissez-la jusqu'à ce qu'elle soit remplie."	Llena la barra hasta que esté en el lugar designado y mantenla ahí hasta completar la tarea.	Заполните полоску до указанной отметки и продолжайте до завершения.	Riempi la barra fino all’area indicata e mantienila fino al completamento.	填充横条，  直到到达指定区域，  保持在该区域，  直到完成。  	ミニゲームをクリアして、修理を終わらせる。  		
										
HUD.Interact.Job.DLC06Engineering.Materials	Soldering Iron & Goggles	Lötkolben und Schutzbrillen	Lunettes & fer à souder	Soldador y gafas	Паяльник и защитные очки	Saldatore e occhiali	焊接铁块和护目镜	はんだごてとゴーグル		
										
HUD.Interact.Job.DLC06Engineering.TorchJobA	Solder Wiring	Kabel löten	Câblage du fer à souder	Soldar cableado	Паечный монтаж	Salda i fili	焊接电线	はんだ付けする		
										
HUD.Interact.Job.DLC06Engineering.NeedFuel	I need Safety Goggles…	Ich brauche eine Schutzbrille …	J'ai besoin de lunettes de sécurité...	Necesito unas gafas de protección...	Мне нужны защитные очки...	Mi servono gli Occhiali protettivi…	我需要护目镜… … 	安全ゴーグルがいる… 		
HUD.Interact.Job.DLC06Engineering.NeedLighter	I need a Soldering Iron…	Ich brauche einen Lötkolben …	J'ai besoin d’un fer à souder...	Necesito un soldador eléctrico...	Мне нужен паяльник...	Mi serve il Saldatore…	我需要一柄烙铁… … 	はんだごてがいる… 		
										
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////										
										
Text.JobName.FeedReindeerName	Reindeer Feeding	Rentierfütterung	Nourriture pour renne	Alimentar a los renos	Кормление оленей	Sfamare le renne	喂养麋鹿	トナカイの餌やり		
Text.JobName.FeedReindeerDesc	Flying is hungry work.	Fliegen macht hungrig.	Voler est vraiment épuisant.	Volar da mucha hambre.	Во время полета легко проголодаться.	Volare fa venire un gran fame.	飞行可是很容易饿的。 	空を飛ぶのは重労働でお腹が減る。 		
										
HUD.Tutorial.Job.FeedReindeerBodyTextA	Take the Reindeer Food from the container.	Nimm das Rentierfutter aus dem Container.	Prenez la nourriture pour renne du conteneur.	Coge la comida de reno del contenedor.	Возьмите оленью еду из контейнера.	Prendi il Cibo per renne dal contenitore.	从箱子中拿取麋鹿食物。 	コンテナからトナカイの餌を取る。 		
HUD.Tutorial.Job.FeedReindeerBodyTextB	Place the Reindeer Food in the empty troughs.	Platziere das Rentierfutter in den leeren Trögen.	Placez la nourriture pour renne dans les auges vides.	Deja la comida de reno en los abrevaderos.	Поместите оленью еду в пустые кормушки.	Posiziona il Cibo per renne nelle mangiatoie vuote.	将麋鹿食物放置在空食槽中。 	トナカイの餌を空の飼い葉おけに入れる。 		
HUD.Tutorial.Job.FeedReindeerBodyTextC	Take the Diced Vegetables from the container.	Nimm das Gewürfelte Gemüse aus dem Container.	Prenez les légumes découpés du conteneur.	Coge las hortalizas troceadas del contenedor.	Возьмите из контейнера нарезанные овощи.	Prendi le Verdure tagliate dal contenitore.	从箱子中拿取切碎蔬菜。 	コンテナから角切りにした野菜を取る。 		
HUD.Tutorial.Job.FeedReindeerBodyTextD	Put the Diced Vegetables in the troughs.	Platziere das Gewürfelte Gemüse in den Trögen.	Mettez les légumes découpés dans les auges.	Deja las hortalizas troceadas en los abrevaderos.	Поместите нарезанные овощи в кормушки.	Posiziona le Verdure tagliate nelle mangiatoie.	将切碎蔬菜放置在空食槽中。 	角切りにした野菜を飼い葉おけに入れる。 		
										
HUD.Tutorial.Job.FeedReindeer.NeedReindeerFood	Place Reindeer Food	Rentierfutter platzieren	Placez la nourriture pour rennes	Deja la comida para renos	Поместить оленью еду	Posiziona il Cibo per renne	放置麋鹿食物	トナカイの餌を入れる		
HUD.Tutorial.Job.FeedReindeer.NeedDicedVegetables	Place Diced Vegetables	Gewürfeltes Gemüse platzieren	Placez les légumes découpés	Deja las hortalizas troceadas	Поместить нарезанные овощи	Posiziona le Verdure tagliate	放置切碎蔬菜	角切りの野菜を入れる		
										
HUD.Tutorial.Job.FeedReindeer.ReindeerFeed	Reindeer Feed	Rentierfutter	Nourriture pour rennes	Alimentar a los renos	Корм оленей	Mangime per renne	麋鹿喂养	トナカイの餌		
HUD.Tutorial.Job.FeedReindeer.DicedVegetables	Diced Vegetables	Gewürfeltes Gemüse	Légumes découpés	Hortalizas troceadas	Нарезанные овощи	Verdure tagliate	切碎蔬菜	角切りの野菜		
										
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////										
										
Text.JobName.DestroyLettersName	Destroying Letters	Briefe zerstören	Destruction des lettres	Destruir cartas	Уничтожение писем	Distruggere le lettere	摧毁信件	手紙を破棄する		
Text.JobName.DestroyLettersDesc	The focus is on the delviery business.	Der Fokus liegt auf der Lieferung.	On se concentre sur les services de livraison	La atención se ha puesto en el negocio de reparto.	Нужно сосредоточиться на доставке.	Il focus è sull'attività di consegna.	目前的工作重点是送货。 	配送作業が何より大切だ。 		
										
HUD.Tutorial.Job.DestroyLettersBodyTextA	Take a sack of letters from the container.	Nimm einen Sack Briefe aus dem Container.	Prenez un sac de lettres du conteneur.	Coge un saco de cartas del contenedor.	Возьмите мешок с письмами из контейнера.	Prendi un sacco delle lettere dal contenitore.	从箱子中拿取一袋信件。 	コンテナから手紙の入った袋を取る。 		
HUD.Tutorial.Job.DestroyLettersBodyTextB	Throw them into the furnace.	Wirf sie in den Ofen.	Jetez-les dans la chaudière.	Mételas en el horno.	Бросьте их в печь.	Lanciale nella fornace.	将它们投入熔炉。 	袋を焼却炉に放り込む。 		
										
Text.NamePlateDistance.BoxOfLetters	Sacks of letters	Sack Briefe	Sac de lettres	Sacos de cartas	Мешки с письмами	Sacchi di lettere	几袋信件	手紙の入った袋		
										
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////										
										
Text.JobName.RobotService	Robot Service	Roboterwartung	Entretien de robots	Reparación de robots	Техобслуживание роботов	Trattamento per robot	机器人维护	ロボットメンテナンス		
Text.JobDesc.RobotService	Keep our valued workers in top condition. 	Es soll unserer Belegschaft gut gehen. 	Gardez nos chers travailleurs en bon état. 	Hay que mantener a nuestros mejores trabajadores en excelente estado. 	Позаботьтесь о состоянии наших ценных работников. 	Fai sì che i nostri stimati lavoratori siano sempre al meglio. 	保证我们敬爱的工人以最佳状态工作。  	大切な労働力を最高の状態に保つ。  		
										
HUD.Interact.Job.RobotServicetepA	Take the Oil Can from the container.	Nimm die Ölkanne aus dem Container.	Prenez le bidon d’huile du conteneur.	Coge la lata de aceite del contenedor.	Возьмите канистру с маслом из контейнера.	Prendi la Latta d'olio dal contenitore.	从箱子中拿取机油罐。 	コンテナから油差しを取る。 		
HUD.Interact.Job.RobotServiceStepB	Robots will enter the room and await service.	Roboter werden den Raum betreten und warten.	Les robots vont entrer dans la pièce et attendre d’être entretenus.	Los robots entrarán en la sala y esperarán que los reparen.	Роботы войдут в помещение и будут ждать техобслуживания.	I robot entreranno nella stanza e attenderanno il trattamento.	机器人会进入房间， 等待维护。 	ロボットが部屋に入ってきて、メンテナンスを待っている。 		
HUD.Interact.Job.RobotServiceStepC	"Stand in front of the Robot, and complete the service."	Stell dich vor einen Roboter und führe die Wartung durch.	Placez-vous devant le robot et procédez à l’entretien.	Ponte frente al robot y completa la reparación.	Встаньте напротив робота и проведите техобслуживание.	Posizionati davanti al robot e completa il trattamento.	站在机器人前方， 完成维护。 	ロボットの前に立ち、メンテナンス作業をこなす。 		
										
Text.Interact.ServiceRobot	Service Robot	Roboter warten	Entretenir le robot	Repara el robot	Техобслуживание робота	Robot del trattamento	维护机器人	ロボットのメンテナンスを行う		
										
&Text.Customer.WaitingForServiceRobot	In Position…	In Position …	En position...	En posición	По местам...	In posizione…	就位… … 	位置に着く… 		
										
										
&Text.Customer.RobotServiced	Service complete…	Wartung beendet …	Entretien terminé...	Reparación completa...	Техобслуживание завершено...	Trattamento completo…	维护完成… … 	メンテナンス完了… 		
										
										
&Text.Customer.RobotServiceInProgress	This will do the trick	Das sollte reichen	Ça fera l’affaire	Con esto bastará	"Вот так, дело сделано"	Questo funzionerà	这样就行了	これで大丈夫だ		
&Text.Customer.RobotServiceInProgress	Back to pristine condition	Und wieder in Topform	Comme neuf	De nuevo en estado excelente	Как новенький	Ripristina la condizione iniziale	返回到原始状态	これで完璧な状態になった		
										
HUD.Interact.Job.RobotServicingOilCans	Oil Cans	Ölkannen	Bidons d’huile	Latas de aceite	Канистры с маслом	Latte d'olio	机油罐	油差し		
										
HUD.Interact.Job.NeedOilCan	I need an Oil Can…	Ich brauche eine Ölkanne …	J'ai besoin d’un bidon d’huile...	Necesito una lata de aceite...	Мне нужна канистра с маслом...	Mi serve una Latta d'olio…	我需要一个机油罐… … 	油差しが必要だ… 		
										
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////										
										
Text.Quest.Unionised.Name	Unionised	Gewerkschaftlich	Syndiqué	Sindicado	Профсоюзное объединение	Sindacalizzato	组织工会	労働組合に加入		
Text.Quest.Unionised.Desc	The conditions around here are awful… I got a beat down for requesting a toilet break earlier! Can you get me a Medkit? My head is killing me…	Die Arbeitsbedingungen sind furchtbar … Ich wurde wegen einer Toilettenpause verprügelt! Kannst du mir ein Medikit holen? Mein Kopf bringt mich um …	Ces conditions de travail sont lamentables... Je me suis fait enguirlander pour avoir osé demander à aller aux toilettes ! Vous pouvez me rapporter une trousse de soins ? J'ai une migraine atroce...	Las condiciones aquí son horribles... ¡Menuda bronca me han echado por pedir un descanso para ir al baño! ¿Puedes conseguirme un botiquín? Me duele mucho la cabeza...	"Здесь просто ужасные условия... недавно меня побили за вопрос о том, можно ли выйти в туалет! Вы не могли бы достать мне аптечку? У меня ужасно болит голова..."	"Qui le condizioni sono terribili: poco fa, mi hanno pestato solo perché ho chiesto di andare in bagno! Puoi procurarmi un Kit medico? Ho un mal di testa lancinante…"	这里的工作条件太差了… … 之前我说要去趟厕所， 都被毒打了一顿！ 你能给我一个医疗包吗？我的头好痛… … 	ここの労働条件はひどすぎる… トイレ休憩を申し入れたら、こっぴどくやられてしまった！ 医療キットを取ってくれないか？頭が痛くて死にそうだ… 		
Text.Quest.Unionised.FirstObjective	Get $ItemToGet and return to $QuestGiver	Hole „$ItemToGet“ und bringe es $QuestGiver zurück	Trouver $ItemToGet et retourner voir $QuestGiver	Obtén el/la $ItemToGet que devolver a $QuestGiver.	Забрать и вернуть владельцу ($QuestGiver): $ItemToGet	Ottieni $ItemToGet e dai l’oggetto a $QuestGiver	获取 $ItemToGet 并回去找 $QuestGiver 	$ItemToGet を入手し、 $QuestGiver へ届ける		
Text.Quest.Unionised.Pt2.Desc	"We’ve sent letters complaining of our work conditions, but they keep disappearing. Word is that the guards just keep the letters in a box labelled ‘Why we need more Robots’. Retrieve that box for me…"	"Wir haben Briefe mit unseren Beschwerden abgeschickt, aber irgendwie verschwinden sie einfach. Es heißt, dass die Wärter sie einfach in eine Kiste mit der Aufschrift „Warum wir mehr Roboter brauchen“ werfen. Hol mir diese Kiste …"	"Nous avons envoyé des tas de lettres pour nous plaindre des conditions de travail, mais elles ont toutes disparu. Le bruit court que les gardes conservent les lettres dans une boite étiquetée « Voila pourquoi il nous faut plus de robots ». Récupérez-moi cette boite..."	"Hemos enviado cartas de queja por nuestras condiciones laborales, pero siempre desaparecen. Corre el rumor de que los guardas meten las cartas en unas cajas con la etiqueta ""Por qué necesitamos más robots"". Consígueme esa caja..."	"Мы отправляли жалобы на здешние условия, но письма просто пропали. Говорят, что стража держит письма в коробке с надписью «Вот почему нам нужно больше роботов». Принесите мне эту коробку..."	"Abbiamo spedito delle lettere, in cui ci lamentavamo delle nostre condizioni di lavoro, ma continuano a sparire. Si dice che le guardia le custodiscano in una scatola con su scritto ""Perché ci servono più robot"". Recupera quella scatola per me…"	我们寄了不少抱怨工作条件的信， 结果信都消失了。 听说狱警们把信都塞到了一个写着“我们需要更多机器人的理由”的箱子里。 帮我把那个箱子拿来… … 	労働条件の改善を求める手紙を送っているが、まったく聞き入れてくれない。 噂によると、看守たちは送られてきた手紙を「ロボットを補充すべき理由」と書かれた箱に入れているそうだ。 その箱を回収してきてくれないか… 		
Text.Quest.Unionised.SecondObjective	Get $ItemToGet and return to $QuestGiver	Hole „$ItemToGet“ und bringe es $QuestGiver zurück	Trouver $ItemToGet et retourner voir $QuestGiver	Obtén el/la $ItemToGet que devolver a $QuestGiver.	Забрать и вернуть владельцу ($QuestGiver): $ItemToGet	Ottieni $ItemToGet e dai l’oggetto a $QuestGiver	获取 $ItemToGet 并回去找 $QuestGiver 	$ItemToGet を入手し、 $QuestGiver へ届ける		
Text.Quest.Unionised.Pt3.Desc	"Things have gone too far, we need to send a message! It’s time for a strike! And I mean to strike a guard with the most terrifying of weapons in our elfish arsenal… the Candy Pain!"	Sie sind zu weit gegangen! Wir müssen ein Zeichen setzen! Zeit für einen Streik! Und mit Streik meine ich das Niederschlagen eines Wärters mit der schlimmsten Waffe von uns Elfen: der Zuckerbange!	"C’en est trop, nous devons faire passer un message ! Il est temps de se mettre en grève ! Et par se mettre en grève, je veux dire tabasser un gardien avec la plus terrifiante arme de notre arsenal elfique... Le bonbon douleur !"	"¡Esto ha llegado muy lejos, tenemos que enviarles un mensaje claro! ¡Hay que pasar a la acción! Y con ello me refiero a atacar a los guardas con las armas más aterradoras de nuestro arsenal élfico... ¡El dolor de caramelos!"	"Всё зашло слишком далеко, мы должны рассказать об этом! Пора нанести удар! И я собираюсь нанести страже удар самым ужасным оружием из эльфийского арсенала... зубной болью от конфет!"	La situazione è diventata fuori controllo. Dobbiamo mandare un messaggio! È ora di ribattere! E con ribattere intendo colpire più e più volte una guardia con l'arma più terrificante dell'arsenale elfico… il Dolore zuccheroso!	这实在太过分了， 我们要杀鸡儆猴！ 出击时间到！ 我说的“出击”， 就是用我们精灵武器中最恐怖的一种去“击”一名狱警… … 没错， 就是痛拐杖！ 	あまりにもひどすぎる。 今こそ声を上げる必要がある！ ストを起こそう！ ストといってもただのストじゃない。 エルフの武器庫にあるもっとも恐ろしい武器「キャンディーペイン」で看守を攻撃するんだ！ 		
Text.Quest.Unionised.ThirdObjective	Beat up $CombatTarget with $ItemToCraft	Verprügele $CombatTarget mit „$ItemToCraft“	Battre $CombatTarget avec $ItemToCraft	Da una paliza a $CombatTarget con: $ItemToCraft.	Избить цель: $CombatTarget. Орудие: $ItemToCraft	Picchia $CombatTarget con $ItemToCraft	用 $ItemToCraft 教训 $CombatTarget	$ItemToCraft で $CombatTarget をぶちのめす。  		
										
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////										
										
Text.Quest.ChristmasPast.Name	Ghost of Christmas Past	Geist der vergangenen Weihnacht	Fantôme des Noëls passés	Fantasma del pasado navideño	Призрак Рождества: Прошлое	Fantasma del Natale passato	过去之圣诞幽灵	過去のクリスマスの亡霊		
Text.Quest.ChristmasPast.Desc	"We need to remind Santa of how things used to be around here, before all this automation and 24-hour delivery… There should be a Painted Wooded Soldier around here somewhere, put that in his desk…"	"Wir müssen den Weihnachtsmann daran erinnern, wie es hier früher war – vor den Robotern und der 24-Stunden-Lieferung … Hier sollte irgendwo ein Bemalter Holzsoldat sein. Pack ihn in sein Pult …"	"Nous devons rappeler au père Noël que les choses étaient différentes avant toute cette automatisation et ces livraisons en 24 h... Il devrait y avoir un soldat en bois par ici, mettez ça dans son bureau..."	"Debemos recordarle a Santa cómo funcionaban las cosas por aquí antes de toda esta automatización y de las entregas en 24 horas... Debería haber un soldado de madera pintado en algún lado, pónselo en su escritorio..."	"Нам нужно напомнить Санте, как здесь дела обстояли раньше, до автоматизации и доставки, работающей круглые сутки... Где-то здесь должен быть раскрашенный деревянный солдатик, поставьте его на стол..."	"Dobbiamo ricordare a Babbo Natale com'era la situazione di un tempo, prima di tutti questi automatismi e delle consegne in 24 ore. Dovrebbe esserci un Soldatino di legno dipinto qui da qualche parte… prova a metterlo nella sua scrivania."	我们得让圣诞老人好好想想， 在这“自动化”和“24小时发货”大潮到来之前， 这里以前是个什么样… … 这附近应该有个上漆的木制士兵， 把那东西放到他的书桌里… … 	このオートメーション化された24時間デリバリー以前がどれほど素晴らしかったかをサンタに思い出させないと… どこかこのあたりに色鮮やかな木製の兵隊があったはず。 それをサンタの机に戻せば… 		
Text.Quest.ChristmasPast.FirstObjective	Put the $ItemToGet In Santa's Desk	Pack folgenden Gegenstand in das Pult: $ItemToGet	Mettez dans le bureau du père Noël l’objet : $ItemToGet	Pon el $ItemToGet en el escritorio de Santa	Поставьте предмет ($ItemToGet) на стол Санты	Posiziona il/la $ItemToGet nella scrivania di Babbo Natale	将 $ItemToGet 放入圣诞老人的书桌	$ItemToGet をサンタの机に置く		
Text.Quest.ChristmasPast.Pt2.Desc	"His mood hasn’t improved… he hasn’t been the same since he came back last Christmas. I wonder if a Mince Pie would cheer him up? you craft one, I'll give it to him!"	"Seine Laune hat sich nicht gebessert … Seit letzter Weihnacht ist er nicht mehr derselbe. Ich frage mich, ob ihn Mince Pie aufheitern würde? Back einen, ich gebe ihn weiter!"	"Son humeur ne s'améliore pas... Il n’est plus le même depuis qu'il est rentré le Noël dernier. Je me demande si une tourte à la viande lui remonterait le moral ? Faites-lui-en une, je lui apporterai !"	Su humor no ha mejorado... No ha vuelto a ser el mismo desde que volvió la Navidad pasada. Me pregunto si un pastel de fruta le levantaría el ánimo. ¡Haz uno y dáselo!	"Его настроение ничуть не улучшилось... он сам не свой с тех пор, как вернулся после прошлого Рождества. Может, его порадует пирожок с начинкой? Испеките пирожок, а я принесу его Санте!"	"Il suo umore non è migliorato… da quando è tornato, lo scorso Natale, non è stato più lo stesso. Chissà se un Pasticcio di macinato lo rallegrerà? Se ne fai uno, glielo porto!"	他的情绪完全没有改善… … 自从上次圣诞节回来， 他就好像变了个人似的。 不知碎肉馅饼能不能让他开心起来？你去做一个， 我来给他！ 	サンタが落ち込んだままだ… 前回のクリスマスから戻ってきて以来、ずっとあんな調子だ。 ミンスパイを食べたら元気が出るかな？作ってくれたら、サンタに届けるよ！ 		
Text.Quest.ChristmasPast.SecondObjective	Craft $ItemToCraft for $QuestGiver	Fertige $ItemToCraft für $QuestGiver	Fabriquer $ItemToCraft pour $QuestGiver	"Para $QuestGiver, crea: $ItemToCraft"	Изготовить: $ItemToCraft. Заказчик: $QuestGiver	Crea $ItemToCraft per $QuestGiver	为 $QuestGiver 制作 $ItemToCraft 	$QuestGiver のために $ItemToCraft を作る。 		
