Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese				
Text.Escape.Jetpack.Interact	Вимкнути силу тяжіння (Втекти)	Schwerkraft deaktivieren (Flucht)	Désactiver la gravité (S'échapper)	Desactivar gravedad (Escape)	Деактивировать гравитацию (бежать)	Disattiva Gravità (Evadi)	关闭重力（逃跑）	重力を無効化する（脱獄）				
&Text.Visitor.Greet	Я не змусив тебе чекати?	Hast du schon lange gewartet?	Je t'ai fait attendre ?	¿Te he hecho esperar?	Меня пришлось ждать?	Ti ho fatto aspettare?	我让你久等了吗？	待たせちまったか？ 				
&Text.Guards.RollCallMain	Хіба я не казав вам замовкнути?	"Ich sagte, du sollst still sein?!"	Je vous ai pas dit de la fermer ?	¿No te había dicho que te calles?	Говорили тебе заткнуться?	Non vi ho detto di fare silenzio?	不是叫你闭嘴了吗？	黙れと言ったはずだぞ？ 				
&Text.Guards.RollCallMain	Ви хоч уявляєте, наскільки ви нікчемні?	"Hast du eine Ahnung, wie lächerlich du bist?"	Avez-vous la moindre idée de combien vous êtes pathétiques ?	¿Tienes idea de lo patético que eres?	"Ты хоть представляешь, насколько ты жалок?"	Avete la minima idea di quanto siate patetici?	你知道自己有多可悲吗？	自分がどれだけみじめか分かってるか？ 				
&Text.Guards.FoodHall	Не змушуйте мене годувати вас силоміць	"Zwing mich nicht, dich zum Essen zu drängen"	Je vais devoir te nourrir de force.	¡No hagas que te obligue a comer!	Не заставляй меня кормить тебя силой	Non costringetemi a farvi mangiare	别逼我们强行喂你	無理やり食わされたいか？ 				
&Text.Guards.RollCallMain	Не змушуйте нас перекривати вам кисень!	"Zwing uns nicht, den Sauerstoff abzudrehen!"	Ne nous fais pas retirer ton oxygène !	¡No hagas que te dejemos sin oxígeno!	Не заставляй нас перекрывать кислород!	Non costringeteci a togliervi l’ossigeno!	别逼我们切断你的氧气供应！	そんなに酸素を止められたいか！  				
&Text.Guards.RollCallMain	На Землі ви не потрібні	Die Erde hat dich verbannt	Vous voilà bannis de la Terre.	La Tierra te ha desterrado.	Тебя изгнали с Земли	La Terra vi ha cacciato	地球流放了你	地球はおまえらを見捨てたんだ				
&Text.Guards.FoodHall	Насолоджуйтесь сублімованою космічною їжею!	Genieß dein gefriergetrocknetes Essen!	Savoure ta nourriture lyophilisée !	¡Disfruta de tu comida espacial liofilizada!	Как вам замороженная сушеная космоеда?	Godetevi il vostro cibo liofilizzato!	好好享用你冻干的太空食品吧！	美味しい宇宙食を味わって食えよ！  				
&Text.Guards.RollCallMain	Очікуйте на турбулентність, коли ми проходитимемо через наступне зоряне скупчення	"Rechne mit Turbulenzen, wenn wir durch den nächsten Sternenhaufen fliegen"	Prépare-toi à des turbulences quand nous traverserons le prochain amas stellaire.	Más tarde tendremos turbulencias cuando pasemos por el siguiente cúmulo estelar.	В следующем звездном кластере ожидается турбулентность	Aspettatevi turbolenze mentre passeremo attraverso il prossimo sciame di stelle	我们一会儿穿越下个星团时可能会有紊流， 做好准备	もうじき次の星団を突破する、 激しい揺れに備えておけ				
&Text.Inmates.Banter	Так далеко!	Weit draußen!	Arrière !	¡Guay!	"Да уж, оторвался"	Super!	好棒！	ぶっ飛びぃぃぃ！  				
Text.Escape.EscapePod.Interact	Полагодити рятувальну капсулу	Fluchtkapsel reparieren	Réparer la capsule de sauvetage	Arreglar cápsula.	Починить спасательную капсулу	Aggiusta Capsula di salvataggio	修理逃生舱	脱出ポッドを修理する				
&Text.Inmates.FoodHall	Заберіть се назад	Hol dir dein Geld zurück	Fais-toi rembourser.	Que te den una devolución.	Попроси деньги обратно	Chiederò un risarcimento	拿这个去申请退款	返金をお願いしたい				
&Text.Inmates.FoodHall	Приберіть се!	Schaff das fort!	Jetez-le !	¡Deshazte de esto!	Избавься от этого!	Sbarazzatene!	把这东西处理掉！	こんなの食えるか！  				
&Text.Visitor.Greet	Прибув так швидко, як тільки міг	Ich bin so schnell wie möglich gekommen	J'ai fait aussi vite que j'ai pu.	He venido lo antes posible.	Быстрее не получилось	Sono venuto il prima possibile	我尽快赶来了	なるべく急いで来たんだ				
Text.Escape.FixComputer.Stage1.Succeed	Чудово! Тепер слід зробити ще один енергомодуль!	Toll! Jetzt muss ich noch ein Energiemodul herstellen!	Parfait ! Plus qu'un module énergétique à fabriquer !	¡Bien! ¡Ahora tengo que hacer un módulo de energía!	Отлично! Теперь мне нужно сделать еще один энергетический модуль!	Ottimo! Ora devo creare un altro Modulo di energia!	太好了！现在我需要再制作一个能量模块！	いいぞ！  次は「動力モジュール」をもう1個作らないと！  				
Text.Escape.EscapePod.Stage2.Succeed	Чудово! Тепер варто змайструвати енергомодуль!	Toll! Und jetzt ein Energiemodul fertigen!	Parfait ! Fabriquons un module d'énergie !	¡Bien! ¡Ahora hagamos un módulo de energía!	Отлично! Теперь энергетический модуль!	Ottimo! Bisogna creare un Modulo energia!	太好了！现在得制作一个能量模块！	いいぞ！  次は「動力モジュール」を作ろう！  				
&Text.Visitor.Greet	На кораблі що, досі нема транспортерів?	Hat das Schiff immer noch keine Transporter?	Ce vaisseau n'a pas encore de transporteurs ?	¿Esta nave aún no tiene transportadores?	Разве на этом корабле нет лучевых транспортеров?	Questa nave non ha ancora il teletrasporto?	这艘飞船没有运输器吗？	この船はまだ輸送船を積んでないのか？ 				
&Text.Inmates.Banter	Та він неначе в КОСМОС полетів	Er sieht abgedreht aus	Il a l'air ailleurs.	Parece ido.	Он выглядит оторванным от земли	È andato in orbita	他看上去精神恍惚	宇宙だけに“食う気” が出ないね				
&Text.Inmates.Banter	Каже, що йому треба трохи космічного простору	"Er sagte, er bräuchte mehr Raum"	Il a dit vouloir de l'espace.	Dijo que necesitaba espacio.	"Есть где развернуться, он сказал"	Ha detto che aveva bisogno di spazio	他说了自己需要更多空间	宇宙なのにスペース不足とは、 これいかに				
&Text.Guards.RollCallMain	Важка рука, і сильний удар, що вдарить тебе	"Schwer ist die Hand und hart der Schlag, der dich treffen soll"	Lourde sera la main et fort sera le coup qui vous frappera.	Pesada es la mano y duro el golpe que te va a caer.	Этого кого-то ждет тяжелый удар суровой руки	Una mano pesante e un colpo forte cadranno su di voi	你们定会受到我们的大力严惩	この重たいゲンコツに、 きっつい一発を食らってみるか？ 				
&Text.Visitor.Greet	Вітаю, брате землянине!	"Hallo, Erdling!"	"Salut, camarade terrien !"	"¡Hola, amigo terrestre!"	"Привет, землянин!"	"Salve, terrestre!"	地球居民你好呀！	やあ、 地球の同志よ！  				
&Text.Inmates.Banter	І ось сиджу я в своїй бляшанці	Hier sitze ich in einer Blechbüchse	Me voilà assis dans une conserve.	Aquí estoy sentado en una lata.	И вот я сижу в этой консервной банке	"Eccomi qui, seduto su un barattolo"	我就在这儿， 坐在一个罐头里	こうしてブリキ缶の中にすわってる				
&Text.Inmates.Banter	Обійми, не відпускай, я благаю	"Halt mich fest, lass mich nicht los"	"Retiens-moi, ne me lâche pas."	Abrázame fuerte y no me dejes ir.	"Держи меня, не отпускай"	Stringimi e non lasciarmi andare	抱紧我别放手	きつく抱きしめて、 放さないでくれ				
&Text.Guards.FoodHall	Сподіваюсь, ми не наскочимо на метеор посеред їдла…	Hoffentlich kollidieren wir nicht beim Essen mit einem Meteor ...	"Avec de la chance, on ne heurtera pas de météore à demi-mâché..."	Espero que no nos choquemos con un meteorito mientras comemos...	"Надеюсь, мы не столкнемся с метеоритом, пока вы жуете..."	Speriamo di non collidere contro un meteorite con la bocca piena...	希望我们别在吃到一半时撞上陨石……	食事中に隕石と衝突すんのは避けたいもんだ… 				
&Text.Guards.RollCallMain	Це я стукаю у двері!	"Ich bin derjenige, der klopft!"	C'est moi qui frappe !	Yo soy el tío que llama.	Я здесь всех колочу!	A me non possono sparare!	我就是那个敲门的人！	コンコン！  ぶん殴り屋さんですよぉ！  				
&Text.Visitor.Greet	Маю новини зі Землі	Neuigkeiten von der Erde	J'ai des infos de la Terre.	Tengo noticias de la Tierra.	У меня есть новости с Земли	Porto notizie dalla Terra	我带来了地球的消息	地球から報告を届けにきた				
&Text.Visitor.Greet	Я пролетів усю галактику, щоби ся побачити з тобою	"Ich kam durch die Galaxis, um dich zu sehen"	J'ai traversé la galaxie pour vous voir.	He recorrido toda la galaxia para verte.	На встречу с тобой через всю галактику!	Ho attraversato la galassia per vederti	我穿越银河系来见你	銀河の海を越えて、 会いにきてやったぞ				
Text.Escape.Jetpack.TooManyPlayers	Я не можу скористатися цим самотужки…	So kann nur ich alleine fliehen ...	C'est mon seul moyen de m'évader seul...	Así puedo escapar yo solo...	Таким способом я смогу бежать только в одиночку	Devo essere solo io per evadere così...	我自己只能用这种方法越狱……	この方法では1人しか脱獄できない… 				
Text.Escape.EscapePod.TooFewPlayers	Мені вже не дуже приємно тут бувати…	Ich kann das nicht allein nutzen!	Je peux pas m'en servir seul...	No puedo usar esto yo solo...	Я не смогу справиться в одиночку	Ci vuole qualcun altro per usarlo	仅凭一己之力无法使用这东西……	1人では動かせない… 				
&Text.Visitor.Greet	Мені вже не дуже приємно тут бувати…	"Ich mag es gar nicht mehr, hierherzukommen ..."	Je n'aime même plus venir ici...	Ya no me gusta nada venir...	Мне надоело сюда таскаться...	Non mi piace più venire qui...	来这里都无法让我高兴了……	ここまで来るのがもう億劫でね… 				
&Text.Visitor.Greet	Чесно кажучи, я забув, нащо прийшов. Ой...	"Ehrlich gesagt hab ich vergessen, warum ich kam. Oh ..."	"Pourquoi je suis venu, déjà... ? Oh..."	"He olvidado por qué he venido, la verdad. Ah..."	"Честно говоря, не помню, почему я здесь. Ох..."	Non mi ricordo perché sono qui. Oh..	老实说， 我都忘记自己来的原因了。噢……	正直、 なんで来ちまったんだか。 ああ… 				
&Text.Visitor.Leave	Мені треба встигнути на шатл!	Ich muss zum Shuttle!	J'ai une navette à prendre !	Me espera un transbordador.	Надо успеть на шаттл!	Devo prendere lo shuttle!	我还得赶穿梭机呢！	シャトルに乗り遅れちまう！  				
&Text.Inmates.Banter	"Пхах, я зламав корабельний ШІ!"	"Ich habe das K.I.-System gehackt, LOL!"	"J'ai hacké l'IA, mdr !"	"He pirateado el sistema de I.A., je, je."	"Я взломал ИИ, вот умора!"	"Ho hackerato il sistema I.A., ahah!"	我破解了人工智能系统， 哈哈！	AIシステムをハックしてやった！  ヒャハハ！  				
&Text.Visitor.Greet	Ненавиджу долати весь цей шлях сюди…	"Ich hasse es, bis hierher kommen zu müssen ..."	Je déteste devoir faire tout le chemin jusqu'ici...	Odio tener que venir hasta aquí...	Ужасно было сюда добираться...	Odio dover fare tutta questa strada...	一路赶来这里让我很不开心……	ここへ来るのはちょっと遠すぎる… 				
&Text.Inmates.Banter	У мене погані передчуття щодо сього	Ich hab ein schlechtes Gefühl dabei	J'ai un mauvais pressentiment.	Esto me da mala espina.	У меня плохое предчувствие	Ho un brutto presentimento	我有不好的预感	なんだかイヤな予感がする				
&Text.Visitor.Greet	Я зробив це!	Geschafft!	J'y suis !	¡Lo conseguí!	Я здесь!	Ce l’ho fatta!	我成功了！	着いたぁ！  				
&Text.Inmates.Banter	Сумую за Землею!	Ich vermisse die Erde!	La Terre me manque.	Añoro la Tierra.	Я скучаю по Земле!	Mi manca la Terra!	我想念地球！	地球が恋しいよ！  				
Text.Escape.EscapePod.Stage3.Wrong	Мені й досі треба ще один енергомодуль…	Ich muss ein Energiemodul fertigen ...	Je dois fabriquer un module d'énergie...	Tengo que crear un módulo de energía...	Мне нужно сделать энергетический модуль...	Devo creare un Modulo energia...	我需要制作一个能量模块……	「動力モジュール」を作らないと… 				
&Text.Visitor.Leave	Мені час повертатися на Землю	Ich muss zurück zur Erde	Je dois retourner sur Terre.	Tengo que volver a la Tierra.	Мне нужно вернуться на Землю	Devo tornare sulla Terra	我得返回地球	そろそろ地球に戻らないと				
&Text.Inmates.Banter	Пам’ятаю Землю	Ich erinnere mich an die Erde	Je me souviens de la Terre.	Recuerdo la Tierra.	Я помню Землю	Mi ricordo della Terra	我还记得地球	地球のことが忘れられない				
Text.Escape.FixComputer.Stage2.Wrong	Мені й досі треба ще один енергомодуль…	Ich muss immer noch ein Energiemodul herstellen ...	Il faut encore que je fabrique un autre module énergétique...	Aún tengo que hacer otro módulo de energía...	Мне всё еще нужно сделать второй энергетический модуль...	Devo ancora creare un altro Modulo di energia...	我需要再制作一个能量模块……	「動力モジュール」をもう1個、 作らないと… 				
&Text.Guards.RollCallMain	Якщо ми знову побачимо, що хтось копався в налаштуваннях сили тяжіння…	"Wenn wir wen erwischen, der sich an der Schwerkraft zu schaffen macht ..."	Si on en chope encore un en train de bidouiller les paramètres de gravité...	Si os volvemos a ver tocando los ajustes de gravedad otra vez...	"Если мы узнаем, что кто-то из вас опять баловался с настройками гравитации..."	Se troveremo di nuovo uno di voi a manomettere le impostazioni della gravità...	如果我们发现你们中有谁再对重力设置动手脚的话……	今度、 重力の設定をいじってるヤツを見かけたら… 				
&Text.Guards.RollCallMain	Якщо ми знову почуємо закиди, що варта - кіборґи...	"Wenn wir noch mehr Beschuldigungen hören, dass wir Wärter Cyborgs sein sollen ..."	Si on est encore accusés d'être des cyborgs...	Si oímos alguna acusación más sobre que los guardias somos cíborgs...	"Если мы еще от кого-то услышим, что мы, охрана, киборги..."	Se sentiremo ancora delle insinuazioni sul fatto che siamo dei cyborg...	要是再有人指控我们的守卫是生化机器人的话……	今度また、 われら看守がサイボーグだといういわれなき中傷を耳にしたら… 				
&Text.Inmates.Banter	Для тебе я буду, ким захочеш	"Ich bin, wer auch immer ich sein soll"	Je serai qui tu veux que je sois.	Seré quien tú quieras que sea.	Я буду для тебя кем угодно	Posso essere chiunque tu voglia	你想让我成为谁我就能成为谁	キミの望むような男になろう				
&Text.Visitor.Leave	Наступного разу, прихоплю тобі щось із Землі	Das nächste Mal bringe ich dir was Schönes von der Erde mit	Je vous ramènerai un truc de la Terre la prochaine fois.	La próxima vez te traeré algo bonito de la Tierra.	В следующий раз привезу что-нибудь с Земли	Ti porto qualcosa dalla Terra la prossima volta	下次我会从地球给你带点好东西	次回は地球から、 ステキな差し入れを持ってきてやろう				
&Text.Inmates.FoodHall	Я допоможу тобі	Ich helfe dir	Je vais t'aider.	Yo te ayudaré.	Я тебе помогу	Ti aiuto a finire	我会帮你	手伝ってやるよ				
&Text.Visitor.Leave	Передам на Землю, що ти в порядку…	"Ich melde der Erde, dass es dir gut geht ..."	Je dirai sur Terre que vous allez bien...	Diré en la Tierra que estás bien...	"Расскажу на Земле, что у тебя все в порядке"	Dirò alla Terra che te la passi bene…	我会告诉地球你过得不错	地球のみんなには元気でやってると伝えておく… 				
&Text.Guards.RollCallMain	Мені набридло повторюватись, але…	"Ich will mich nicht wiederholen, aber ..."	"J'en ai marre de me répéter, mais..."	"Me aburre tener que repetirme, pero..."	"Надоело повторять одно и то же, но..."	Sono stufo di ripetere le stesse cose...	我厌倦了反复说同样的话， 但……	何度も何度も言いたくはないが… 				
&Text.Inmates.Banter	Проблема в мені?	Ich bin das Problem?	C'est moi le souci ?	¿Yo soy el problema?	Проблема во мне?	Sono io il problema?	我是问题所在？	迷惑か？ 				
&Text.Inmates.FoodHall	Я готовий до будь-чого	Ich mach alles mit	Je mangerais tout.	Me apunto a lo que sea.	Я съем что угодно	Mi va bene tutto	我来者不拒	なんだって食うさ				
&Text.Guards.RollCallMain	У космосі ніхто не почує вашого волання	Im Weltraum hört dich niemand schreien	"Dans l'espace, personne ne t'entend crier."	En el espacio nadie puede oír tus gritos.	В космосе никто не услышит криков	Nello spazio nessuno può sentirti urlare	在太空里， 没人能听到你的尖叫声	宇宙では、 おまえらの悲鳴は誰にも届かない… 				
&Text.Guards.FoodHall	Міжгалактична харчевня найнижчої якости…	Intergalaktisches Essen der niedrigsten Qualität ...	Un dîner intergalactique de la plus piètre qualité...	Una cena intergaláctica de la peor calidad...	Межгалактическое питание нижайшего качества...	Cibo intergalattico di bassa lega...	质量最低劣的跨星系餐饮……	すべてがロークオリティの宇宙レストランへようこそ… 				
&Text.Inmates.FoodHall	А воно не отруйне?	Ist das vergiftet?	C'est empoisonné ?	¿Está esto envenenado?	Это отравлено?	È avvelenato?	这东西有毒吗？	これって毒入りか？ 				
&Text.Visitor.Leave	Це ти у всьому винен!	Du bist an allem Schuld!	C'est ta faute !	¡Es todo culpa tuya!	Это все твоя вина!	È tutta colpa tua!	都怪你！	全部あんたが悪い！  				
&Text.Inmates.FoodHall	Схоже на пил	Es ist fast wie Staub	On dirait de la poussière.	Es casi como el polvo.	Похоже на пыль	Sembra polvere	就像尘土一样	ホコリを食ってるみたいだ				
&Text.Inmates.FoodHall	Воно ше й з мацальцями	Das hat Tentakel	Ça a des tentacules.	Tiene tentáculos.	У этого есть щупальца	Ha dei tentacoli	它有触手	触手がついてるぞ… 				
&Text.Visitor.Leave	"Мені вже пора! Ще побачимося, невдахо!"	"Zeit zu gehen. Bis später, Loser!"	"Il est temps de partir ! À plus, loser !"	"¡Hora de irse! ¡Hasta luego, perdedor!"	"Мне пора! Еще увидимся, неудачник!"	"È ora di andare! Ci vediamo dopo, idiota!"	该走了！回头见， 废物！	そろそろ帰るよ。 またな、 負け犬！  				
&Text.Visitor.Greet	Я тут лише тому що хотів вибратися з дому…	"Ich bin nur hier, um aus dem Haus zu kommen ..."	Je suis juste venu pour sortir un peu...	Solo he venir por salir un rato de casa...	"Я здесь потому, что нужен был повод выйти из дома"	Sono qui solo perché volevo uscire di casa...	我来只是为了出门走走……	家出のつもりでやって来ただけでね… 				
&Text.Guards.RollCallMain	Щойно отримав вістку зі Землі. Вони вже забули про вас	Habe gerade von der Erde gehört. Sie haben dich vergessen	J'ai eu des nouvelles de la Terre. Ils vous ont oubliés.	Tenemos noticias de la Tierra. Se han olvidado de ti.	Пришла весточка с Земли. Про тебя там забыли	Mi hanno appena chiamato dalla Terra. Si sono dimenticati di voi	我得到了地球的消息。他们已经忘记你了	地球から報告だ。 おまえらのことは忘れちまったってさ				
&Text.Guards.RollCallMain	Тримайте свої руки подалі від рятувальних капсул	Augen weg von den Fluchtkapseln	Arrêtez de fixer les capsules de sauvetage.	Deja de mirar las cápsulas de escape.	Не поглядывай на спасательные капсулы	Non guardate le capsule di salvataggio	别打逃生舱的主意	脱出ポッドばかりを見るな				
&Text.Inmates.Banter	Поплачте зі мною	Lamentiere mit mir	Lamente-toi aussi.	Laméntate conmigo.	Стенай вместе со мной	Piangi con me	和我一起哀悼	共に嘆こう				
&Text.Guards.RollCallMain	Дозвольте прояснити це…	Ich mach es deutlich ...	Soyons clairs...	Deja que te lo aclare...	Я объясню по-простому...	Voglio essere chiaro...	我们把话说清楚……	はっきりさせておくが… 				
&Text.Inmates.Banter	Живи довго і процвітай	Lebe lang und in Frieden	Longue vie et prospérité.	Larga vida y prosperidad.	Долгой жизни и процветания	Lunga vita e prosperità	多福多寿	長寿と繁栄を				
&Text.Inmates.Banter	Гляньте на зорі!	Sieh dir die Sterne an!	Regarde les étoiles !	¡Mira las estrellas!	Посмотрите на звезды!	Guarda che stelle!	看看群星！	あの星々を見ろ！  				
&Text.Guards.FoodHall	Гляньте, як вони накинулись на цей астероїдний торт!	"Sieh, wie sie den Weltraumsteinkuchen wegfuttern!"	Regardez-le dévorer ce gâteau-météorite !	¡Mira cómo disfrutan de ese pastel de roca espacial!	"Смотрите, как они уплетают эти космические булыжники!"	Guarda come leccano quella torta di pietra spaziale!	看看他们贪婪地吃光那个太空岩皮饼的样子！	見ろよ、 隕石ケーキにがっついていやがる！  				
Text.Escape.FixComputer.Stage1.Wrong	Може, змайструвавши два енергомодулі, я зможу вимкнути це силове поле…	Vielleicht wird das Kraftfeld mit der Herstellung von 2 Energiemodulen deaktiviert ...	Fabriquer deux modules énergétiques pourrait désactiver ce champ de force...	Quizá si hacemos dos módulos de energía podemos desactivar ese campo de fuerza...	"Возможно, если мы сделаем два энергетических модуля, то отключим это силовое поле..."	Forse creando due Moduli di energia quel campo di forza si disattiverà...	也许制作两个能量模块能关闭那个力场……	「動力モジュール」を2個作れば、 あのバリアを解除できるかもしれない… 				
&Text.Inmates.FoodHall	Моя їжа ся диве на мене	Mein Essen schaut mich an	Ma nourriture me regarde.	Mi comida me mira.	Моя еда на меня смотрит	Il mio cibo mi sta guardando	我的食物正在盯着我看	料理がこっちを睨んでくるぞ… 				
&Text.Guards.FoodHall	На солодке черевик із металевим носком!	Mein Stahlkappenstiefel zum Dessert!	Ma chaussure ferrée pour le dessert !	¡Mi bota con punta de acero como postre!	А на десерт — мой подкованный ботинок!	E per dolce il mio stivale rinforzato!	甜点就吃我的钢尖靴吧！	デザートはわが鉄板入りブーツだ！  				
&Text.Visitor.Greet	По дорозі сюди нас ледь не розчавив літавець!	Bin auf dem Weg fast von einem wilden Meteor getroffen worden!	J'ai presque été écrasé par un sale météore en chemin !	¡Casi me aplasta un meteorito mortal cuando venía!	Чуть не врезался в случайный метеор по пути сюда!	Mentre venivo qui una meteora mi ha quasi colpito!	我来这儿的路上差点撞到了一颗离群的陨石！	途中ではぐれ隕石とぶつかりそうになってね！  				
&Text.Guards.RollCallMain	"Ніхто на Землі вас не любить, тому ви тут"	"Keiner auf der Erde mag dich, deshalb bist du hier"	"Personne sur Terre ne vous aime, voilà pourquoi vous êtes là."	"No le gustas a nadie en la Tierra, por eso estás aquí."	"Никто на Земле тебя не любит, поэтому ты здесь"	"Sulla Terra non piacete a nessuno, ecco perché siete qui"	地球上没人喜欢你， 所以你才来的这里	おまえらは地球のはみだし者だ。 だからここへ来た				
&Text.Guards.FoodHall	Не те, щоб у вас був вибір	"Nicht, dass du eine Wahl hättest"	Tu n'as pas trop le choix.	No es que tengas muchas opciones.	Не то чтобы у тебя был выбор	Come se aveste scelta	像你有的选一样	選択肢なんてないからな				
&Text.Inmates.FoodHall	Не люблю сі штучні речі	Ich mag dieses künstliche Zeug nicht	Je suis pas fan de ce truc artificiel.	No me agradan estas cosas artificiales.	Не в восторге от этой искусственной дряни	Non amo questa roba artificiale	我不喜欢这种人工制品	こういった人工物は苦手なんだ				
Text.Escape.FixComputer.Stage2.Succeed	Тепер я бачу, що знаходиться в цьому столі!	"Jetzt kann ich sehen, was in diesem Pult ist!"	Je vais pouvoir voir ce que contient ce bureau !	¡Ahora puedo ver lo que hay en ese escritorio!	Теперь я могу залезть в этот стол!	Ora riesco a vedere cosa c’è in quel tavolo!	现在我能看看那张桌子里的是什么了！	これであの机を開けられる！  				
Text.Escape.EscapePod.Stage1.Succeed	Тепер треба знайти медичну сітку…	Jetzt muss ich noch Verband finden ...	Cherchons de la gaze...	Tenemos que encontrar vendas médicas...	"Так, бинт нашелся..."	Dobbiamo trovare Bende mediche...	现在去找一些医疗纱布……	次は「医療用メッシュ」を手に入れないと… 				
Text.Escape.EscapePod.Stage3.Succeed	Тепер ми можемо покинути це місце!	Jetzt können wir diesen Ort verlassen!	C'est le moment de partir !	¡Ahora podemos irnos de aquí!	Теперь можно сбежать отсюда!	Ora possiamo andar via!	现在我们能离开这里了！	さあ、 ここから脱出しよう！  				
&Text.Visitor.Leave	Ох, вище носа!	"Los, Kopf hoch!"	"Oh, motive-toi !"	"¡Venga, alégrate!"	"О, не грусти!"	"Oh, stai su!"	高兴点！	よお、 元気出せって！  				
