Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese	
Text.CatapultEscape.Stage03.Succeed	"А тепер варто знайти противагу катапульти"	Jetzt müssen wir das Katapult-Gegengewicht finden.	Nous devons maintenant trouver un contrepoids de catapulte.	Ahora tenemos que encontrar el contrapeso de la catapulta.	Теперь нам нужно найти противовес для катапульты	Ora dobbiamo trovare il Contrappeso della catapulta...	现在， 我们需要找到一个弹射器配重	さて、「カタパルトのおもり」を探そう	
Text.CatapultEscape.Stage04.Fail	Ця противага катапульти має ж бути десь тут? 	Das Katapult-Gegengewicht muss hier irgendwo sein! 	Ce contrepoids de catapulte doit bien être quelque part ! 	"El contrapeso de la catapulta debería estar por alguna parte, ¿no? "	"Этот противовес должен быть где-то здесь, так? "	Quel Contrappeso della catapulta dev’essere qui da qualche parte! 	弹射器配重一定在附近吗？ 	「カタパルトのおもり」がどこかにあったはずだが…	
Text.CatapultEscape.Stage04.Succeed	Нарешті, тепер слід зробити кошик катапульти!	Zum Schluss müssen wir den Katapultbehälter herstellen!	Il ne nous manque plus qu'un panier de catapulte !	"¡Para terminar, tenemos que fabricar un bastidor de catapulta!"	"Наконец, нам нужно сделать ковш для катапульты!"	"Da ultimo, dobbiamo creare la Cucchiara della catapulta!"	最后我们需要制作一个弹射器筐！	さあ、「カタパルトの投石カップ」を作らないと！	
Text.CatapultEscape.Stage05.Fail	Нам потрібен кошик катапульти…	Wir müssen den Katapultbehälter herstellen …	Nous devons fabriquer le panier de catapulte...	Tenemos que fabricar la bolsa de la catapulta...	Нам нужно сделать ковш для катапульты…	Dobbiamo creare la Cucchiara della catapulta...	我们需要制作一个弹射器筐......	「カタパルトの投石カップ」を作らないと…	
Text.CatapultEscape.Stage05.Succeed	"Це… чарівно, тепер ми можемо вибратися звідси!"	Das ist … wunderschön. Jetzt können wir von hier weg!	C'est... magnifique. On peut enfin s'évader !	Qué bonito... ¡ahora salgamos de aquí!	Прекрасное творение… наконец-то мы можем убраться отсюда!	È... stupenda! Ora possiamo andarcene di qui!	挺......好看的， 我们能逃出去了！	よし…完ぺきだ、これでここから出られるぞ！	
									
Text.CatapultEscape.TooFewPlayers	Я не можу зробити це сам…	Ich schaffe das nicht alleine ...	Je n'y arriverai pas sans aide...	No puedo hacer esto solo…	Я не справлюсь в одиночку...	Mi ci vuole qualcun altro...	只靠我自己是不可能做到的…… 	1人ではできない…	
Text.CatapultEscape.PlayerProximity	Я не втечу без решти!	Ich kann ohne die anderen nicht abhauen!	Je ne peux pas partir sans les autres !	¡No puedo irme sin los demás!	Я не могу бежать без остальных!	Non posso andarmene senza gli altri!	我不能自己一个人离开！ 	仲間を置いてはいけない！	
									
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////									
									
Text.LeverInteraction.Interact	Опустити важіль	Hebel ziehen	Actionner le levier	Tirar de la palanca	Потянуть рычаг	Tira la leva	拉动拉杆	レバーを引く	
									
Text.MPLeverInteraction.Succeed	Ті двері відчинились!	Diese Türen haben sich geöffnet!	Les portes sont ouvertes !	¡Las puertas se han abierto!	Двери открылись!	Quelle porte si sono aperte!	门已经打开了！	ドアが開いたぞ！	
									
Text.DynamicLeverInteraction.Fail	"Важіль зламаний, можна його замінити мітлищем?"	"Der Hebel ist kaputt, vielleicht kann man ihn mit einem Besenstil ersetzen?"	Le levier est cassé. Un manche à balai ferait peut-être l'affaire ?	"La palanca está rota, ¿un palo de escoba podría servir de repuesto?"	"Рычаг сломан. Может, ручка от метлы его заменит?"	La leva è rotta. Forse un Manico di scopa può rimpiazzarla?	拉杆坏了， 能用扫帚把替代吗？	レバーが壊れてる、「ほうきの柄」で代用できないか？	
Text.DynamicLeverInteraction.Succeed	Двері відчинились!	Die Tür hat sich geöffnet!	La porte est ouverte !	¡La puerta se ha abierto!	Дверь открылась!	La porta si è aperta!	门已经打开了！	ドアが開いたぞ！	
									
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////									
									
Text.ConstructArmour.Interact	Змайструвати лати	Rüstung bauen	Fabriquer une armure	Construir armadura	Сделать доспехи	Costruisci Armatura completa	制作一套护甲	「よろい一式」を組み立てる	
									
Text.ArmourEscape.Stage01.Fail	Треба зробити саморобні наголінники…	Ich muss provisorische Beinschienen herstellen …	Je dois fabriquer des grèves de fortune...	Tengo que crear unas grebas improvisadas...	Нужно сделать самодельные наголенники…	Devo creare delle Gambiere di fortuna...	我需要制作一些临时用胫甲……	「即席すね当て」を作らないと…	
Text.ArmourEscape.Stage01.Succeed	"А тепер саморобний нагрудник!"	Jetzt zum provisorischen Harnisch!	"Il me faut un plastron de fortune, maintenant !"	"¡Ahora, un peto improvisado!"	Теперь — самодельный нагрудник!	"E ora, una Piastra pettorale di fortuna!"	现在， 制作一个临时用护胸！	次は「即席胸当て」だ！	
Text.ArmourEscape.Stage02.Fail	Слід знайти саморобний нагрудник…	Ich muss einen provisorischen Harnisch herstellen …	Je dois fabriquer un plastron de fortune...	Tengo que crear un peto improvisado...	Нужно сделать самодельный нагрудник…	Devo creare una Piastra pettorale di fortuna...	我需要制作一个临时用护胸……	「即席胸当て」を作らないと…	
Text.ArmourEscape.Stage02.Succeed	"Далі варто змайструвати саморобні рукавиці"	Als Nächstes muss ich provisorische Panzerhandschuhe herstellen.	"Maintenant, j'ai besoin de gantelets de fortune."	¡Ahora tengo que crear unos guanteletes improvisados!	Далее нужно сделать самодельные латные рукавицы	Adesso devo creare dei Guanti in metallo di fortuna...	下一步， 我需要制作一些临时用护手……	よし、今度は「即席ガントレット」を作るとするか	
Text.ArmourEscape.Stage03.Fail	Мені потрібні саморобні рукавиці	Ich muss provisorische Panzerhandschuhe herstellen. 	Je dois fabriquer des gantelets de fortune. 	Tengo que crear unos guanteletes improvisados. 	Нужно сделать самодельные латные рукавицы 	Devo creare dei Guanti in metallo di fortuna 	我需要制作一些临时用护手 	「即席ガントレット」を作らないと…	
Text.ArmourEscape.Stage03.Succeed	"То є файно! Тепер шолом!"	Das sieht gut aus! Und jetzt der Helm!	Ça s'annonce bien ! On passe au casque !	"¡Pues no está nada mal! ¡Ahora, el casco!"	Выглядит неплохо! Теперь — шлем!	"Ha un bell’aspetto! E ora, l’Elmo!"	看起来不错！现在， 制作头盔吧！	いい感じだ！ 次は「かぶと」だ！	
Text.ArmourEscape.Stage04.Fail	Треба змайструвати саморобний лицарський шолом	Ich muss einen provisorischen Ritterhelm herstellen.	Je dois fabriquer un heaume de chevalier de fortune...	Tengo que crear un yelmo de caballero improvisado.	Нужно сделать самодельный рыцарский шлем	Devo creare un Elmo da cavaliere di fortuna	我需要制作一个临时用骑士头盔	「即席かぶと」を作らないと…	
Text.ArmourEscape.Stage04.Succeed	"Потрібна ще зброя, наприклад, меч…"	Jetzt brauche ich eine Waffe … ein Schwert.	"J'ai besoin d'une arme, d'une épée..."	"Ahora necesito un arma, una espada..."	Теперь мне понадобится оружие — меч…	"Ora mi serve un’arma, una Spada..."	现在我需要一把武器， 一把剑......	あとは武器…「剣」だな…	
Text.ArmourEscape.Stage05.Fail	Мені слід зробити саморобний меч	Ich muss ein provisorisches Schwert herstellen.	Je dois fabriquer une épée de fortune...	Tengo que crear una espada improvisada.	Нужно сделать самодельный меч	Devo creare una Spada di fortuna	我需要制作一把临时用长剑	「即席の剣」を作らないと	
Text.ArmourEscape.Stage05.Succeed	Час настав!	Bald ist es so weit!	Le moment est presque arrivé !	¡Es casi la hora!	Уже скоро!	È quasi ora!	时间差不多了！	もうすぐだ！	
									
Text.ArmourEscape.NotEnoughStrengthOLD	Спершу треба збільшити свою силу!	Ich muss erst meine Stärke verbessern!	Je dois d'abord augmenter ma force !	¡Primero tengo que mejorar mi fuerza!	Сначала нужно увеличить силу!	Prima devo aumentare la mia Forza!	我需要先提升我的体力！	まずは「筋力」を鍛えないと！	
									
Text.ArmourEscape.TooManyPlayers	Я можу так утекти лише сам…	So kann nur ich alleine fliehen ...	Je dois être seul pour m'échapper comme ça…	Así puedo escapar yo solo...	Таким способом я смогу бежать только в одиночку	Devo essere solo io per evadere così...	我自己只能用这种方法越狱……	この方法では1人しか脱獄できない… 	
									
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////									
									
Text.FixBoat.Interact	Полагодити човен	Boot reparieren	Réparer le bateau	Arreglar barco	Чинить лодку	Aggiusta Barca	修复小船	ボートを修理	
									
Text.FixBoat.Stage01.Fail	Із хорошою колодою ця штука знову попливе…	Mit etwas Holz könnte das Teil wieder seetüchtig gemacht werden …	"Avec un peu de bois, cette chose devrait pouvoir naviguer..."	Con algo de madera podría hacer que esta cosa sirviese...	Найти бы древесину — и эта штука снова поплывет…	Qualche Pezzo di legno potrebbe rendere questo trabiccolo di nuovo degno di salpare...	几块木材应该能使这东西再次起航......	木材で補強してやれば、また船出できそうだな…	
Text.FixBoat.Stage01.Succeed	"Далі потрібно змайструвати дерев’яне весло"	Als Nächstes muss ich ein Holzruder herstellen.	Je dois maintenant fabriquer une rame en bois.	Ahora necesito crear un remo de madera.	Далее нужно сделать деревянное весло	Ora devo creare un Remo di legno	下一步， 我需要制作一个木制桨	次は「木のオール」を作ろう	
Text.FixBoat.Stage02.Fail	Мені потрібне дерев’яне весло	Ich muss ein Holzruder herstellen …	J'ai besoin d'une rame en bois...	Tengo que crear un remo de madera...	Нужно сделать деревянное весло…	Devo creare un Remo di legno...	我需要制作一个木制桨......	「木のオール」を作らないと…	
Text.FixBoat.Stage02.Succeed	З одним веслом я далеко не запливу!	Mit nur einem Ruder kommt man nicht weit!	Je n'irai pas loin avec une seule rame !	¡Un solo remo no me sirve de mucho!	С одним веслом далеко не уплывешь!	Non andrò lontano con un solo Remo!	只用一只桨可走不远！	「オール」1本じゃ遭難しちまう！	
Text.FixBoat.Stage03.Fail	Слід зробити ще одне дерев’яне весло…	Ich muss ein weiteres Holzruder herstellen …	Je vais avoir besoin d'une autre rame en bois...	Tendré que crear otro remo de madera...	Нужно будет сделать второе деревянное весло…	Devo creare un altro Remo di legno...	我需要再制作一个木制桨......	「木のオール」をもう1つ作らないと…	
Text.FixBoat.Stage03.Succeed	Судно готове відбувати!	"Alles seeklar und bereit, die Segel zu setzen!"	"Tout est en ordre, je vais pouvoir lever les voiles !"	¡Todo listo para zarpar!	Судно собрано и готово к отплытию!	La barca è in perfetto ordine e pronta a salpare!	收工了， 可以再次起航了！	船も直って、あとは出航するだけだ！	
									
Text.FixBoat.PlayerProximity	Я не можу втекти без решти!	Ich kann ohne die anderen nicht abhauen!	Je ne peux pas partir sans les autres !	¡No puedo irme sin los demás!	Я не могу бежать без остальных!	Non posso andarmene senza gli altri!	我不能自己一个人离开！ 	仲間を置いてはいけない！	
									
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////									
									
Text.UndergroundEscapeHintTitle	Вістка від віконта Дж. Лока II	Eine Nachricht von Viscount J. Locke II	Message du vicomte J. Locke II	Un mensaje del Vizconde J. Locke II	Сообщение от виконта Дж. Локка II	Un messaggio dal Visconte J. Locke II	来自威斯康特 J.洛克二世的信息	J・ロック子爵2世からのメッセージ	
Text.UndergroundEscapeHintBody	"Моєму покірному слузі, помочі та принагідному другові, якщо буде нагода прочитати сей лист.\nНа превеликий жаль, ми не передбачили, що нападники так жваво долатимуть стіни.\nЗ таким же завзяттям я линув до таємного тунелю, передбачивши Вашу погибель. Довелося завалити тунель, щоби перешкодити моїм переслідувачам. Далі, заблокував дверний механізм та зламав важіль, аби мої недруги точно не змогли зашкодити мені.\nЯ втечу через рів та шукатиму сховку. Лишень можу висловити вдячність за Ваші численні літа слугування, але, як уже відомо, моє життя набагато важливіше за Ваше.\n\nВіконт Дж. Лок II"	"An meinen treuen Diener, Gehilfen und auch Freund – ich hoffe, dass dieser Brief Euch erreicht.\nWelch furchtbares Leid, dass niemand den Enthusiasmus unserer Angreifer beim Erklimmen der Mauern kommen sah.\nMit Hast und Eifer floh man zum geheimen Fluchttunnel. Man ging von Eurem Ableben aus und ließ den Tunnel einstürzen, um meine Verfolger aufzuhalten. Außerdem wird der Türmechanismus versperrt und der Griff gebrochen, um jene, die mir Leid wünschen, weiter zu behindern.\n\nMan wird über den Graben fliehen und anschließend Schutz suchen. Mir verbleibt nichts, als Euch für all die Jahre treuen Dienstes zu danken, doch wie Ihr zu wissen vermögt, ist mein Überleben weitaus wichtiger als Eures.\n\nViscount J. Locke II"	"À Notre fidèle servant, assistant et ami occasionnel, dans le cas où cette lettre vous parviendrait.\nMille excuses, Nous ne Nous attendions point à ce que Nos assaillants escaladent Nos murailles avec tant de ferveur.\nMais c'est avec une hâte et un engouement tout aussi prononcés que Nous avons emprunté le tunnel d'évasion secret. Soupçonnant le pire pour votre vie, Nous avons choisi d'effondrer le tunnel afin de barrer la route à Nos poursuivants. Par ailleurs, nous verrouillerons le mécanisme de la porte et en briserons la poignée afin de freiner davantage les âmes qui Nous voudraient du mal.\n\nNous Nous échapperons par les douves, après quoi Nous Nous attellerons à trouver refuge. Nous n'éprouvons que reconnaissance à votre égard à la vue de ces maintes années à Notre service, mais comme vous le savez sans doute, Notre vie a considérablement plus de valeur que la vôtre.\n\nVicomte J. Locke II"	"A mi fiel sirviente, ayudante y, en ocasiones, amigo, si es que llegas a leer esta carta:\nLo siento muchísimo, no esperaba que nuestros atacantes trepasen los muros con tal entusiasmo.\nYo también me moví con entusiasmo... pero hacia la salida secreta. Pensé que habrías muerto, así que bloqueé el túnel para que mis perseguidores no pudiesen alcanzarme. Como medidas adicionales, se bloqueará el mecanismo de la puerta y la palanca quedará rota para obstaculizar aún más a aquellos que deseen dañarme.\n\nEscaparé por el foso y luego buscaré refugio. No puedo sino expresar mi más sincera gratitud por todos estos años de servicio, pero, como supongo que comprenderás, mi vida es mucho más valiosa que la tuya.\n\nVizconde J. Locke II"	"Моему верному слуге, помощнику и иногда даже другу, если вы вдруг сможете прочесть это письмо.\nК превеликому сожалению, я не ожидал, что наши недруги с таким рвением примутся за стены.\nВ спешке, приложив огромные усилия, я пробрался в тайный туннель для побега. Полагая, что вы мертвы, я решил обрушить туннель, чтобы закрыть преследователям путь. Далее, чтобы помешать тем, кто желает причинить мне вред, я запру дверной механизм и сломаю дверную ручку.\n\nБежать буду через ров, после придется искать убежище. Могу лишь выразить огромную признательность за многие годы службы… но, как вам известно, моя жизнь значительно дороже вашей.\n\nВиконт Дж. Локк II"	"Ai Nostri leali servitori, aiutanti e, saltuariamente, amici, nel caso riusciate a leggere questa lettera.\nSiamo tremendamente spiacenti, ma non Ci aspettavamo che i nostri attaccanti scalassero le mura con un tale entusiasmo.\nCon uguale fretta e vigore, Noi abbiamo utilizzato la galleria segreta di fuga. Presumendo la vostra sconfitta, Noi abbiamo scelto di far crollare la galleria per fermare i Nostri inseguitori. Come ulteriori provvedimenti, il meccanismo del portone è stato chiuso e la maniglia è stata rotta per intralciare ulteriormente coloro che desiderano arrecarCi del male.\n\nNoi fuggiremo attraverso il fossato e, indi, cercheremo riparo. Possiamo solo esprimere moltissima gratitudine per i vostri lunghi anni di servizio ma, come ben sapete, la Nostra vita vale considerevolmente di più della vostra.\n\nVisconte J. Locke II"	我忠诚的仆人， 助手和偶尔的朋友， 希望你能读到这封信。 \n非常抱歉， 我未料到我们的攻击手对于爬墙是这么的热衷。 \n怀揣着轻率与勇敢， 我前往了秘密逃脱通道。 鉴于你大限将至， 我决定摧毁通道， 以挡住追赶你的人。 下一步， 我会锁住门锁， 破坏把手， 将后方企图伤害我的人彻底甩开。 \n\n我会横穿护城河逃出， 随后开始寻找避难所。 我非常感激你多年的效忠， 但你非常清楚， 我的生命比你的重要的多。 \n\n威斯康特 J.洛克二世	この手紙を 読むことができた、 我が忠実なる召使い、 助力者、 および日和見的な 友人たちへ。\n本当にすまない。 襲撃者どもが あれほど血眼になって 壁をよじ登ってくるなど、 夢にも思わなかったのだ。\n私は必死の思いで、 緊急脱出用の 隠しトンネルに向かった。 君たちはもう 死んでいると思い、 追っ手を撒くために トンネルは崩落させた。 さらにドアは 自動的にロックされ、 レバーもぶっ壊れたから、 追っ手がこれ以上、 私を傷つけることはないはずだ。\n\n私はこれから堀をこえ、 隠れ家へと向かう。 君たちの長年にわたる貢献に、 私は感謝の念でいっぱいだ。 だが、 君たちも知っての通り、 私という人間は 君たちとは 比べものにならないほど 貴重な存在なのだ。\n\nJ・ロック子爵2世	
Text.MPPuzzleHintTitle	Прошу, прочитайте!	Bitte lesen!	Important ! À lire !	"¡Leer, por favor!"	Обязательно прочтите!	Attenzione!	请耐心阅读！	読んでね！	
Text.MPPuzzleHintBody	"Тим, хто тут далі працюватиме:\n\nЧерез певну «непередбачувану проблему з грошовими потоками» ми не маємо інструментів, тому вам доведеться використовувати мотузки, щоби піднятися на верхні поверхи, будьте обережні."	"An alle, die hier als Nächstes arbeiten:\n\nAufgrund des aktuellen „unvorhergesehenen Cashflow-Problems“ haben wir die Geräte außer Betrieb genommen. Benutzt eure Seile, um die oberen Etagen zu erreichen. Nicht stolpern."	"À l'employé qui prendra ma place :\n\nEn raison d'un ""léger imprévu financier"", nous avons dû liquider les outils. Vous devrez faire avec les moyens du bord pour atteindre les étages supérieurs. Attention à vous."	"A quien sea que trabaje aquí después de mí:\n\nDebido a los “problemas de liquidez imprevistos” hemos tenido que hacer recortes, así que tendrás que usar las cuerdas para subir a los pisos superiores. Ten cuidado y tal."	"Тому, кто будет работать здесь следующим:\n\nИз-за этой «непредвиденной проблемы с денежными потоками» мы остались без инструментов, поэтому, чтобы добраться до верхних этажей, придется использовать веревки — будьте осторожны."	A chiunque lavorerà qui in futuro:\n\nA causa degli attuali “imprevisti problemi di flusso monetario” abbiamo smesso di lavorare. Dovrete usare delle corde per salire ai piani superiori. Attenti a dove mettete i piedi.	致下一位来这里工作的人：\n\n鉴于当前未能提早发现的资金流问题， 我们罢工了， 你需要自己用绳索到达更高的楼层了， 注意脚下。 	将来ここで働く 誰かさんへ\n\n「未曾有の財政難」 とやらのせいで、 俺らは現在ストライキ中だ。 上の階へ昇るには ロープを使う必要がある。 足元には 十分気をつけろよ。	
Text.MPEscapeHintTitle	Замітка працівникам	Personalmitteilung	Message au personnel	Aviso del personal	Уведомление персонала	Avviso del personale	员工须知	職員へのお知らせ	
Text.MPEscapeHintBody	"Не тривожтесь тим, шо в найближчі місяці у замку знаходитиметься катапульта. Щойно матимемо достатньо коштів, ми плануємо замовити підрядників, аби вони збудували її репліку, яка стане чудовою розвагою для туристів та вельми потрібним додатковим джерелом прибутків для нас. Тутешні, схоже, добряче би заплатили, аби подивитися, як стріляють кавунами на кількасот метрів."	"Seid nicht beunruhigt, wenn ihr in den kommenden Monaten ein Katapult auf dem Gelände der Burg seht. Sobald wir die erforderlichen Geldmittel besitzen, möchten wir Arbeiter einstellen, die davon eine Nachbildung anfertigen. Das soll dann als schöne kleine Touristenattraktion dienen und für dringend benötigte Zusatzeinnahmen sorgen. Die Leute in dieser Gegend sehen aus, als würden sie viel Geld dafür zahlen, zu sehen, wie Wassermelonen durch die Luft geschossen werden."	"Ne vous inquiétez pas si vous apercevez une catapulte dans l'enceinte du château au cours des prochains mois. Dès que les fonds nécessaires auront été rassemblés, nous avons l'intention de faire construire une réplique qui devrait faire fureur auprès des touristes et constituer une coquette source de revenus. Les habitants du coin m'ont l'air du genre à débourser beaucoup d'argent pour voir des pastèques se faire catapulter à plusieurs centaines de mètres."	"Que nadie se alarme por la aparición de una catapulta en los terrenos del castillo en los próximos meses. Una vez se obtengan los fondos necesarios, tenemos la intención de contratar a contratistas para que construyan una réplica que se convierta en una pequeña atracción turística y sea una fuente de ingresos adicionales, que falta nos hacen. La gente de por aquí parece del tipo de paletos que pagarían buenas sumas de dinero por ver cómo se estrellan las sandías en el horizonte."	"В ближайшие месяцы на территории замка появится катапульта, однако тревожиться по этому поводу не нужно. Мы намерены привлечь подрядчиков для создания копии — как только будут получены необходимые средства. Такой экспонат привлечет туристов и станет долгожданным дополнительным источником дохода. Здешний люд, похоже, готов платить неплохие деньги, чтобы посмотреть, как мы запускаем арбузы на сотню метров."	"Non allarmatevi vedendo comparire una catapulta nel castello nei prossimi mesi. Una volta ottenuti i fondi necessari, abbiamo intenzione di assumere degli appaltatori per costruire una riproduzione che diventerà una bellissima attrazione turistica e una fonte di reddito aggiuntiva, nonché molto necessaria. La persone che abitano nei dintorni sembrano proprio i tipi che pagherebbero dei bei soldoni per stare a guardare mentre spariamo delle angurie a diversi metri di distanza."	在接下来的几个月内， 不要被城堡内部出现的弹射器模样物体吓到。 只要获得必要资金， 我们就会开始制造这座仿造品， 它应该能吸引游客前来， 成为我们不可或缺的收益源。 这附近的人看起来是那种愿意为了目睹西瓜被扔出去几百英里付钱的人。 	今後の数か月間で 城内にカタパルトが 出現しても 驚かないように。 必要な資金が集まり次第、 業者にレプリカの建造を 発注するつもりだ。 このレプリカは 恰好の観光スポットとなり、 喉から手が出るほど 欲しかった 追加の収入源を もたらしてくれよう。 この辺りの奴らは、 スイカが何十メートルも ぶっ飛ぶのを眺めるために 喜んで大金を 払いそうなタイプに 見えるからな。	
Text.SPEscapeHintTitle	Перелік справ:	Zu erledigen:	Check-list :	Por hacer:	Задачи:	Cose da fare:	做法：	チェックリスト	
