Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese			
&Text.Guards.FoodHall	"Коли ласка, не штрикайте одне одного столовим приладдям"	"Bitte, das Besteck ist nicht zum Spielen da."	Arrête de jouer avec les couverts.	Los cubiertos no están para pincharse entre compañeros.	"Столовые приборы не для того, чтобы колоть ими друг друга"	Le posate non sono per infilzarsi	请注意， 餐具不是用来戳人的	フォークは人を刺すためのモノじゃない			
&Text.Guards.Showers	Усі сяють задля начальника!	Blitzblank für den Wächter!	Resplendissants pour le directeur !	¡Relucientes para el alcaide!	Все сияете для надзирателя!	Pronti per incontrare il direttore!	为了典狱长而发光！	所長のためにもピカピカになれよ！ 			
&Text.Guards.Showers	Так сяє!	Blitzblank!	Radieux !	¡Radiantes!	Такие лучистые!	Splendenti!	光芒四射！	ピカピカだな！ 			
Text.Escape.Civillian.IncorrectOutfit	Мені потрібне вбрання цивільного, щоб вписатися…	"Brauche Zivilkleidung, wenn ich nicht auffallen will ..."	Il me faut une tenue de civil pour passer incognito...	Necesito un traje de civil si quiero pasar inadvertido...	"Чтобы вписаться, мне понадобится штатская одежда..."	Mi servono dei vestiti da civile per non dare nell'occhio...	如果我想要融入这里， 就需要平民服装……	民間人の服がないと溶け込めない… 			
&Text.Guards.FoodHall	Дозвольте наповнити вашу склянку?	Darf ich dein Glas auffüllen?	Je te ressers à boire ?	¿Puedo llenarle la copa?	Наполнить ваш стакан?	Le riempio il bicchiere?	我能为你满上吗？	お注ぎしても？ 			
&Text.Guards.Gym	Чи можу я принести вам води?	Darf ich dir ein Glas Wasser bringen?	Tu veux un verre d'eau ?	¿Quieres un vaso de agua?	Принести тебе стакан воды?	Vuoi un bicchiere d'acqua?	要我给你倒杯水吗？	水を持ってくるか？ 			
&Text.Guards.Showers	Дозвольте?	Darf ich?	Hum ?	¿Puedo?	Можно мне?	Posso?	让我来吧？	失礼？ 			
&Text.Inmates.GuardBanter	Сей запах… дивний	Das riecht ... komisch.	Ça sent... bizarre.	Eso huele... raro.	Пахнет... странно	Che odore... strano	闻起来……怪怪的	どうもニオうな… 			
Text.Escape.Crate.Stage3.Succeed	Ось так! Тепер ми можемо втекти!	Das war’s! Jetzt können wir fliehen!	Ça y est ! À nous l'évasion !	¡Ya está! ¡Ahora podemos escapar!	Вот и все! Теперь можно бежать!	Ecco fatto! Ora possiamo evadere!	就是这里！现在我们能逃出去了！	やったぞ！ これで脱獄できる！ 			
&Text.Guards.RollCallMain	Будь ласка, не використовуйте ставок як вбиральню!	"Denkt dran, der Teich ist immer noch keine Latrine!"	Merci de ne pas faire vos besoins dans le bassin.	¡Evitad usar el estanque como retrete!	"Пожалуйста, не используйте пруд в качестве отхожего места!"	Vi preghiamo di non usare il laghetto come latrina!	请克制住把池塘当厕所的冲动！	池にションベンするのはやめるんだ！ 			
&Text.Guards.Gym	Нехай оператор зніме ці м’язи	Der Kameramann soll den Sixpack filmen.	Que le caméraman filme ces abdos !	Que la cámara enfoque esos abdominales.	Попроси оператора снять этот пресс	Devono riprendere quegli addominali	找个摄影师来拍腹肌	その見事な腹筋を撮ってもらえ			
&Text.Guards.RollCallStart	Нехай розпочнуться веселощі!	Der Spaß beginnt!	Que la fête commence !	¡Que comience la fiesta!	Веселуха начинается!	Diamo inizio alla festa!	欢乐时光开始！	お楽しみを始めよう！ 			
&Text.Guards.RollCallMain	Начальник вельми задоволений	Der Wächter ist sehr zufrieden.	Le directeur est très satisfait.	El alcaide está muy satisfecho.	Надзиратель более чем доволен	Il direttore è molto soddisfatto	典狱长很满意	所長もご満悦だ			
&Text.Guards.RollCallMain	Світ зовні - жорстоке місце	Die Welt da draußen ist grausam.	Le monde extérieur est cruel.	El mundo exterior es un lugar muy cruel.	Снаружи нас ждет жестокий мир	Il mondo là fuori è un luogo spietato	外部世界十分残酷	外の世界は残酷だぞ			
&Text.Guards.Gym	Сі м’язи починають рости	Diese Muskeln sind cool!	Regarde un peu ces muscles.	Esos músculos van en aumento.	Эти мускулы растут	Quei muscoli stanno venendo fuori	那些肌肉好酷	すごい筋肉だ！ 			
&Text.Guards.RollCallStart	Це мій улюблений час доби!	Diesen Teil mag ich jeden Tag am liebsten!	C'est mon moment préféré de la journée !	¡Es mi hora preferida del día!	Мое любимое время дня!	È il mio momento preferito della giornata!	这是我一天中最喜欢的时刻！	1日で一番好きな時間だ！ 			
&Text.Guards.FoodHall	Ви можете взяти більше, якщо бажаєте	"Du kannst mehr haben, wenn du willst."	Tu peux en reprendre.	Puedes coger más si quieres.	"Получишь больше, если захочешь"	Puoi averne ancora se vuoi	想要的话可以再来点	なんならもっと食うか？ 			
&Text.Guards.RollCallStart	Яке чудове товариство!	Ein netter Haufen!	Vous faites plaisir à voir !	¡Un grupo de gente adorable!	Милейшие люди!	Ma che bei soggetti!	这是一群体面的人！	立派なもんだぞ！ 			
&Text.Guards.Showers	Вибачте за температуру	Entschuldigt die Temperatur.	Pardon pour la température.	Perdón por la temperatura.	Извиняюсь за температуру	Scusate la temperatura	温度的事我很抱歉	お湯が出なくてすまんな			
&Text.Guards.RollCallMain	У нас кілька цікавих змін	Es hat sich was Interessantes getan.	Voilà un développement intéressant.	Hay interesantes progresos.	Ходят интересные слухи	Ci sono sviluppi interessanti	事情变得有趣了	こいつは興味深い			
&Text.Guards.FoodHall	Трохи вина, пане?	Etwas Wein gefällig?	Un peu de vin ?	"¿Vino, señor?"	"Вина, сэр?"	"Del vino, signore?"	先生， 想来点酒吗？	ワインでも？ 			
&Text.Inmates.GuardBanter	Нахабний зайдисвіт!	Frechdachs!	Quel culot !	¡Aprovechado!	Наглый попрошайка!	Che sfacciato!	厚颜无耻的乞丐！	厚かましい物乞いめ！ 			
&Text.Inmates.GuardBanter	Чи не забув я зробити реверанс перед начальником?	Hab ich vorher einen Knicks vorm Wächter gemacht?	"Ai-je pensé à saluer le directeur, tout à l'heure ?"	¿Me acordé de halagar al alcaide antes?	Я не забыл поприветствовать надзирателя?	Ho fatto l'inchino al direttore prima?	我之前记得向典狱长屈膝行礼了吗？	さっき所長にあいさつしたっけ？ 			
&Text.Guards.RollCallStart	Привіт, мої любі!	Hallo meine Lieben!	"Bonjour, mes mignons !"	"¡Hola, preciosidades!"	"Привет, мои ласточки!"	Ciao tesorini!	小可爱们， 你们好呀！	やあ、 わが子たち！ 			
&Text.Guards.RollCallStart	Усім привіт!	Hallo zusammen!	Salut à tous !	¡Hola a todos!	Всем привет!	Salve a tutti!	大家好！	やあやあ、 皆さん！ 			
&Text.Inmates.GuardBanter	Тобі весело?	Hast du Spaß?	Tu t'amuses bien ?	¿Te divierte?	Вам весело?	Ti stai divertendo?	你们玩得开心吗？	楽しんでるか？ 			
&Text.Inmates.GuardBanter	Що ж, се був справжній безлад!	Hat ne ziemliche Sauerei verursacht!	Un vrai bazar !	¡Lo dejaron hecho un desastre!	Отличную мы заварили кашу!	Il risultato è stato un gran casino!	虽然一塌糊涂但恰到好处！	まったく、 やってくれたな！ 			
&Text.Guards.FoodHall	Гей, не марнуйте їжу	"Hey, wirf’s nicht weg."	"Hé, on ne gâche pas !"	"Oye, ¡no lo malgastes!"	Не переводи продукт	"Ehi, ma che spreco"	喂， 别浪费啊	おい、 残すな			
&Text.Inmates.GuardBanter	Я коханець, а не боєць	Ich bin ein friedlicher Mensch.	Je suis pacifiste.	"Soy un amante, no un guerrero."	"Я создан для любви, а не для сражений"	"Più amore, meno botte"	我是个情人， 不是斗士	争うよりも愛したい派だ			
&Text.Guards.FoodHall	Я трохи заздрю	Ich bin etwas neidisch.	Je t'envie un peu.	Estoy un poco celoso.	Я немного завидую	Che invidia	我有点嫉妒	ちょっとうらやましいよ			
&Text.Guards.RollCallStart	Ооох, я в захваті!	Ich bin so aufgeregt!	"Oooh, on va s'amuser !"	"Vaya, ¡qué emoción!"	"О-о, я в предвкушении!"	"Oooh, che emozione!"	我好兴奋啊！	うおお、 コーフンする！ 			
&Text.Guards.Gym	Я так заздрощу!	Ich bin so neidisch!	Je t'envie !	¡Estoy celoso!	Так завидно!	Che invidia!	我好嫉妒啊！	実にうらやましい！ 			
&Text.Inmates.GuardBanter	Мені навіть не потрібен цей кийок	Ich brauch den Stock nicht mal.	Ma matraque est inutile.	Ni siquiera necesito esta porra.	Мне даже не нужна эта дубинка	Non mi serve nemmeno il manganello	我都不需要这根警棍	こんな警棒は要らないんだがな			
&Text.Guards.Gym	Дозвольте, я принесу вам рушничок	Ich bring dir ein Handtuch.	Je t'apporte une serviette.	Deja que coja una toalla.	Разреши принести полотенце	Ti prendo un asciugamano	我给你递块毛巾	タオルを取ってやる			
&Text.Guards.FoodHall	Звольте, я принесу вам іншу серветку	Ich bring dir noch eine Serviette.	Je t'apporte une autre serviette.	Permítame que traiga otra servilleta.	Я принесу вам другую салфетку	Ti prendo un altro tovagliolo	我给你再拿一张餐巾纸	新しいナプキンを取ってやる			
&Text.Guards.Showers	Дозвольте	Ich darf doch.	Laisse.	Permíteme.	Позволь	Se permetti	请让我来吧	失礼			
&Text.Inmates.GuardBanter	Заздалегідь пробачте	Ich entschuldige mich im Voraus.	Je m'excuse d'avance.	Te pido disculpas de antemano.	Заранее извиняюсь	Mi scuso già da ora	我先道个歉	先に謝っておく			
&Text.Inmates.GuardBanter	Я осипав їх любов’ю	Ich hab sie mit Liebe überschüttet.	Je les ai douchés avec amour.	Les he duchado con mucho amor.	Я окружил их любовью	Li ho inondati di amore	我满怀爱意地为他们淋浴	愛を込めて洗ってやった			
&Text.Guards.RollCallMain	Я з чудовими вістями…	Ich habe tolle Nachrichten.	J'ai de bonnes nouvelles...	Tengo noticias de interés...	У меня такие новости...	Ho delle belle notizie...	我有激动人心的消息……	素晴らしい報せだ… 			
&Text.Guards.Gym	Хотів би я мати таке тіло	Ich hätt' auch gern so nen Körper.	J'aimerais avoir ta forme.	Ojalá tuviese un cuerpo así.	Вот бы у меня было такое тело	Vorrei avere un corpo così	要是我有那样的身材就好了	あんなボディが欲しいよなあ			
&Text.Inmates.GuardBanter	Сподіваюсь, я потрапив у документальну стрічку	"Ich hoff, ich schaff’s in die Doku."	J'espère apparaître dans le documentaire.	Espero que me incluyan en el documental.	"Надеюсь, я попаду в документальный фильм"	Spero di apparire nel documentario	希望我将它拍进纪录片里了	自分も撮られちゃってるかも？ 			
Text.Escape.Civillian.TooManyPlayers	Я можу здійснити цю втечу лише самотужки!	Ich kann die Flucht nur alleine schaffen!	Je dois m'évader en solitaire !	¡Solo puedo organizar esta fuga yo solo!	Я смогу сбежать только в одиночку!	Per evadere così dovrò esserci solo io!	我只能自己逃出去！	この方法では、 1人しか脱獄できない！ 			
&Text.Guards.RollCallMain	Я хотів би похвалити всіх вас	Ich möchte euch alle loben.	J'aimerais vous féliciter.	Quería daros las gracias a todos.	Я хочу вас всех похвалить	Vorrei complimentarmi con tutti voi	我打算表扬你们所有人	君たち全員を称えたい			
Text.Escape.Crate.Stage2.Wrong	Далі мені слід змайструвати верх коробки…	Ich muss als Nächstes einen Kistendeckel basteln.	J'ai besoin d'un couvercle de caisse...	Ahora hay que fabricar una tapa para la caja...	Потом мне надо сделать крышку ящика...	Devo costruire una Parte superiore di cassa...	接下来我需要制作箱子顶……	次は「木のフタ」を作らないと… 			
Text.Escape.Crate.Stage1.Wrong	Мені треба змайструвати корпус коробки...	Ich muss Kistenwände basteln ...	J'ai besoin d'un tour de caisse...	Hay que fabricar una carcasa para la caja...	Мне надо сделать корпус ящика...	Devo costruire un Involucro di cassa...	我需要制作箱子罩……	次は「木のケース」を作らないと… 			
Text.Escape.Crate.TooFewPlayers	Я не можу здійснити цю втечу самостійно…	Ich schaff die Flucht nicht alleine.	J'ai besoin d'aide pour m'évader...	No puedo organizar esta fuga yo solo...	Я не смогу сбежать в одиночку...	Non posso evadere così senza nessun altro	我只靠自己无法逃出去……	1人では脱獄できない… 			
&Text.Inmates.GuardBanter	Прибирати це довелося мені	Ich war fürs Saubermachen zuständig.	C'était à moi de nettoyer.	Tuve que limpiarlo yo.	Я должен был вычистить его	L'ho dovuto pulire io	只能由我来清理	掃除を任されてたっけ			
&Text.Guards.Showers	Я починаю ся хвилювати	Ich werde nervös.	Ça me met mal à l'aide.	Empiezo a confundirme.	Я нервничаю	Inizio ad agitarmi	我开始慌了	パニくりそうだ… 			
&Text.Inmates.GuardBanter	Я не хотів їх бити, але в мене не було виходу	"Ich wollte sie nicht schlagen, aber ich musste."	"Je ne voulais pas les corriger, mais je n'avais pas le choix."	"No quería pegarles, pero no pude hacer nada para evitarlo."	"Я не хотел бить их, но мои руки были связаны"	Non volevo picchiarli ma non avevo scelta	我自己并不想揍他们， 但我被逼无奈	ぶん殴りたくはなかったが、 仕方がなかった			
&Text.Inmates.GuardBanter	Я б запросив вас пізніше, але…	"Ich würde dich einladen, aber ..."	"Je t'offrirais bien un verre, mais..."	"Te invitaría a algo luego, pero..."	"Я бы пригласил тебя попозже, но..."	Ti inviterei a uscire più tardi ma...	我本来想过一会儿约你出去的， 可……	あとであんたを呼びたかったが… 			
&Text.Guards.RollCallMain	Усе що вам було потрібно - обійми	Ihr brauchtet nur eine Umarmung.	Il fallait juste vous enlacer.	Solo necesitabas un abrazo.	Тебе было нужно обняться	Bastava solo un bell'abbraccio	你只需要一个拥抱	愛が足りなかったせいさ			
&Text.Guards.RollCallMain	Ви всі досягли значного поступу	Ihr habt gute Fortschritte gemacht.	Vous avez fait d'excellents progrès.	Habéis progresado mucho.	Вы все прошли долгий путь	Avete fatto degli ottimi progressi	你们的进步都很明显	みんな大きく進歩してるぞ			
&Text.Guards.RollCallMain	Схоже, ви всі готові до повернення в суспільство	Ihr könnt wieder in die Gesellschaft zurück.	Vous semblez prêts à réintégrer la société.	Parecéis preparados para volver a la sociedad.	"Кажется, вы все готовы вернуться в общество"	Sembrate pronti per rientrare nella società	你们似乎已经全都准备好重新进入社会了	今すぐ社会復帰できそうだ			
&Text.Guards.Showers	Ви добре пахнете	Ihr riecht gut!	Tu sens bon.	Hueles bien.	Вы хорошо пахнете	Che buon profumo	你很好闻	いい香りがする			
&Text.Guards.Showers	Ви всі такі чистенькі!	Ihr seht alle so sauber aus!	Vous êtes tout propres !	¡Estáis todos muy limpios!	Вы все такие чистые!	Ma come siete puliti!	你们看起来都很干净！	みんなピッカピカだ！ 			
&Text.Guards.RollCallStart	Сьогодні ви всі маєте чудовий вигляд!	Ihr seht heute toll aus!	Vous avez l'air en forme !	¡Hoy estáis estupendos!	Вы сегодня отлично выглядите!	Siete in forma smagliante oggi!	你们今天看起来气色真好！	今日はみんな立派に見えるぞ！ 			
&Text.Guards.RollCallMain	Ви повинні пишатися собою	Ihr solltet stolz auf euch sein.	Vous pouvez être fiers de vous.	Deberíais estar orgullosos.	Вы можете гордиться собой	Dovreste essere orgogliosi di voi stessi	你们应该为自己感到自豪	自分に誇りを持つべきだ			
&Text.Guards.FoodHall	Якщо там щось лишилося…	Ist noch was übrig?	S'il en reste un peu...	Si queda algo...	Если еще осталось...	Se ne avanza un po’...	还有剩下的吗……	少しでも残したら… 			
Text.Escape.Crate.Stage3.Wrong	Поштова адреса має бути в когось у столі…	Jemand muss eine Postadresse im Schreibtisch haben ...	Il doit bien y avoir une adresse postale dans un bureau...	Alguien tendrá una dirección postal en el escritorio...	У кого-нибудь в столе должен быть почтовый адрес...	Qualcuno deve avere un Indirizzo postale nel suo tavolo...	肯定有人在桌子里放了邮寄地址……	誰かの机の中に「宛て先」があるはずだ… 			
Text.Escape.Crate.Stage2.Succeed	Тепер нам залишилося знайти поштову адресу…	Jetzt müssen wir noch eine Postadresse finden ...	Reste à trouver une adresse postale...	Ahora solo hay que encontrar una dirección postal...	Теперь остается только найти почтовый адрес...	Ora dobbiamo solo trovare un Indirizzo postale...	现在我们只需要找一个邮寄地址……	あとは「宛て先」を見つけるだけだ… 			
&Text.Guards.Gym	Чи можу я витерти ваше чоло сим рушником?	Kann ich deine Stirn mit diesem Tuch abwischen?	Je peux t'essuyer le front avec cette serviette ?	¿Te puedo secar la frente con esta toalla?	Могу я вытереть тебе лоб этим полотенцем?	Posso asciugarti la fronte con questo asciugamano?	我能用这块毛巾帮你擦擦额头吗？	タオルで汗をぬぐってやろうか？ 			
&Text.Guards.FoodHall	Принести вам щось випити?	Kann ich dir was zu Trinken bringen?	Tu veux boire quelque chose ?	¿Quieres que te traiga algo de beber?	Могу я принести тебе выпить?	Vuoi qualcosa da bere?	我能给你拿点喝的吗？	水はいいのか？ 			
&Text.Guards.Showers	Чи не могли б ви ся прикрити?	Kannst du dich bitte bedecken?	Couvre-toi.	¿Te podrías cubrir?	Ты не мог бы накрыться	"Coprirsi, per favore"	你能否遮一下身子	ちゃんと隠せって			
&Text.Guards.Showers	Не торкайтеся, будь ласка	"Kein Begrapschen, bitte."	Pas de contacts.	"Sin tocar, por favor."	Не прикасайтесь	Non toccatevi	请别乱摸	おさわりはナシだ			
Text.Escape.Crate.Interact	Змайструвати коробку	Kiste basteln	Fabriquer caisse	Construir caja	Сделать ящик	Costruisci cassa	制作箱子	木箱を作る			
&Text.Guards.RollCallMain	Я розумію, що смітити у книгозбірні весело, але, будь ласка, не робіть цього	"Klar, es macht Spaß, die Bibliothek zu verwüsten, aber tut das nicht."	"Vandaliser la bibliothèque est amusant, mais évitez."	"Ya sé que destrozar la biblioteca es divertido, pero no hace falta."	"Я понимаю, разнести библиотеку — очень весело, но не стоит этого делать"	"Capisco che distruggere la biblioteca sia divertente, ma non fatelo"	我明白在图书馆里搞破坏很爽， 但请不要那么做	図書室を散らかして楽しいのはわかるが、 やめてくれるか？ 			
&Text.Guards.Showers	Зможеш дотягнутись?	Kommst du ran?	Tu y arrives ?	¿Lo alcanzas?	Достанешь?	Ci arrivi?	你够得到吗？	届くか？ 			
&Text.Guards.Showers	Дозвольте, я піднімлю се для вас	Lass mich das für dich holen.	Laisse-moi récupérer ça.	Deja que lo coja por ti.	Позволь я тебе помогу	Te lo prendo io	我来替你拿吧	取ってやろう			
&Text.Guards.FoodHall	Смачно, хіба ні?	"Lecker, oder?"	"Succulent, hein ?"	"Sabroso, ¿verdad?"	"Вкусно, не так ли?"	"Buono, no?"	好吃吧？	美味いだろ？ 			
&Text.Guards.RollCallMain	Іноді ми змушені проявляти жорстку любов	Manchmal ist unsere Liebe brutal.	"Qui aime bien, châtie bien."	A veces tenemos que mostrar amor del duro.	Иногда отец должен наказать своих детей	"A volte usiamo le maniere forti, con amore"	有时候我们得给予严厉的爱	時には愛のムチも必要だ			
&Text.Inmates.GuardBanter	Іноді вони бувають негідниками	Manchmal sind sie Schlingel.	"Ce sont des vauriens, parfois."	A veces son unas hienas.	Иногда они просто негодяи	A volte sono dei birbanti	他们有时候很调皮	連中はたまに手に負えない			
&Text.Inmates.GuardBanter	Вони не заподіять шкоди	Meinen sie nicht böse.	Ce n'est pas méchant.	No quieren lastimarme.	Не хотят причинить вред	Non sono cattivi	他们没有恶意	連中に悪気はないんだ			
&Text.Guards.RollCallMain	Будь ласка, зверніться до нас, якщо бажаєте, щоб хтось вас укрив ковдрою вночі	"Meldet euch, wenn ihr heute richtig schlemmen wollt."	Prévenez-nous si vous avez besoin qu'on vous borde ce soir.	No dudéis en decir si esta noche queréis que os arropemos.	"Если захочешь подзаправиться вечером, заходи к нам"	Chiamateci se volete che vi rimbocchiamo le coperte stasera	如果你今晚想大吃一顿， 就来找我们	夜眠れない時は会いにこい			
&Text.Guards.RollCallMain	Подейкують, що в’язень завжди має рацію	"Mir wurde gesagt, der Häftling hat immer recht."	Il paraît que le prisonnier a toujours raison.	Dicen que el prisionero siempre tiene la razón.	"Мне сказали, что заключенный всегда прав"	A quanto pare il detenuto ha sempre ragione	我的指示是犯人永远是对的	囚人は常に正しいんだ			
Text.Escape.Civillian.Stage1.Wrong	Мені треба змайструвати несправжнє звукове обладнання…	Ich muss falsche Audioausrüstung bauen ...	Je dois fabriquer un faux équipement audio…	Tengo que crear equipo de sonido falso...	Мне нужно создать фальшивое аудио-оборудование...	Devo creare un falso equipaggiamento audio...	我需要制作仿制的音频设备……	「偽のガンマイク」を作らないと… 			
&Text.Guards.Showers	Не послизніться	Nicht ausrutschen.	Ça glisse.	No te resbales.	Не поскользнись	Non scivolate	不要滑倒	滑るぞ			
&Text.Guards.Gym	Візми трішки	Nimm ein paar.	Pose-toi.	Coge varios.	Возьми немного	Prendi un respiro	拿一点吧	少しやってけ			
&Text.Guards.FoodHall	Будь ласка, набирайте стільки, скільки забажаєте!	"Nimm so viel, wie du willst!"	Sers-toi à volonté !	¡Coge todo lo que quieras!	Бери сколько хочешь	Prendine quanto ne vuoi!	要多少就拿多少！	好きなだけ食ってくれ！ 			
&Text.Guards.FoodHall	Тут лише найкраще!	Nur das Beste!	Que de la qualité !	¡Solo lo mejor!	Лучше не бывает!	Solo il meglio per voi!	都是最好的！	美味いモノばかりだ！ 			
&Text.Guards.RollCallMain	Розкрийте свій потенціал	Nutzt euer Potenzial.	Libérez votre potentiel.	Desarrolla tu potencial	Используй свой потенциал	Usate il vostro potenziale	利用你们的潜能	潜在能力を発揮しろ			
&Text.Guards.RollCallStart	"Оууу, погляньте на всі ці милі бузі!"	"Oh, guckt nur, eure hübschen, kleinen Gesichter!"	"Oooh, regardez-moi tous ces jolis visages !"	"Vaya, ¡mirad qué caras tan entrañables tenéis!"	Только посмотрите на эти сладкие мордашки!	"Oooh, che bei faccini che avete!"	噢， 看看你们可爱的小脸呀！	あああ、 みんな可愛い顔してら！ 			
&Text.Guards.FoodHall	Будьмо!	Prost!	Santé !	¡Salud!	Будьте здоровы!	Salute!	干杯！	乾杯ってな！ 			
&Text.Guards.Gym	Легше із цим!	Sachte da!	"Doucement, là !"	¡Tranquilos!	Полегче!	"Piano, piano!"	慢慢来！	そこ、 ムリすんな！ 			
&Text.Guards.Showers	Не тріть надто сильно!	Schrubbt nicht zu sehr!	Ne frotte pas trop fort !	¡No frotes muy fuerte!	Не три слишком сильно!	Non sfregatevi troppo!	别擦得太用力！	ゴシゴシこするな！ 			
&Text.Guards.RollCallMain	Подивіться, як далеко ми просунулись!	"Seht, was wir erreicht haben!"	Mesurez nos progrès !	¡Hasta dónde hemos llegado!	"Смотрите, как мы продвинулись!"	Guardate quanti progressi!	看看我们到目前为止的成就吧！	ここまで長かったぞ！ 			
&Text.Guards.Gym	Будь ласка, будьте обачні	Sei bitte vorsichtig.	Fais attention.	"Cuidado, por favor."	Будь осторожен	Attento	请小心	気をつけろよ			
&Text.Guards.Showers	Ніжніше	Sei sanft.	Doucement.	Con suavidad.	Осторожнее	"Piano, piano"	温柔点	紳士的にな			
&Text.Inmates.GuardBanter	Вони всі люблять мене	Sie lieben mich alle.	Ils m'adorent tous.	Todos me aprecian.	Они все меня любят	Mi amano tutti	他们都爱我	オレはみんなに愛されてる			
&Text.Inmates.GuardBanter	Вони лише дражнять мене	Sie witzeln einfach nur.	Une taquinerie.	Solo me toman el pelo.	Они меня только дразнят	Sono solo dei mattacchioni	他们只是在戏弄我	からかわれてるだけさ			
&Text.Guards.Gym	Такий сильний!	So stark!	Cette force !	¡Qué fuerte!	Ну и сила!	Che forza!	好壮啊！	ムキムキだな！ 			
&Text.Guards.Showers	Жадаєте, щоб я потер вам спинку?	Soll ich deinen Rücken schrubben?	Je te frotte le dos ?	¿Te froto la espalda?	Постоять на стреме?	Vuoi che ti lavi la schiena?	要我给你擦背吗？	背中を洗ってやろうか？ 			
&Text.Guards.FoodHall	Принести вам тацю з десертом?	Soll ich den Nachtisch bringen?	J'apporte le plateau des desserts ?	¿Traigo la bandeja de postres?	Принести поднос с десертами?	Porto i dolci?	要我端上甜点托盘吗？	デザートは要るか？ 			
&Text.Guards.Gym	Хочете, щоб я підстрахував вас?	Soll ich dich sichern?	Tu veux que je t'assure ?	¿Te pongo en tu sitio?	Подстраховать тебя?	Vuoi che ti controlli?	想让我找你？	手を貸して欲しいのか？ 			
&Text.Inmates.GuardBanter	Вибачте, якщо я зробив вам боляче	"Sorry, wenn ich dir wehtue."	Pardon si je t'ai fait mal.	"Si te hago daño, lo siento."	"Извини, если я тебя обидел"	Scusa se ti ho fatto male	如果弄疼你了， 我很抱歉	ケガさせたらすまない			
&Text.Guards.Gym	Піднатужтеся для мене	Spann mal an.	Contracte.	Muy tenso para mí.	Напряги-ка	"Dai, stirati"	给我绷紧了	自分にはきついな			
&Text.Guards.RollCallMain	"Хто б се не був, але умивальники не нужники"	"Spülbecken sind keine Klos, wer auch immer das war."	Sachez que les lavabos ne sont pas des toilettes.	"Los lavabos no son retretes, quienquiera que haya sido."	"Кто бы это ни был, напоминаю, что раковина — не унитаз"	"Non so chi sia stato, ma i lavandini non sono water"	洗碗槽不是厕所	流し台はトイレじゃないんだが			
&Text.Guards.RollCallMain	Не звертайте увагу на знімальну групу, що вештає навколо!	"Stört euch nicht am Filmteam, das auch hier ist!"	Ne faites pas attention à l'équipe de tournage.	¡No te preocupes por el equipo de grabación!	Не обращайте внимание на съемочную группу!	Non fate caso ai cameramen in giro!	不要在意在附近闲逛的剧组人员！	撮影隊のことは気にするな！ 			
