Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese			
&Text.Guards.RollCallMain	Ми реабілітовуємо вас новітніми методиками	Wir rehabilitieren euch mit revolutionären Techniken.	Nous vous réhabilitons à l'aide de méthodes révolutionnaires.	Te vamos a rehabilitar usando técnicas revolucionarias.	Мы реабилитируем вас с помощью революционных методик	Vi stiamo rieducando con tecniche rivoluzionarie	我们正在使用革命性的技术将你复原	画期的な技術を用いて矯正してやろう			
&Text.Guards.RollCallMain	"Для особливо обдарованих: раковини - не нужники"	"Spülbecken sind keine Klos, wer auch immer das war."	Sachez que les lavabos ne sont pas des toilettes.	"Los lavabos no son retretes, quienquiera que haya sido."	"Кто бы это ни был, напоминаю, что раковина — не унитаз"	"Non so chi sia stato, ma i lavandini non sono water"	无论对谁来说， 水槽都不是马桶	誰がやったか知らないが、 流し台はトイレじゃない			
&Text.Guards.RollCallMain	Підкоріть свій потенціал	Nutzt euer Potenzial.	Libérez votre potentiel.	Desarrolla tu potencial	Используй свой потенциал	Usate il vostro potenziale	发挥你的潜力	ポテンシャルを解き放て			
&Text.Guards.RollCallMain	Начальник вельми задоволений	Der Wächter ist sehr zufrieden.	Le directeur est très satisfait.	El alcaide está muy satisfecho.	Надзиратель более чем доволен	Il direttore è molto soddisfatto	监狱长是最和善的人	所長も満足されよう			
&Text.Guards.RollCallMain	Я хочу вас усіх похвалити	Ich möchte euch alle loben.	J'aimerais vous féliciter.	Quería daros las gracias a todos.	Я хочу вас всех похвалить	Vorrei complimentarmi con tutti voi	我要表扬你们所有人	おまえら全員を称えたい			
&Text.Guards.RollCallMain	Світ назовні - паскудне місце	Die Welt da draußen ist grausam.	Le monde extérieur est cruel.	El mundo exterior es un lugar muy cruel.	Снаружи нас ждет жестокий мир	Il mondo là fuori è un luogo spietato	外面的世界是残酷的	外の世界は容赦ないぞ			
&Text.Guards.RollCallMain	Будь ласка, жодних жартів про начальника	Bitte keine weiteren Witze über den Wächter.	Évitez de faire des blagues sur le directeur.	"No más chistes sobre el alcaide, por favor."	"Пожалуйста, больше никаких шуток о надзирателе"	Basta con le barzellette sul direttore	请不要再开监狱长的玩笑了	所長をバカにするのはもうよせ			
&Text.Guards.RollCallStart	Які ви сьогодні ЛАДНІ!	Ihr seht heute TOLL aus!	Vous avez l'air EN FORME !	¡Hoy estáis estupendos!	Вы сегодня ОТЛИЧНО выглядите!	Siete in forma SMAGLIANTE oggi!	你们今天看上去气色真好！	今日はみんな立派だぞ！ 			
Text.Escape.Glider.Stage2.Succeed	Тепер треба зробити покриття планера	Jetzt die Gleiter-Bespannung machen.	Je devrais fabriquer la toile du planeur.	Debería hacer la funda del deslizador.	Теперь надо смастерить парус дельтаплана	Devo creare il Tessuto per aliante	现在我应该制作滑翔机外壳	次は「グライダーカバー」を作らないと			
&Text.Guards.RollCallStart	"О-о-о, гляньте-но на свої милі личка!"	"Oh, guckt nur, eure hübschen, kleinen Gesichter!"	"Oooh, regardez-moi tous ces jolis visages !"	"Vaya, ¡mirad qué caras tan entrañables tenéis!"	Только посмотрите на эти сладкие мордашки!	"Oooh, che bei faccini che avete!"	噢， 看看你们可爱的小脸呀！	おおお、 みんな可愛い顔をして！ 			
Text.Escape.Glider.Stage3.Wrong	"Здається пустим, треба зробити покриття планера"	"Sieht nackt aus, ich sollte die Gleiter-Bespannung machen."	Il manque quelque chose. Je dois fabriquer la toile.	"Parece inacabado, podría hacerle una funda."	"Выглядит убого, надо смастерить парус дельтаплана"	Manca qualcosa... devo creare il Tessuto per aliante	它看起来光秃秃的， 我应该制作滑翔机外壳	これでは機体がむき出しだ、 「グライダーカバー」を作らないと			
Text.MotorbikeEscape.Stage01.Success	Чудово! Тепер я можу втекти звідси…	Toll! Jetzt kann ich weg von diesem Ort ...	Parfait ! Je peux enfin m'évader...	¡Genial! Ahora puedo salir de aquí...	Отлично! Наконец-то я уберусь отсюда...	Ottimo! Ora posso uscire di qui...	太好了！现在我可以离开这里了……	やったぞ！ これで脱獄できる… 			
Text.Escape.Glider.ProximityDialogue	Треба, щоб усі були поблизу, перш ніж ми зможемо втекти!	"Um fliehen zu können, müssen alle da sein!"	Tout le monde doit être là pour s'évader !	¡Todos tenemos que estar aquí para poder escapar!	"Все должны быть на месте, чтобы мы смогли бежать!"	Devono essere tutti qui per potercene andare!	大家到齐后我们才能离开！	全員がそろわないと脱獄できない！ 			
&Text.Guards.RollCallStart	"Радий вас знову побачити, люди!"	"Und da sind wir wieder, Leute!"	"Et c'est reparti, les amis !"	"¡Vamos a ello de nuevo, gente!"	"Ну сколько можно, народ!"	"Eccoci di nuovo, gente!"	大家注意， 又要开始了！	今日もはりきって行くぞ、 おまえら！ 			
Text.MotorbikeEscape.Stage01.Wrong	Мабуть, я можу змайструвати саморобний ракетний рушій, аби ця штука їздила?	"Vielleicht kann ich eine provisorische Raketendüse bauen, um dieses Ding anzutreiben?"	Je pourrais peut-être fabriquer un propulseur de fortune pour alimenter cette chose.	A lo mejor puedo improvisar un propulsor para mover esta cosa.	"Может, смогу соорудить ракетный двигатель, чтобы запустить эту штуку?"	Forse potrei creare un Propulsore di fortuna per far andare questa cosa?	也许我可以制作一个自制火箭推进器给这东西提供动力？	「簡易ジェット装置」を作れば、 このバイクを動かせるかも？			
&Text.Guards.RollCallStart	Який чудовий день...	Was für ein schöner Tag heute.	Quelle belle journée...	Qué día más bonito...	Что за чудный денек...	Ma che bella giornata...	多么美好的一天……	本日は快晴なり… 			
&Text.Guards.RollCallStart	Будь ласка, трішечки уваги…	Wenn wir kurz eure Aufmerksamkeit haben könnten ...	"Votre attention, s'il vous plaît..."	"¿Me prestáis atención un momento, por favor?"	Нам очень нужно ваше внимание...	"Un po' di attenzione, per favore..."	请大家注意一下……	頼むから話を聞いてくれ… 			
Text.Escape.Glider.DestroyTiles	Треба проколоти ці стіни, щоб утекти планером	"Wir müssen diese Wände ausmeißeln, damit der Gleiter wegkann."	Nous devons casser ces murs pour que le planeur puisse passer.	Hay que hacer un agujero para que el deslizador pueda pasar.	"Нужно сломать стены, чтобы дельтаплан мог пройти"	Dobbiamo frantumare questi muri perché l’aliante possa uscire	我们需要凿这些墙壁， 滑翔机才能离开	「グライダー」で脱出するには、 先にこの壁を崩さないといけない			
Text.Escape.Glider.Interact	Взаємодіяти	Handeln	Interagir	Interactuar	Задейств.	Interagisci	互动	調べる			
											
END											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
